,open,high,low,close,volume
20181109,188000,188000,188000,188000,7
20181108,184000,188000,184000,188000,11
20181107,183500,186000,182000,182500,88
20181106,178000,183500,178000,183500,25
20181105,185000,185000,180000,180500,34
20181102,175000,187000,175000,185000,37
20181101,171500,178500,162500,178500,183
20181031,173000,174000,172500,174000,21
20181030,171500,173000,170000,173000,125
20181029,170500,171500,170000,170000,277
20181026,179000,179500,170000,170000,850
20181025,180500,180500,179000,180500,139
20181024,185000,185000,184000,185000,83
20181023,189000,189000,182000,182000,64
20181022,188000,188000,187000,187500,33
20181019,189000,189000,187500,188000,10
20181018,190500,190500,183000,187500,181
20181017,192000,193000,190000,190000,38
20181016,189500,192000,189500,191500,34
20181015,188500,189500,188500,189500,9
20181012,190000,190000,187500,189000,31
20181011,191000,191500,187000,187500,248
20181010,192000,192000,189000,191000,96
20181008,189500,192500,189000,189000,31
20181005,195500,195500,189500,189500,90
20181004,197500,197500,194000,195500,14
20181002,197500,198500,197500,197500,85
20181001,195000,200500,195000,199000,167
20180928,198500,199000,191000,198500,444
20180927,196500,198500,196500,198500,42
20180921,201000,202000,195500,197000,205
20180920,205500,205500,197500,201000,41
20180919,201000,204000,201000,202500,76
20180918,198500,201000,198500,198500,17
20180917,203000,203000,196000,198500,156
20180914,202000,202500,202000,202500,13
20180913,202500,202500,199500,202000,143
20180912,198500,202000,198500,202000,16
20180911,200500,201000,198500,198500,52
20180910,200000,202000,197000,201000,273
20180907,203000,203000,200000,201500,70
20180906,204000,204000,200000,203500,239
20180905,206000,206500,201000,204000,145
20180904,203000,206500,203000,206500,65
20180903,201000,204000,201000,203000,108
20180831,206000,206000,206000,206000,9
20180830,205000,205000,201500,204000,8
20180829,202500,206500,200500,205000,43
20180828,201000,205000,201000,203500,37
20180827,201500,206000,200000,202000,89
20180824,203000,206000,203000,206000,6
20180823,207000,207500,206500,207500,24
20180822,208500,208500,201000,207500,113
20180821,204000,207000,203000,207000,118
20180820,208500,208500,203000,207000,55
20180817,209500,209500,207500,208500,19
20180816,204000,206000,204000,206000,42
20180814,210000,210000,203000,204000,290
20180813,213000,213500,210000,210000,98
20180810,214000,215000,213500,214000,12
20180809,213500,214000,213500,214000,9
20180808,214000,217000,214000,217000,6
20180807,219000,219000,214000,217000,6
20180806,212000,218500,212000,217500,77
20180803,215500,215500,213500,213500,105
20180802,216000,216500,214000,216000,143
20180801,217000,217000,215000,217000,100
20180731,219500,219500,216000,218000,32
20180730,221000,221000,217000,220000,5
20180727,224000,224000,222000,222000,23
20180726,218500,222000,217500,222000,6
20180725,215000,218500,214000,218500,48
20180724,215500,217000,213000,217000,120
20180723,218000,223500,217000,217000,135
20180720,219000,224000,219000,224000,8
20180719,220000,222000,217500,222000,53
20180718,224500,224500,221500,224500,38
20180717,225000,227000,222000,224500,138
20180716,227500,227500,223000,224000,114
20180713,220000,226000,220000,226000,418
20180712,219000,220000,218000,220000,55
20180711,221000,221000,217500,219000,26
20180710,217000,217500,217000,217500,9
20180709,216000,220000,216000,217000,297
20180706,217000,217000,214500,217000,358
20180705,215500,218000,215000,217000,29
20180704,215500,216500,215500,216000,97
20180703,214000,219500,214000,215500,139
20180702,219000,220000,215500,219500,76
20180629,220000,220000,216000,217000,12
20180628,213000,219500,213000,218000,20
20180627,218000,218000,215000,215000,245
20180626,217000,218500,217000,218000,167
20180625,217500,217500,215000,217000,19
20180622,210000,216000,210000,212000,38
20180621,210000,220000,210000,210000,226
20180620,209000,213500,209000,211000,66
20180619,207500,214000,207500,213000,34
20180618,211500,211500,207500,208000,1236
20180615,216000,216000,210500,211500,33
20180614,220000,220000,211000,211000,74
20180612,214000,220500,214000,220000,103
20180611,220000,220000,217000,217000,28
20180608,220000,221000,216500,219500,251
20180607,213000,221000,212000,218500,324
20180605,212000,212000,207500,212000,56
20180604,211500,212000,205500,212000,355
20180601,202500,206500,201000,206500,227
20180531,207500,207500,201000,204000,270
20180530,205500,207000,204000,206500,67
20180529,209000,209000,205500,205500,116
20180528,214000,214000,206000,206000,92
20180525,210000,212000,203000,205000,1439
20180524,215000,215000,207000,210000,1135
20180523,210000,210000,208500,210000,426
20180521,213500,214500,209000,209000,140
