,open,high,low,close,volume
20181109,58500,59700,58000,58400,2346
20181108,59800,59800,58500,59400,2006
20181107,58800,60100,58200,58500,10140
20181106,57500,59600,57500,58900,3464
20181105,57500,58200,57000,57700,3736
20181102,55800,58200,55800,58000,5980
20181101,57300,57300,55300,55800,3175
20181031,56100,56800,54800,56100,12026
20181030,52700,57500,52700,55900,12048
20181029,57700,58900,56000,56300,5018
20181026,60000,60000,56500,58900,10693
20181025,58000,59600,58000,59600,4701
20181024,59800,60600,59300,60500,3779
20181023,62500,62500,59100,59800,3147
20181022,62200,62400,61300,61700,2855
20181019,61000,62000,60800,61500,4286
20181018,62000,62600,61400,61600,1208
20181017,62400,62400,61400,62200,3868
20181016,60500,62900,60500,61600,5091
20181015,61900,61900,60600,61400,6878
20181012,57200,62700,57200,62500,3715
20181011,63500,64800,61300,61300,29271
20181010,65400,66100,63900,65000,5324
20181008,66100,66800,65500,65700,5378
20181005,66700,67100,65100,66900,7905
20181004,65900,66900,65800,66700,4377
20181002,67000,67400,65900,65900,11381
20181001,69700,69900,67000,67500,9678
20180928,68600,69500,68100,69500,12712
20180927,67000,70700,66000,68600,32239
20180921,66300,66800,65900,66700,6357
20180920,66400,68000,65900,66300,9592
20180919,67100,67100,66100,66700,7431
20180918,67000,67100,66600,67000,5435
20180917,68200,68200,66600,67000,5113
20180914,66700,68200,66700,68200,12503
20180913,66600,67400,66000,67400,11702
20180912,67600,69000,66100,66500,12432
20180911,66800,67600,66200,67300,8262
20180910,67200,67300,66800,66900,2784
20180907,66300,67100,66300,66700,5568
20180906,66600,67200,66000,66300,2217
20180905,66000,67400,66000,66500,5101
20180904,65600,66700,64800,66100,13756
20180903,66300,66400,65500,66200,6192
20180831,65200,66900,65200,66200,13166
20180830,67600,68100,65000,65200,25921
20180829,69900,69900,67800,68100,5856
20180828,69200,69800,68900,69800,4694
20180827,69300,69500,68900,69500,4552
20180824,68700,69200,68500,68900,1568
20180823,69900,69900,68800,68800,2078
20180822,69600,69900,69000,69800,5640
20180821,68700,69700,68100,69600,6258
20180820,68900,69200,68300,68900,4173
20180817,67800,69500,67400,68300,5913
20180816,67700,67800,67000,67800,5448
20180814,68000,68500,67500,68300,4238
20180813,68200,68400,67700,67700,5637
20180810,68900,69000,67900,68500,3651
20180809,69400,69400,67600,68900,4428
20180808,69300,69400,68600,69200,2427
20180807,68700,69400,67800,69300,5452
20180806,68400,68900,67900,68800,6870
20180803,66200,68500,66000,68300,9891
20180802,65600,66500,65500,65700,4605
20180801,65400,66200,65400,65800,3959
20180731,64000,65500,64000,64900,7177
20180730,65900,67000,64300,64400,9383
20180727,64100,64900,64100,64700,9159
20180726,63100,64500,60300,64400,4364
20180725,63900,64000,62300,63100,11947
20180724,63800,64500,63200,64200,7374
20180723,65200,65400,63200,63800,5188
20180720,64700,65900,64700,65200,3414
20180719,66200,66200,65100,65200,6446
20180718,67300,67300,65600,66300,4753
20180717,66600,67400,66600,66600,1905
20180716,66900,67400,66300,66600,2025
20180713,66600,67300,66600,67300,5488
20180712,66600,67400,66500,67000,5327
20180711,66900,67500,66500,66900,4662
20180710,66700,67800,66700,67000,2678
20180709,65000,66500,65000,66500,9190
20180706,64700,65500,64700,65200,4379
20180705,65500,65500,64500,64500,4380
20180704,63600,65500,63300,64800,4313
20180703,63400,64100,62700,63700,3717
20180702,64400,65000,62200,63300,5124
20180629,66100,66100,64300,64800,2498
20180628,67000,67300,65200,65300,2434
20180627,66800,67600,66000,67100,5889
20180626,65100,67000,64500,66800,4296
20180625,63600,65400,63500,65400,2586
20180622,63200,65000,62900,63600,4557
20180621,64300,64600,63700,63900,3379
20180620,63500,64700,63500,63700,8074
20180619,66300,66300,63700,63700,13455
20180618,66800,66800,65700,65700,5586
20180615,68800,68800,66700,66700,7750
20180614,68200,69400,66000,67600,35262
20180612,67800,69400,67400,69100,13621
20180611,67300,67900,67200,67800,8305
20180608,67900,68000,67200,67600,8553
20180607,67900,68600,67200,67400,10701
20180605,68500,68900,67700,67800,5676
20180604,69200,69300,68100,68500,5712
20180601,67300,69300,67300,69200,8749
20180531,68500,68800,67000,67200,10349
20180530,69300,69700,67000,68500,24786
20180529,69600,69900,69200,69800,4537
20180528,69200,70000,68800,69500,4998
20180525,69500,70200,69300,69500,3772
20180524,69800,70100,69400,69600,3463
20180523,69900,69900,69100,69800,4914
20180521,69200,70000,68600,69700,6206
20180518,69500,70200,68800,69100,4560
20180517,70000,70000,68800,69700,12125
20180516,69800,70500,69100,69800,11884
20180515,70200,70500,69600,70000,6511
20180514,69300,70400,69100,69600,11914
20180511,69500,70200,68700,69300,10270
20180510,69500,69800,68600,69000,5623
20180509,68900,69900,68500,69800,12044
20180508,69900,69900,68500,68800,15566
20180504,70400,71000,68900,69800,21825
20180503,70900,71200,70600,70800,11688
20180502,69700,71300,69400,70800,12635
20180430,72000,72000,69800,69800,18234
20180427,70900,71600,70500,71100,7136
20180426,70000,71500,70000,71100,16620
20180425,70000,70500,69200,69900,13659
20180424,71700,72200,69700,70000,37319
20180423,73300,73400,70900,71700,30995
20180420,74100,74700,73100,73600,14102
20180419,75900,76000,73500,74100,23309
20180418,77600,78000,75500,75900,18256
20180417,78400,78500,77000,77600,6760
20180416,77300,78900,76900,78300,11643
20180413,78200,78300,76100,77300,9642
20180412,77700,78200,76000,77700,16638
20180411,77000,78800,76300,77800,42735
20180410,73900,77300,73200,77000,51355
20180409,73400,73700,71900,73400,18343
20180406,73000,73700,71900,73500,7838
20180405,73200,73200,72300,72700,4950
20180404,72700,73900,72200,72900,6877
20180403,72800,73200,71400,73000,8758
20180402,72400,73300,72200,73000,8150
20180330,73000,73500,72100,72100,8158
20180329,72100,73300,72000,73000,7261
20180328,72000,72500,71300,72100,9658
20180327,71700,72300,71100,72200,9228
20180326,71500,71500,70000,71300,7851
20180323,73100,73300,71200,71300,23884
20180322,74100,75200,73200,74200,19717
20180321,72600,74300,72600,74000,9889
20180320,72800,73200,72400,72700,5409
20180319,72700,73000,72200,73000,3523
20180316,74700,74700,72700,72700,8677
20180315,73000,74600,72100,74500,13389
20180314,73100,73600,72600,73300,6062
20180313,73700,73800,72700,73100,9329
20180312,73800,74100,72800,73800,6446
20180309,72200,73300,72200,73300,19317
20180308,70600,72300,70600,72200,4471
20180307,72900,73000,70900,71500,15459
20180306,72800,72900,71800,72700,10652
20180305,71800,73000,71500,72000,8074
20180302,72500,72500,71100,72100,13942
20180228,75000,75000,72500,72500,16714
20180227,75300,75900,74300,75000,7737
20180226,74400,75500,74000,75200,9756
20180223,73100,74500,73100,74100,7942
20180222,74800,74900,73300,73600,18124
20180221,74200,75400,74000,74800,9711
20180220,74300,75300,73900,74400,8380
20180219,73800,74200,72800,73900,13494
20180214,73500,75000,72600,73800,21483
20180213,73100,74400,72300,72700,19323
20180212,72100,73800,72100,72800,15003
20180209,72300,73000,70800,71600,19623
20180208,72300,74100,72000,72800,12485
20180207,74100,75500,72700,73000,14419
20180206,73600,73900,72100,73700,29418
20180205,75900,76200,74400,75100,29230
20180202,76300,76400,74600,74900,20493
20180201,79000,79600,76300,76300,34603
20180131,78000,78500,76900,78200,20344
20180130,78700,80900,78000,78700,33545
20180129,79300,79300,77300,79000,14324
20180126,78600,79200,77900,78600,15861
20180125,78300,78800,77300,78600,15720
20180124,78000,78500,77000,78100,11698
20180123,76300,77900,76300,77800,13791
20180122,75900,76300,74800,76300,9555
20180119,76900,77400,75200,76100,12541
20180118,75500,76200,74900,76000,13295
20180117,77200,77300,74800,76000,9806
20180116,76500,77900,75500,77300,17589
20180115,78500,79000,75600,77300,28425
20180112,73200,78200,73100,77000,77725
20180111,73700,73800,71700,73500,17812
20180110,72900,73700,72100,73400,14287
20180109,70900,73400,70700,73100,18825
20180108,72300,72300,70200,71000,9667
20180105,71300,72300,71000,71000,13156
20180104,73700,73700,71300,71500,8277
20180103,73400,73800,71700,73700,20423
20180102,72400,72600,70800,71900,17257
20171228,71700,72700,70900,72500,9071
20171227,70800,72100,70100,71500,12299
20171226,70200,71400,70100,70900,18899
20171222,69200,70300,68700,70200,7049
20171221,69000,69600,68800,69200,6570
20171220,69500,69800,68700,69000,14308
20171219,71000,71400,68600,69700,27170
20171218,71500,71900,71100,71500,6131
20171215,73300,73400,71300,71500,22161
20171214,72700,74000,72500,73300,7446
20171213,72200,73200,72000,73000,7882
20171212,72300,72600,71500,72300,10895
20171211,71000,72300,70800,72200,3302
20171208,72500,72700,70700,71000,14826
20171207,73700,73700,71400,72500,11708
20171206,74100,74100,72100,73100,14373
20171205,76000,76000,72400,73600,17879
20171204,75500,75800,74800,75200,10251
20171201,73200,75900,73000,75300,16892
20171130,74000,74000,72000,73100,13542
20171129,73000,74200,72900,73400,12159
20171128,74900,75600,73100,73200,13415
20171127,73800,75000,73800,74500,8911
20171124,74800,75600,73500,74500,13341
20171123,74500,76500,73400,74400,39884
20171122,78600,78600,74300,74600,37838
20171121,78900,79000,77200,78100,16660
20171120,75800,79400,75700,78800,35045
20171117,77500,77800,75800,75800,19153
20171116,76300,77700,74200,77400,22388
20171115,76300,77900,74800,76800,56075
20171114,71200,76100,71200,76100,63137
20171113,72400,73000,71500,71600,18683
20171110,71700,72200,71000,72000,10297
20171109,72200,72500,71300,71400,23444
20171108,69600,72200,69300,72000,30686
20171107,70600,70700,68700,69600,13643
20171106,69000,70300,68100,70300,32975
20171103,68100,69600,67500,69600,36394
20171102,69000,69200,67600,68100,27496
20171101,69100,70400,68200,69000,19842
20171031,69500,69600,68200,68800,17327
20171030,70900,71800,69000,69400,20401
20171027,69800,71000,69100,70500,15738
20171026,70500,70900,69300,70400,15267
20171025,71900,72000,70600,70600,15418
20171024,72200,73000,70900,71500,13324
20171023,72500,73100,71900,72400,11791
20171020,72900,73600,72200,72300,12574
20171019,73100,74300,72300,73400,15391
20171018,72900,73800,71500,72100,19242
20171017,72400,73100,71500,72600,16766
20171016,71500,72000,70700,72000,13195
20171013,72400,72700,70900,71500,11932
20171012,72300,72800,71300,71900,16911
20171011,69100,71900,68600,71400,19599
20171010,69900,70600,68400,69100,15996
20170929,66600,70000,66600,69900,20566
20170928,68000,68000,66600,67000,5371
20170927,67400,68500,66100,67500,7154
20170926,66000,67700,65300,66900,8009
20170925,68500,69400,65800,66000,26333
20170922,71500,71500,69000,69100,23672
20170921,72400,75000,71300,71300,54274
20170920,67300,71600,67300,71000,50166
20170919,66700,67500,65800,67300,9824
20170918,67900,67900,66400,66700,9451
20170915,68100,68400,67400,67600,12716
20170914,67600,68900,67600,68100,9442
20170913,68600,68800,67600,67800,8556
20170912,67500,69000,67200,68700,11397
20170911,66800,67700,66800,67600,6178
20170908,68300,68400,66300,67100,9424
20170907,66000,67900,66000,67600,17412
20170906,65900,66600,65000,65800,16537
20170905,66800,67100,65800,66300,10134
20170904,67000,68200,66700,67000,14465
20170901,68800,69100,67800,69100,12452
20170831,69000,69000,67900,68700,8988
20170830,68500,69000,67700,68500,8742
20170829,68300,70100,67500,68500,14816
20170828,67300,68900,67100,68800,15630
20170825,66800,67200,66500,67000,8965
20170824,66700,67800,66200,66800,9328
20170823,66400,66800,66000,66700,16901
20170822,65700,66600,65700,66300,11908
20170821,66400,66900,65600,65900,14336
20170818,64500,66500,64500,66400,12277
20170817,65700,66000,64200,64800,20363
20170816,66200,67000,65400,66000,15622
20170814,66500,67300,65300,65700,13205
20170811,67000,67300,65700,66300,17316
20170810,67900,68600,66700,67400,6989
20170809,66800,68400,66800,67800,5982
20170808,68900,69000,67700,67800,8036
20170807,65700,69200,65700,68700,26481
20170804,66700,67100,66000,66000,13635
20170803,67700,67700,65500,66900,14360
20170802,67300,67600,66700,67600,5531
20170801,66200,67800,66200,67300,7412
20170731,68000,68800,66500,66700,31643
20170728,70600,70800,69500,69900,11224
20170727,71000,71000,70000,70600,5653
20170726,69200,70700,69100,70400,19013
20170725,70000,71000,68900,69200,21100
20170724,69500,69900,68600,69400,6056
20170721,70700,70700,68800,69100,11962
20170720,70000,70800,69600,70400,7171
20170719,70300,71500,69500,70000,10812
20170718,70800,71600,70200,71000,10241
20170717,67600,70900,67600,70800,21150
20170714,68000,68700,67000,68000,39078
20170713,70900,71400,69400,69800,13827
20170712,72000,72500,70600,70800,9599
20170711,72400,72600,71600,72000,9593
20170710,73300,73300,71700,72400,8662
20170707,72000,72700,71600,72700,7994
20170706,73500,73500,72200,72200,8668
20170705,73000,73600,72300,72700,11506
20170704,74100,74800,72900,73300,15924
20170703,77900,77900,73800,74000,19959
20170630,76100,77400,74600,76500,19035
20170629,74000,77200,73400,76700,27934
20170628,74700,74900,73400,73700,19164
20170627,72600,75000,72500,74900,14360
20170626,74200,75000,72600,73000,11239
20170623,73000,74700,72900,74200,15080
20170622,75400,75400,72200,73300,23079
20170621,74100,75300,74100,74400,9820
20170620,76700,76800,74600,74700,21065
20170619,76200,77100,75000,76700,17794
20170616,78600,78900,75500,75500,30570
20170615,80000,80000,77700,77900,23108
20170614,81000,81000,78700,80300,34215
20170613,79700,81300,79700,80400,21865
20170612,81000,81400,78300,80500,25100
20170609,83900,83900,82000,82000,27004
20170608,81300,83500,80000,83500,42771
20170607,80400,81600,79000,81500,26424
20170605,79500,81000,78700,80200,31560
20170602,78100,79500,76300,78400,27296
20170601,78500,78800,76800,78000,26214
20170531,74800,79100,73700,78100,80786
20170530,72900,74800,71600,74500,20654
20170529,72300,72800,71300,72300,14980
20170526,74100,74400,71700,72300,22734
20170525,69700,74100,69600,73800,89651
20170524,66700,69700,66100,69400,38361
20170523,65800,66400,65000,66100,8717
20170522,66400,66600,65200,65500,13418
20170519,66100,66700,65600,66300,8329
20170518,65900,66400,65400,65900,19742
20170517,67900,68100,66900,67000,10489
20170516,68600,68700,66100,67900,18665
20170515,68700,69200,67700,68600,7690
20170512,69400,69900,68300,68700,10990
20170511,69200,70200,68700,69400,20160
20170510,70200,70200,68700,69200,15221
20170508,67300,70800,66700,69700,36076
20170504,66600,67400,65900,67100,13402
20170502,68500,68500,66000,66400,22998
20170428,68800,69000,67800,68500,10789
20170427,68800,68800,67400,68700,303936
20170426,69500,69600,68600,68600,8137
20170425,68100,69800,68100,69000,10772
20170424,69100,69300,67800,67900,16657
20170421,70000,70300,68900,69100,17733
20170420,69100,70700,68900,69600,21359
20170419,69300,70000,68500,69600,22047
20170418,69100,69800,67600,69800,21578
20170417,68700,69900,68200,68500,17046
20170414,70200,70800,68400,68700,11548
20170413,68000,70400,67400,70100,17606
20170412,68300,69100,66900,68300,19394
20170411,67600,69400,67600,68700,9125
20170410,69600,70300,67800,68300,23601
20170407,70800,72800,69800,70500,23224
20170406,70300,70800,69400,70800,11790
20170405,70600,71500,70100,70300,21399
20170404,70200,71800,69000,71000,20611
20170403,68700,70100,67900,70100,34279
20170331,67100,69500,67100,68000,15681
20170330,67500,68900,66500,67700,13657
20170329,67300,68200,65500,68200,24898
20170328,68500,69200,66600,66800,31155
20170327,64100,69500,64000,68000,70758
20170324,60100,64800,59600,64300,63559
20170323,58700,59400,58500,59300,19020
20170322,58600,59300,57500,57600,18629
20170321,58100,58800,57600,58500,9085
20170320,59600,59600,57900,57900,10730
20170317,59400,60000,58600,59300,9404
20170316,59700,59700,58400,59300,11151
20170315,60300,60500,58500,58700,19765
20170314,62000,62000,60000,60300,13431
20170313,61300,61800,61300,61600,4486
20170310,61200,61700,60400,61600,6712
20170309,60800,61200,60500,60700,6405
20170308,60700,61100,60300,60700,10153
20170307,60600,61500,59800,60500,4786
20170306,60000,61400,60000,61000,5358
20170303,61000,61000,59700,60000,8196
20170302,61400,61600,60100,61200,13840
20170228,62400,62400,60700,61100,11594
20170227,63400,63900,61100,62100,20423
20170224,62700,63200,62100,62800,13495
20170223,61200,63700,61200,62600,28069
20170222,61400,61700,60800,61100,7800
20170221,62100,62600,60700,61400,20169
20170220,62900,63000,61500,62100,9047
20170217,61200,63100,60400,62700,21948
20170216,61900,61900,60600,61200,7281
20170215,60700,62100,60700,61600,11929
20170214,60400,60700,60100,60500,4102
20170213,59300,60500,58800,60400,5539
20170210,58900,59400,58600,59300,8718
20170209,59400,59400,58200,58900,7684
20170208,60600,60600,58900,59200,15908
20170207,60300,62500,59700,60400,20735
20170206,59600,60700,59000,60500,14451
20170203,59000,59300,58000,59300,11494
20170202,59700,60200,58100,58300,9652
20170201,59000,59900,58500,59700,8916
20170131,57600,59100,57500,59100,11554
20170126,57200,57700,56500,57600,11884
20170125,58600,59200,56400,56900,25453
20170124,60000,60600,58400,58800,14939
20170123,61400,61800,59500,60000,19505
20170120,61800,62300,61600,61700,5527
20170119,62900,62900,61600,61600,10180
20170118,62500,63000,62100,62300,9276
20170117,62800,63200,61900,62500,12132
20170116,63500,63900,62600,62800,8075
20170113,62500,63800,62500,63500,5598
20170112,64300,64700,62300,62600,20609
20170111,65000,65300,64100,64800,11524
20170110,64600,66500,64500,64900,16626
20170109,65700,66300,64800,64800,9804
20170106,67500,68000,65400,65700,24922
20170105,66200,67900,66200,67500,16716
20170104,66200,66700,65100,65900,25745
20170103,67500,67500,65900,66200,10703
20170102,69000,69000,66900,67300,9570
20161229,68300,68900,67900,68900,13382
20161228,69000,69500,68200,69000,13133
20161227,68700,69400,68400,69000,11515
20161226,68900,70400,68800,69300,18326
20161223,66600,69000,66500,68600,12193
20161222,67700,67900,66700,67300,10528
20161221,68300,68400,66900,67700,6993
20161220,67300,68300,66700,68300,9841
20161219,67400,68600,66500,66800,5946
20161216,68500,69000,67800,68000,8269
20161215,68500,69800,67900,68800,13098
20161214,70100,70100,67400,68800,25445
20161213,65600,70200,65600,70000,35989
20161212,65100,66100,64900,65500,13478
20161209,65200,66300,63800,64900,13157
20161208,65400,65900,64400,65200,5947
20161207,65500,66300,62200,65000,17325
20161206,65000,66700,64900,65500,6958
20161205,63800,65000,63300,65000,11153
20161202,65500,66900,63800,65300,15809
20161201,63100,66500,62200,66300,18855
20161130,61600,64000,61200,64000,17771
20161129,61400,63100,60300,61600,44958
20161128,62800,62800,61600,61700,2227
20161125,60800,62900,60800,62500,5905
20161124,62100,62700,61100,61100,7548
20161123,63100,63100,61700,62100,11525
20161122,65900,65900,62800,63300,11319
20161121,66500,66500,64600,65000,6174
20161118,67400,67400,65900,66100,3960
20161117,68000,68000,66600,67400,6393
20161116,66300,68400,66000,68100,11823
20161115,65700,67400,65100,66100,7289
20161114,67100,67500,65500,65700,35689
20161111,67700,69400,66100,66700,20538
20161110,64200,68300,64200,67700,30049
20161109,65000,65500,60800,62800,18261
20161108,66300,66300,64600,65000,8653
20161107,66100,66800,64500,65500,13591
20161104,66300,66900,65100,66300,4637
20161103,62600,66700,62600,66300,14850
20161102,64800,65400,64200,64400,19191
20161101,65400,67100,64600,65200,21104
20161031,66600,67400,64700,66400,13580
20161028,68200,69300,66200,66300,9170
20161027,67000,69200,66500,68800,11848
20161026,66100,67700,65100,67100,11720
20161025,65300,67600,64400,67000,19576
20161024,68300,68700,66200,66300,17155
20161021,67600,68900,67300,67700,16924
20161020,68200,68400,67300,67700,8454
20161019,69100,69300,68100,68200,7459
20161018,67300,69100,67300,69100,10610
20161017,68700,68700,67200,67600,12028
20161014,68300,69600,67600,68100,8597
20161013,70100,70300,68100,68200,15353
20161012,69500,70100,68700,70000,18223
20161011,70200,70400,68200,68800,32323
20161010,68600,70200,68600,69500,15023
20161007,71700,72100,68200,68600,65746
20161006,73100,73900,71100,71200,25326
20161005,74900,76100,73100,73400,21559
20161004,75100,76600,74000,75100,17426
20160930,81800,81800,76300,76500,59888
20160929,80100,82500,79500,81700,22483
20160928,80700,81900,79900,80200,11570
20160927,78000,80700,78000,79900,17475
20160926,77500,79500,76300,78100,13526
20160923,75700,78100,75700,77400,20331
20160922,77100,77700,75400,75600,15209
20160921,76500,77600,75500,77100,18204
20160920,73500,76800,73300,76600,27025
20160919,73400,74700,73300,73500,10931
20160913,75000,75600,73200,73400,14451
20160912,75300,75700,74400,74900,11924
20160909,78800,78800,76400,76500,10939
20160908,77700,79200,75900,79000,22709
20160907,79300,81200,77600,77700,16368
20160906,81700,81700,79800,80400,6910
20160905,80700,81700,79100,81700,11817
20160902,80400,80500,78900,79900,7604
20160901,81300,81300,78100,80400,24980
20160831,82700,82800,80300,81300,14162
20160830,83400,83900,82900,82900,3690
20160829,84200,85600,83100,83300,11926
20160826,85600,85600,84200,85300,4455
20160825,83500,85100,83200,85100,5023
20160824,84500,84800,83100,84600,7262
20160823,82800,85100,81600,84200,9335
20160822,85400,85500,82600,82600,23899
20160819,86400,88000,84900,85400,14113
20160818,87400,87400,86400,86600,5970
20160817,87900,88400,86200,87400,10699
20160816,87800,88600,87200,87900,7650
20160812,87100,88500,87100,87700,8812
20160811,88000,88800,87400,87700,9656
