,open,high,low,close,volume
20181109,2230,2245,2130,2135,363613
20181108,1860,2330,1845,2230,2082127
20181107,1860,1880,1845,1845,6577
20181106,1805,1865,1805,1860,11578
20181105,1810,1840,1775,1835,11021
20181102,1800,1835,1775,1835,4728
20181101,1770,1830,1765,1800,5707
20181031,1760,1780,1735,1770,7167
20181030,1700,1805,1700,1705,28450
20181029,1745,1760,1725,1725,14098
20181026,1795,1865,1730,1750,40020
20181025,1815,1835,1770,1795,26614
20181024,1860,1865,1800,1815,23531
20181023,1850,1880,1835,1860,14868
20181022,1880,1890,1865,1880,7904
20181019,1865,1935,1855,1870,16456
20181018,1950,1955,1865,1870,43278
20181017,1900,1920,1875,1920,23798
20181016,1885,1935,1885,1900,40877
20181015,1970,1970,1875,1895,20690
20181012,1910,1945,1880,1930,37120
20181011,1925,1945,1900,1920,36375
20181010,2025,2025,1970,1970,9287
20181008,2035,2070,2025,2030,27283
20181005,1970,2140,1960,2055,134132
20181004,1945,1960,1930,1960,6246
20181002,1970,1970,1930,1960,15174
20181001,1955,1985,1945,1965,9860
20180928,2000,2000,1950,1970,8088
20180927,1970,2000,1945,2000,18367
20180921,1975,1990,1945,1955,33349
20180920,2000,2005,1975,1980,12977
20180919,2045,2055,1990,1990,41389
20180918,2050,2060,2025,2060,10335
20180917,2045,2075,2000,2065,14752
20180914,2055,2055,2030,2045,14147
20180913,2080,2080,2035,2055,22069
20180912,2105,2115,2040,2055,31962
20180911,2060,2110,2040,2110,33458
20180910,2145,2145,2055,2080,34910
20180907,2115,2160,2045,2100,140980
20180906,1995,2230,1995,2085,432420
20180905,1990,2025,1985,1995,44049
20180904,2025,2040,1975,2005,72283
20180903,2110,2115,2000,2025,214003
20180831,1865,2390,1865,2130,564800
20180830,1865,1870,1850,1865,12756
20180829,1865,1875,1855,1865,3219
20180828,1860,1870,1855,1860,11077
20180827,1880,1880,1855,1870,12000
20180824,1865,1890,1860,1880,8214
20180823,1875,1880,1855,1875,9443
20180822,1880,1885,1865,1885,9304
20180821,1850,1895,1850,1890,12337
20180820,1880,1895,1855,1870,12339
20180817,1880,1880,1835,1880,32468
20180816,1905,1905,1840,1870,41387
20180814,1905,1915,1895,1905,18848
20180813,1910,1920,1900,1915,17756
20180810,1925,1950,1915,1915,21039
20180809,1925,1940,1900,1925,7551
20180808,1915,1935,1900,1935,12903
20180807,1920,1935,1915,1915,4273
20180806,1905,1940,1905,1935,24162
20180803,1900,1915,1895,1915,8871
20180802,1900,1925,1885,1885,12904
20180801,1895,1915,1885,1905,18951
20180731,1900,1925,1885,1900,23018
20180730,1895,1950,1890,1900,60099
20180727,1895,1895,1870,1895,8149
20180726,1840,1890,1840,1890,8362
20180725,1855,1870,1840,1840,14878
20180724,1845,1895,1845,1860,16785
20180723,1885,1885,1845,1860,39144
20180720,1870,1920,1870,1900,20232
20180719,1885,1890,1865,1880,19077
20180718,1890,1915,1880,1885,21672
20180717,1890,1900,1880,1900,7082
20180716,1890,1905,1880,1900,11413
20180713,1910,1920,1880,1910,18015
20180712,1900,1920,1890,1910,5913
20180711,1915,1950,1895,1910,9529
20180710,1840,1910,1840,1905,14718
20180709,1890,1895,1820,1850,118384
20180706,1875,1905,1870,1885,11400
20180705,1905,1910,1860,1875,34870
20180704,1925,1925,1900,1920,14423
20180703,1900,1920,1900,1920,11781
20180702,1930,1935,1905,1910,28679
20180629,1940,2010,1935,1935,39345
20180628,1930,2000,1900,1940,25474
20180627,1940,1965,1880,1940,31679
20180626,1950,1960,1925,1950,8504
20180625,1925,1965,1920,1955,18781
20180622,1970,1980,1915,1935,28802
20180621,2025,2035,1970,1980,29291
20180620,2020,2035,2015,2035,5479
20180619,2055,2095,2030,2030,44470
20180618,2105,2195,2020,2050,26119
20180615,2130,2160,2000,2120,61647
20180614,2195,2195,2125,2150,18745
20180612,2190,2190,2155,2175,33592
20180611,2200,2205,2180,2190,24861
20180608,2200,2215,2180,2205,22223
20180607,2205,2245,2175,2200,23673
20180605,2265,2315,2090,2220,63205
20180604,2320,2330,2255,2320,46676
20180601,2300,2320,2260,2320,33455
20180531,2290,2355,2265,2320,43977
20180530,2315,2360,2255,2315,23689
20180529,2430,2470,2305,2310,63364
20180528,2550,2550,2380,2475,221958
20180525,2290,2375,2160,2250,127730
20180524,2420,2470,2420,2440,43057
20180523,2440,2470,2390,2450,52435
20180521,2460,2575,2415,2440,177655
20180518,2445,2460,2360,2445,79102
20180517,2470,2530,2385,2440,177467
20180516,2515,2515,2365,2445,120253
20180515,2535,2600,2445,2535,217649
20180514,2405,2550,2405,2470,172195
20180511,2400,2435,2355,2405,75923
20180510,2455,2470,2365,2390,149309
20180509,2545,2670,2400,2455,728102
20180508,2350,2555,2305,2515,380905
20180504,2300,2400,2300,2395,115613
20180503,2465,2465,2345,2365,122305
20180502,2445,2485,2345,2425,253622
20180430,2275,2420,2270,2375,365891
20180427,2310,2435,2250,2255,539518
20180426,2410,2545,2260,2285,836924
20180425,2070,2735,2055,2445,4198950
20180424,2140,2165,2085,2135,128973
20180423,2035,2290,1980,2155,612275
20180420,2040,2040,1975,1995,103276
20180419,1890,2070,1890,2005,337605
20180418,1930,1940,1890,1895,38614
20180417,1895,1910,1840,1910,61003
20180416,1915,1915,1870,1895,44541
20180413,1895,1910,1890,1900,19983
20180412,1895,1915,1895,1895,7375
20180411,1900,1910,1895,1895,20650
20180410,1915,1935,1895,1910,21658
20180409,1905,1935,1895,1910,13847
20180406,1905,1925,1900,1905,25172
20180405,1925,1945,1900,1905,23919
20180404,1925,1950,1905,1920,19473
20180403,1915,1945,1900,1915,72900
20180402,1970,1975,1900,1905,30072
20180330,1915,1980,1915,1950,19402
20180329,1915,1950,1905,1935,9049
20180328,1905,1995,1905,1915,25665
20180327,1965,1965,1900,1905,19953
20180326,1900,1935,1885,1920,18431
20180323,1900,1930,1885,1895,38975
20180322,1915,1920,1900,1900,26585
20180321,1915,1925,1900,1915,19112
20180320,1930,1945,1900,1915,23356
20180319,1925,1970,1900,1935,24590
20180316,1915,1935,1900,1925,33010
20180315,1960,1960,1900,1915,45329
20180314,1990,2000,1955,1960,20309
20180313,1990,2050,1980,2000,29242
20180312,1925,2050,1885,2010,106044
20180309,1890,1915,1890,1915,33360
20180308,1900,1930,1895,1925,19367
20180307,1940,1970,1890,1905,29639
20180306,1950,1980,1890,1910,25992
20180305,1910,1980,1855,1950,65143
20180302,1945,1945,1865,1890,53537
20180228,1995,2040,1850,1930,167966
20180227,2070,2070,2070,2070,0
20180226,2070,2070,2070,2070,0
20180223,2070,2070,2070,2070,0
20180222,2070,2070,2070,2070,0
20180221,2070,2070,2070,2070,0
20180220,2070,2070,2070,2070,0
20180219,2070,2070,2070,2070,0
20180214,2070,2070,2070,2070,0
20180213,2070,2070,2070,2070,0
20180212,2070,2070,2070,2070,0
20180209,2070,2070,2070,2070,0
20180208,2070,2070,2070,2070,0
20180207,2070,2070,2070,2070,0
20180206,2070,2070,2070,2070,0
20180205,2070,2070,2070,2070,0
20180202,2070,2115,2025,2070,36048
20180201,2130,2140,2050,2070,62507
20180131,2110,2140,2060,2130,77360
20180130,2140,2155,2095,2115,63342
20180129,2170,2175,2140,2140,36949
20180126,2175,2175,2110,2165,55717
20180125,2090,2150,2085,2145,90611
20180124,2100,2100,2070,2085,42497
20180123,2065,2075,2050,2070,34088
20180122,2030,2100,2030,2060,52397
20180119,2050,2075,2015,2055,58056
20180118,2080,2085,1990,2065,58732
20180117,2040,2090,2030,2075,75257
20180116,2045,2045,2010,2025,34987
20180115,2020,2050,1970,2035,48938
20180112,2010,2020,1985,2020,79461
20180111,2015,2020,1950,1985,42746
20180110,1980,2030,1970,2005,80840
20180109,2015,2015,1980,2000,44140
20180108,2020,2020,1980,2005,82579
20180105,1890,2065,1890,1975,237863
20180104,1920,1930,1880,1890,43895
20180103,1895,1930,1885,1910,25326
20180102,1910,1915,1885,1895,30000
20171228,1930,1930,1875,1915,18487
20171227,1845,1925,1845,1915,42738
20171226,1905,1925,1855,1865,47346
20171222,1900,1905,1840,1900,28906
20171221,1910,1920,1860,1905,54396
20171220,1935,1935,1845,1915,81006
20171219,2005,2005,1875,1935,171665
20171218,2025,2045,1940,1995,196768
20171215,1915,2405,1915,2020,1094708
20171214,1875,1935,1875,1935,64171
20171213,1845,1905,1840,1885,39331
20171212,1880,1930,1830,1835,22584
20171211,1835,1900,1830,1870,17189
20171208,1890,1890,1785,1830,58466
20171207,1950,1950,1870,1890,25640
20171206,1970,1970,1920,1950,34668
20171205,1960,1970,1920,1970,90800
20171204,1895,1960,1855,1960,131873
20171201,1840,1900,1830,1860,64777
20171130,1810,1890,1770,1820,255049
20171129,1870,1870,1785,1790,88331
20171128,1855,1870,1825,1845,32502
20171127,1845,1865,1795,1825,65420
20171124,1885,1890,1845,1855,87028
20171123,1880,1890,1870,1885,39735
20171122,1890,1890,1865,1885,16466
20171121,1890,1895,1880,1885,18592
20171120,1920,1920,1875,1885,55014
20171117,1930,1935,1900,1915,20686
20171116,1920,1930,1905,1930,25671
20171115,1940,1950,1905,1915,40916
20171114,1940,1940,1930,1940,26580
20171113,1965,1975,1935,1940,33052
20171110,1970,1975,1955,1965,10218
20171109,1990,1990,1945,1960,16891
20171108,1980,1985,1960,1980,12651
20171107,1965,2000,1960,1970,19100
20171106,1950,1970,1950,1960,15815
