,open,high,low,close,volume
20181109,9780,9880,9180,9310,47411
20181108,8840,11200,8500,10000,362518
20181107,8650,9740,8370,8690,45704
20181106,8650,8650,8410,8650,512
20181105,8390,8680,8030,8590,1259
20181102,8480,8480,8200,8390,491
20181101,8100,8690,8030,8230,4247
20181031,8770,8770,8210,8290,1944
20181030,8020,8650,8020,8340,3071
20181029,8400,8400,7980,8150,3752
20181026,7500,9000,7500,8170,20630
20181025,7920,7930,7620,7700,579
20181024,7940,7970,7780,7920,230
20181023,7990,8000,7730,7940,527
20181022,8070,8070,7950,7950,846
20181019,8040,8440,7990,8210,722
20181018,8500,8500,7950,8000,1659
20181017,7960,8490,7900,8250,2462
20181016,8070,8070,7800,7980,392
20181015,8050,8130,7860,8000,782
20181012,7950,8240,7910,8050,686
20181011,7730,8170,7730,8100,4940
20181010,7910,8190,7590,8180,3930
20181008,8190,8190,7890,7910,1266
20181005,8030,8350,8000,8050,4124
20181004,8380,8440,8210,8230,751
20181002,8470,8690,8250,8250,1534
20181001,8570,8750,8200,8470,6143
20180928,8510,8830,8510,8660,1695
20180927,8680,8870,8600,8670,3114
20180921,8540,8730,8530,8590,1907
20180920,8640,8770,8530,8640,799
20180919,8960,9180,8600,8600,2524
20180918,8930,9370,8770,8960,8336
20180917,8870,9150,8870,8930,3008
20180914,9140,9250,8930,9000,8546
20180913,9140,9370,8960,9130,4891
20180912,9880,9880,9130,9140,10176
20180911,10000,10000,9430,9600,8436
20180910,9220,9900,9080,9880,12251
20180907,9290,9770,9080,9220,7396
20180906,8600,9880,8600,9150,29718
20180905,8910,9050,8760,8780,4786
20180904,8810,9130,8760,8910,5616
20180903,9350,9830,8850,8860,25076
20180831,8560,10150,8450,9490,126497
20180830,8470,8720,8280,8430,2202
20180829,8790,8790,8410,8410,1844
20180828,8680,8720,8450,8680,3139
20180827,8510,9000,8510,8600,850
20180824,8720,8720,8580,8630,424
20180823,8720,8730,8550,8720,499
20180822,8770,8780,8610,8730,878
20180821,8900,8900,8460,8790,461
20180820,8780,9120,8660,8810,526
20180817,8750,8880,8620,8780,880
20180816,8880,8880,8610,8770,1079
20180814,8880,8880,8500,8780,1705
20180813,8780,8900,8370,8700,3521
20180810,8550,8840,8360,8650,13186
20180809,8160,8550,8160,8550,951
20180808,8260,8500,8120,8460,3007
20180807,8280,8410,8230,8310,2010
20180806,8510,8540,8300,8300,2003
20180803,8510,8740,8420,8550,6552
20180802,8440,8800,8410,8730,2845
20180801,8400,9230,8050,8560,17536
20180731,9330,9780,8410,8420,22221
20180730,8490,10150,8320,9360,82199
20180727,8380,8480,8110,8420,5028
20180726,8010,8400,7780,8360,12999
20180725,8030,8290,7900,7900,2083
20180724,7780,8340,7780,8030,2769
20180723,7990,8180,7730,7900,882
20180720,7670,8060,7670,7990,2181
20180719,8070,8150,7750,7750,2714
20180718,7900,9200,7900,7900,27866
20180717,7870,7930,7760,7900,1535
20180716,7870,7870,7650,7850,1670
20180713,7820,7820,7620,7760,383
20180712,7850,7850,7540,7780,2015
20180711,7790,7880,7700,7810,1366
20180710,7900,7900,7520,7780,1759
20180709,7830,7960,7580,7620,1801
20180706,7900,7900,7650,7830,724
20180705,7990,7990,7620,7840,214
20180704,7620,7810,7620,7800,188
20180703,7690,7830,7540,7620,798
20180702,7850,8000,7640,7650,3395
20180629,7800,8150,7800,8060,3474
20180628,7800,8050,7740,7800,2026
20180627,7730,8170,7730,7800,1868
20180626,8000,8020,7770,7770,1602
20180625,8000,8060,7770,8020,1536
20180622,8140,8260,7900,8000,3233
20180621,8570,8690,8150,8230,5502
20180620,8870,8900,8470,8600,5058
20180619,9000,9000,8570,8790,1709
20180618,9000,9010,8650,8890,3630
20180615,9050,9050,8700,8890,3700
20180614,8990,9200,8700,8890,4049
20180612,9030,9260,8750,8880,5744
20180611,9010,9430,8650,8970,12462
20180608,8970,9450,8660,9010,8373
20180607,9110,9130,8610,8960,3873
20180605,9120,9640,8550,9050,15753
20180604,9860,10000,9120,9120,12500
20180601,10300,10400,9800,9800,20320
20180531,10800,11600,10100,10600,44679
20180530,10400,10650,9850,10050,16940
20180529,11050,11450,10300,10400,64773
20180528,11000,12500,10600,11200,196523
20180525,9500,10100,9310,10000,17343
20180524,10400,10800,9540,10100,57674
20180523,11500,13350,10250,10400,129484
20180521,10450,12650,9940,11350,231372
20180518,10150,10750,9700,10300,68675
20180517,9360,11000,9280,10150,112233
20180516,9000,9820,9000,9200,57865
20180515,10900,11950,10000,10300,118643
20180514,10100,11200,9770,10500,140426
20180511,9640,10150,9270,9640,55557
20180510,10500,10600,9460,9640,132477
20180509,10200,12700,10000,10650,448279
20180508,8180,10150,8010,9770,237915
20180504,8300,8650,8050,8450,26546
20180503,8810,8900,8240,8260,23583
20180502,9230,9500,8310,8800,64177
20180430,8740,9590,8400,9130,97306
20180427,8800,10000,7940,8250,235311
20180426,10000,10950,8220,8350,283396
20180425,7140,9410,7140,9410,346659
20180424,7260,7400,7100,7240,7957
20180423,7050,7590,7040,7320,45389
20180420,7100,7270,6960,6960,4476
20180419,7050,7330,6970,7150,8743
20180418,6930,7400,6930,7040,3132
