,open,high,low,close,volume
20181109,3250,3260,3070,3080,64220
20181108,2965,3700,2900,3300,651718
20181107,2990,3110,2905,2910,50533
20181106,2965,2965,2860,2875,573
20181105,2845,3000,2800,2865,9105
20181102,2830,2975,2830,2845,1210
20181101,2700,2890,2695,2830,2223
20181031,2820,2900,2600,2750,4221
20181030,2565,2950,2560,2790,10798
20181029,2795,2985,2650,2650,24429
20181026,2740,3245,2675,2885,52332
20181025,2955,2955,2700,2700,13991
20181024,3105,3105,2960,2960,1772
20181023,3180,3190,3095,3110,941
20181022,3200,3235,3170,3185,363
20181019,3185,3200,3170,3200,203
20181018,3195,3305,3130,3180,6474
20181017,3235,3250,3060,3200,23168
20181016,3235,3255,3215,3235,404
20181015,3250,3250,3180,3220,18645
20181012,3120,3230,3085,3195,6717
20181011,3200,3265,3095,3110,12537
20181010,3305,3420,2910,3325,43316
20181008,3445,3475,3400,3430,324
20181005,3415,3470,3355,3445,3561
20181004,3450,3450,3395,3410,823
20181002,3450,3470,3305,3450,989
20181001,3405,3445,3395,3445,731
20180928,3550,3550,3365,3380,17165
20180927,3565,3570,3495,3540,4203
20180921,3510,3645,3495,3560,4208
20180920,3550,3645,3510,3610,1689
20180919,3650,3685,3530,3540,3254
20180918,3680,3755,3605,3620,11094
20180917,3665,3695,3635,3680,1501
20180914,3620,3660,3620,3660,1719
20180913,3620,3680,3580,3620,3312
20180912,3645,3710,3610,3610,3081
20180911,3660,3770,3605,3670,8483
20180910,3675,3735,3625,3685,4064
20180907,3600,3680,3560,3640,8149
20180906,3430,3770,3430,3575,46432
20180905,3495,3500,3450,3465,13480
20180904,3540,3595,3475,3490,24909
20180903,3700,3815,3520,3570,42483
20180831,3520,4295,3520,3730,259503
20180830,3520,3550,3420,3540,2823
20180829,3530,3530,3440,3500,1889
20180828,3465,3535,3450,3530,1231
20180827,3660,3660,3400,3525,2907
20180824,3670,3670,3550,3600,3410
20180823,3550,3690,3505,3580,471
20180822,3520,3580,3485,3525,3259
20180821,3565,3650,3500,3500,8326
20180820,3685,3685,3485,3565,7081
20180817,3725,3730,3505,3595,2657
20180816,3435,3780,3430,3585,5260
20180814,3420,3680,3400,3450,7220
20180813,3560,3645,3390,3390,8029
20180810,3420,3760,3390,3485,26922
20180809,3430,3430,3375,3415,4857
20180808,3405,3430,3370,3430,1223
20180807,3405,3445,3335,3400,14136
20180806,3460,3465,3385,3400,3783
20180803,3420,3465,3405,3460,1914
20180802,3495,3520,3400,3425,21295
20180801,3485,3500,3405,3495,1586
20180731,3625,3625,3400,3485,17170
20180730,3400,3750,3385,3605,87078
20180727,3390,3510,3365,3430,1185
20180726,3350,3460,3305,3390,2709
20180725,3340,3540,3340,3340,603
20180724,3310,3380,3250,3360,18760
20180723,3380,3380,3300,3300,7166
20180720,3370,3515,3365,3395,19283
20180719,3540,3540,3380,3380,4338
20180718,3555,3780,3450,3540,13646
20180717,3550,3590,3375,3540,1680
20180716,3520,3580,3330,3550,3733
20180713,3465,3535,3430,3500,1966
20180712,3410,3475,3395,3465,3017
20180711,3510,3520,3355,3450,947
20180710,3420,3500,3385,3490,1884
20180709,3525,3525,3310,3380,1782
20180706,3420,3460,3380,3425,1262
20180705,3335,3430,3325,3420,2875
20180704,3310,3360,3275,3350,1161
20180703,3405,3425,3300,3300,4490
20180702,3680,3755,3400,3400,4321
20180629,3620,3780,3480,3760,6057
20180628,3610,3615,3500,3610,1923
20180627,3485,3725,3485,3610,17455
20180626,3490,3560,3480,3530,9284
20180625,3610,3615,3505,3610,5610
20180622,3625,3625,3525,3620,5257
20180621,3865,3895,3560,3630,18278
20180620,3870,3895,3850,3860,4486
20180619,4065,4075,3860,3860,3898
20180618,4110,4120,3850,4055,6108
20180615,4030,4130,4005,4100,5275
20180614,4080,4120,4000,4010,8476
20180612,4105,4295,4055,4070,4636
20180611,4200,4440,4015,4135,11248
20180608,4190,4455,4135,4150,6725
20180607,4165,4200,4100,4170,4639
20180605,4180,4465,3925,4160,17148
20180604,4420,4485,4150,4180,8910
20180601,4670,4780,4350,4380,31273
20180531,4435,4975,4340,4640,66829
20180530,4635,4720,4300,4305,26969
