,open,high,low,close,volume
20181109,83100,84000,83100,83700,509
20181108,84100,84100,82900,83600,149
20181107,82900,83500,82700,83400,585
20181106,83400,84000,83200,83400,278
20181105,83500,83500,82600,83400,256
20181102,83800,84000,82500,83500,1151
20181101,82200,83300,82200,83200,370
20181031,81500,82500,81500,82400,512
20181030,82000,82300,81200,81900,1461
20181029,82900,82900,81500,81500,1225
20181026,83200,83700,82400,82800,1157
20181025,83400,83500,82700,83100,802
20181024,83400,83500,83300,83500,471
20181023,85200,85200,83300,83400,468
20181022,83800,84100,82900,83900,215
20181019,82900,84000,82900,83800,482
20181018,83800,83800,83300,83500,405
20181017,83000,84500,83000,83300,485
20181016,84500,84500,82900,82900,1310
20181015,85100,85100,83300,84000,1092
20181012,82500,84000,82500,83800,1850
20181011,85800,86600,84300,84300,1077
20181010,86300,87300,86300,86300,910
20181008,86800,87000,85800,86200,1077
20181005,85700,87100,85200,86800,968
20181004,86800,87000,85100,85700,683
20181002,85700,87000,85300,86000,1269
20181001,85500,85800,84800,85600,1536
20180928,86100,86700,85000,86000,1769
20180927,87400,87500,85500,87100,4985
20180921,88500,93300,88500,90800,14344
20180920,86800,87500,86300,87300,2046
20180919,85600,86200,85300,86200,839
20180918,84700,85300,84200,85200,981
20180917,84600,84900,84100,84700,432
20180914,83900,84900,83900,84600,1116
20180913,84200,84400,83200,83900,893
20180912,84300,84700,83800,84200,1394
20180911,84500,84500,83600,83800,334
20180910,83800,84500,83500,84000,455
20180907,84000,84100,83000,83800,760
20180906,84000,84000,83500,84000,430
20180905,83500,84000,83500,83700,616
20180904,83600,84000,83600,83900,167
20180903,84100,84100,83300,84000,617
20180831,83700,84300,83700,84100,457
20180830,83800,84000,83400,83900,575
20180829,84400,84400,83300,83800,182
20180828,83400,84200,83100,83900,355
20180827,83600,84000,82700,83400,463
20180824,83300,85000,83200,83600,593
20180823,83300,84000,83200,83400,382
20180822,85200,85200,82800,83300,619
20180821,83500,84000,83300,83700,273
20180820,84100,84200,83300,83300,399
20180817,84100,84300,83700,84100,283
20180816,84500,84900,82800,84100,493
20180814,83600,84600,83600,84500,504
20180813,85000,85400,84400,84600,908
20180810,85400,86100,84900,84900,681
20180809,84600,85100,84600,85000,751
20180808,85100,85100,84100,84600,423
20180807,84100,84900,83900,84700,282
20180806,84000,84600,83600,84500,392
20180803,83700,84300,83700,84000,136
20180802,84400,84400,83600,83700,151
20180801,83600,84000,83400,83700,232
20180731,83500,84000,83200,83600,180
20180730,83800,83900,83400,83500,120
20180727,83600,84100,83300,83800,274
20180726,83700,84400,82800,83600,546
20180725,84800,84800,83200,83700,432
20180724,83600,84700,83500,84500,213
20180723,85600,85600,83000,83100,1473
20180720,84700,85600,84500,85100,528
20180719,85100,86000,84300,84500,738
20180718,85900,86000,84900,85800,488
20180717,87000,87000,84500,85000,203
20180716,85800,85800,85000,85200,196
20180713,85000,85400,84800,85100,153
20180712,84800,85400,84600,85000,349
20180711,85700,85900,84700,84800,1248
20180710,85900,86200,84000,86200,1422
20180709,85900,86000,84400,84800,806
20180706,87300,87700,84300,85300,3431
20180705,87900,87900,86600,87100,348
20180704,87200,88000,86500,88000,883
20180703,86500,87400,86200,86500,259
20180702,86500,87200,86200,86200,1362
20180629,86100,87200,86100,86500,820
20180628,88400,89900,86100,86500,2701
20180627,88800,89100,87600,88200,2011
20180626,89800,90100,87900,88800,835
20180625,89800,89800,88500,88800,778
20180622,90000,90000,88600,88800,1398
20180621,90300,90700,88900,89600,1151
20180620,89700,90600,89400,90000,772
20180619,91500,91800,89700,89700,1274
20180618,91200,91500,90600,91500,1328
20180615,90300,91400,90300,91200,2041
20180614,91500,91500,89900,90000,1950
20180612,91400,91900,90300,91200,615
20180611,91100,92500,90800,91500,975
20180608,91900,92000,90000,91500,1843
20180607,90800,92400,89500,91200,2483
20180605,93700,96000,89900,90800,6446
20180604,90300,96000,89700,92500,12709
20180601,88500,89900,88500,89400,756
20180531,89400,89700,88500,89400,1170
20180530,90000,90600,88900,89400,2132
20180529,90000,90600,89600,90400,856
20180528,89900,91000,89500,90000,2048
20180525,89900,91900,89700,89900,1968
20180524,92000,92000,90600,91400,532
20180523,91500,92300,90700,91500,607
20180521,91300,91800,90600,91500,873
20180518,91000,92200,90500,91300,533
20180517,92700,93400,90400,91300,1810
20180516,91100,94500,90700,91500,4709
20180515,92300,93000,91000,91600,2664
20180514,93500,93500,91400,92300,5523
20180511,102000,106000,91800,94400,19289
20180510,90200,96700,90000,94300,8176
20180509,90500,90500,89700,90200,675
20180508,90700,90700,89600,89700,819
20180504,90100,90500,89900,90300,1018
20180503,90900,90900,89900,90100,539
20180502,90300,90600,89800,90300,2002
20180430,89500,90500,89400,89900,1657
20180427,90200,90200,89300,89400,972
20180426,89600,90300,89100,89900,229
20180425,90500,90500,89300,89800,535
20180424,90500,90500,89600,90100,616
20180423,90200,90700,89500,90000,706
20180420,90200,90500,89500,90200,494
20180419,90700,90800,89400,90200,891
20180418,90600,91100,89300,90000,1461
20180417,91000,91000,89500,90000,563
20180416,91100,91100,89000,90100,691
20180413,88300,90900,88300,90400,1386
20180412,87900,89000,87800,88600,881
20180411,87900,88200,87200,87900,585
20180410,87000,87600,86200,87100,688
20180409,87700,88300,86900,86900,830
20180406,88400,88400,87100,87500,770
20180405,89100,89100,87900,88400,442
20180404,88900,90000,87900,88400,1218
20180403,89500,89500,88700,89200,433
20180402,88500,90500,88500,89500,770
20180330,89900,90200,88800,89500,732
20180329,89000,89700,88500,89300,1578
20180328,90700,91600,90100,90300,2413
20180327,91300,91300,90700,90700,1651
20180326,90200,90900,89800,90900,635
20180323,91200,91200,90200,90200,1587
20180322,90800,91400,90200,91200,938
20180321,90300,91300,90200,90700,1197
20180320,91400,91400,90100,90600,715
20180319,91200,91600,90300,90800,537
20180316,90900,91300,90500,91200,466
20180315,90500,91300,90100,90900,851
20180314,90000,90600,89500,90500,280
20180313,89200,90700,89200,90000,655
20180312,89000,89400,88200,89200,576
20180309,88400,89000,87400,88800,978
20180308,88900,88900,87000,87900,875
20180307,88300,88500,87700,88200,458
20180306,87400,88800,87000,88000,269
20180305,87700,89500,87500,88400,349
20180302,88700,88700,87700,88300,418
20180228,87800,91000,87500,88600,2283
20180227,86900,87800,86200,87800,793
20180226,88400,88700,87300,87800,400
20180223,88000,88200,87400,88200,582
20180222,88400,88400,87300,87400,350
20180221,88000,89500,87500,88100,624
20180220,87000,87800,86400,87800,617
20180219,86000,86600,85700,86600,913
20180214,86100,86900,85000,85300,2080
20180213,89900,89900,86000,86000,3104
20180212,89400,89800,88000,88400,1503
20180209,89600,90800,88900,89000,2233
20180208,91900,91900,89600,89900,2269
20180207,90800,95000,90600,90800,5884
20180206,90700,98000,88900,91200,7460
20180205,90500,91200,90300,90700,1071
20180202,92800,92800,91300,91300,1066
20180201,92000,92500,90800,92400,1787
20180131,90100,91800,90100,91600,1145
20180130,91700,91800,90700,91200,565
20180129,90300,92100,90000,91500,1461
20180126,90400,90500,89800,90300,856
20180125,90000,90200,90000,90200,891
20180124,90000,90400,89900,90400,829
20180123,90200,90200,90000,90000,574
20180122,90200,90800,89800,90200,333
20180119,91000,91000,89800,90100,745
20180118,90300,90900,90200,90500,401
20180117,90900,90900,89900,90200,752
20180116,90000,90600,89800,90400,1232
20180115,90500,90500,90000,90100,1122
20180112,91100,91100,90300,90700,1377
20180111,91400,91400,90400,91000,1885
20180110,90700,92200,90500,90900,1134
20180109,90500,91000,90100,90700,1934
20180108,93600,93600,90200,90500,2310
20180105,90900,91300,90600,91000,619
20180104,91500,92400,90700,90900,2676
20180103,93600,93600,90200,91500,5918
20180102,95100,95100,93100,93600,2670
20171228,96200,96200,94100,94700,3010
20171227,96800,96800,93700,95200,9900
20171226,99800,101500,99600,101500,11797
20171222,98900,99800,98900,99400,3576
20171221,99500,100000,98500,98900,1581
20171220,99200,100500,99000,99500,3717
20171219,98900,99400,98400,99200,2745
20171218,97800,99200,97700,99200,3331
20171215,96900,98300,96900,97800,2276
20171214,97400,98100,97000,97600,770
20171213,97500,97500,96800,97100,789
20171212,97000,97300,96400,97100,746
20171211,96800,97200,96300,96900,370
20171208,96900,97600,96300,96800,1906
20171207,96800,97400,96200,96900,1215
20171206,97200,97900,96700,96700,2214
20171205,96300,97300,96300,97100,629
20171204,97100,97400,96200,96500,867
20171201,97500,97700,96800,96900,1780
20171130,96100,98000,96100,97100,1167
20171129,95900,96900,95800,96500,1972
20171128,96900,96900,95900,96200,640
20171127,96100,97000,95700,96300,1128
20171124,96600,97200,95800,96100,2085
20171123,96500,96800,96000,96400,871
20171122,98000,98200,95000,96500,2111
20171121,96700,98200,96500,98000,3623
20171120,96000,96500,95800,96500,1773
20171117,95500,96400,95400,95800,1440
20171116,95500,95600,94700,95400,917
20171115,95500,96000,94900,94900,2346
20171114,94900,95800,94500,95800,1037
20171113,94900,95800,94600,94900,1996
20171110,95500,95500,94700,95200,552
20171109,96300,96300,94900,95500,1136
20171108,94900,95000,94700,95000,887
20171107,94900,95100,94600,94900,525
20171106,95000,95100,94400,94900,617
20171103,93800,94500,93700,94500,1016
20171102,94400,95100,93900,93900,1980
20171101,94500,95500,94500,94900,724
20171031,95800,95900,94600,94800,1008
20171030,95400,96300,94100,95100,1240
20171027,94500,95500,94400,95200,663
20171026,95100,95800,94500,94500,640
20171025,95000,96000,94500,95000,531
20171024,94500,95300,94300,95000,573
20171023,94000,94800,94000,94500,484
20171020,95200,95200,93500,94700,1260
20171019,96000,96000,93500,93600,1232
20171018,95100,95100,93500,93500,1957
20171017,94300,94800,94000,94300,856
20171016,95200,95200,94000,94300,646
20171013,94600,95500,93300,94300,927
20171012,94600,95100,93800,94600,331
20171011,94700,94700,93400,94500,819
20171010,95100,95900,92800,93400,3035
20170929,96300,96800,94100,95200,1552
20170928,96000,97200,94500,95700,4990
20170927,99000,100000,98900,98900,2402
20170926,98400,100000,98400,99400,1064
20170925,99500,99900,98400,98400,1947
20170922,101000,101000,98900,99800,3121
20170921,102000,102500,100000,101000,2352
20170920,100500,102000,99600,101000,1212
20170919,100500,101500,99300,99700,509
20170918,98700,100500,98600,99100,1876
20170915,101000,101000,98300,98500,1738
20170914,101000,104500,99900,100000,8361
20170913,98500,99200,96800,98700,1312
20170912,96300,98700,95800,98400,1767
20170911,98000,98000,95300,96300,2572
20170908,97100,97900,96600,97100,961
20170907,96500,97100,96400,96500,559
20170906,97000,97000,96400,96400,657
20170905,95500,97000,95200,96400,1823
20170904,94900,96400,94700,95500,516
20170901,96500,96500,95000,96400,905
20170831,96800,96800,96300,96500,925
20170830,95600,96300,95600,96200,1085
20170829,95100,95900,95000,95600,1007
20170828,96000,96000,95200,95700,665
20170825,95600,96000,94700,95800,597
20170824,95000,95600,94700,95000,525
20170823,95700,95700,94700,95000,462
20170822,95800,95800,94500,95000,531
20170821,95700,95700,94500,95200,654
20170818,95700,95700,94500,95300,898
20170817,95300,96100,95000,95200,843
20170816,96500,96900,95000,95400,1098
20170814,96800,97400,95800,95800,805
20170811,96200,96800,95000,96800,1041
20170810,95900,96500,95700,96200,1168
20170809,95900,96200,95400,95700,666
20170808,97000,97000,95500,95900,716
20170807,96400,96800,95600,96200,406
20170804,96300,96800,95300,96400,859
