,open,high,low,close,volume
20181109,32000,33200,32000,32950,15744
20181108,31600,32450,31550,32000,15191
20181107,32200,32450,31100,31250,11239
20181106,31900,32450,31550,32000,7435
20181105,31150,32500,31150,32150,12494
20181102,31250,32000,31000,31900,15014
20181101,30400,31350,30400,30650,14593
20181031,30200,30800,30000,30600,5996
20181030,28550,30350,28550,30150,26396
20181029,30100,31400,29250,29800,21757
20181026,31700,32500,30400,30600,26229
20181025,31850,32350,31300,31650,17199
20181024,33300,33650,32700,32700,15571
20181023,35250,35250,32900,32900,47574
20181022,34700,35600,34150,35200,10990
20181019,34400,34950,33600,34700,9317
20181018,35000,35000,34350,34550,5751
20181017,35050,35150,34600,35000,7585
20181016,34050,35000,34050,34650,5581
20181015,34050,35000,33750,34450,22087
20181012,33550,34750,33550,34650,23914
20181011,36200,36350,34250,34250,44273
20181010,36900,37650,36900,37350,24679
20181008,37150,38100,37150,37550,6424
20181005,37200,37900,37200,37600,7777
20181004,38950,38950,37800,38000,12255
20181002,39400,39400,38300,38850,15717
20181001,39550,39700,38700,39000,12624
20180928,39400,39750,39200,39550,11870
20180927,39150,39600,38950,39400,13378
20180921,38750,39450,38700,39100,15046
20180920,38700,39750,38700,38950,22563
20180919,40250,40250,38900,38900,22637
20180918,40050,40150,39750,40000,15529
20180917,40000,40450,40000,40050,10986
20180914,40650,40800,40250,40250,13814
20180913,40450,40850,40100,40550,18614
20180912,40150,40800,40100,40450,8797
20180911,40300,40950,40200,40300,7977
20180910,40100,40850,40000,40700,16056
20180907,40250,40550,39650,40200,36179
20180906,41150,41500,40200,40650,34319
20180905,40300,42000,40100,41100,75248
20180904,39250,40300,39250,40200,20009
20180903,40000,40250,39250,39400,17059
20180831,39300,39950,38700,39950,29038
20180830,38900,39400,38600,38750,15674
20180829,38900,39250,38450,39200,18088
20180828,38500,39500,38500,38850,47612
20180827,37550,38650,37450,38300,57683
20180824,37100,37300,36650,37250,24639
20180823,38050,38100,36600,37000,77299
20180822,38150,38250,37500,38000,22630
20180821,37500,38200,37500,38100,22349
20180820,38000,38300,37650,37700,26804
20180817,38100,38150,37800,37900,17320
20180816,38200,38600,37400,38100,40791
20180814,38650,39150,38600,39000,17686
20180813,40600,40600,38550,38650,25801
20180810,40350,40800,40150,40650,19590
20180809,40900,41250,40550,40900,10438
20180808,41600,41600,40650,40800,12788
20180807,41700,41750,41150,41600,7332
20180806,41300,41800,40650,41500,10902
20180803,41300,41350,40800,41300,9543
20180802,41650,41700,40750,40800,9861
20180801,41200,41850,40900,41650,19413
20180731,40400,41000,40300,40950,16387
20180730,40700,41000,40350,40650,16205
20180727,39850,40700,39550,40600,17302
20180726,39750,39900,39250,39850,15387
20180725,39950,40500,39350,39500,19876
20180724,40000,40650,39550,40000,22405
20180723,40500,40950,40150,40200,12241
20180720,40600,41000,40000,40950,19292
20180719,42400,42400,40450,40600,21759
20180718,42000,43300,41850,41900,98820
20180717,40350,41150,40350,40950,8528
20180716,40550,41600,40250,40750,11751
20180713,41100,41400,40300,40800,14905
20180712,40700,41150,40200,40600,12013
20180711,41450,41650,40250,40600,19299
20180710,41000,41800,40350,41200,26216
20180709,40000,40900,40000,40500,18938
20180706,38400,40750,38400,40500,47418
20180705,38550,38950,38550,38650,15329
20180704,38050,39250,38050,38750,25923
20180703,40400,40600,37250,38450,105131
20180702,41800,42100,40050,40300,27233
20180629,42100,42400,41350,42100,22488
20180628,43500,43500,42050,42300,26770
20180627,42900,43550,42900,43450,18713
20180626,42700,43400,42650,43300,18519
20180625,44300,44350,43100,43650,24731
20180622,43500,44350,42200,44300,74609
20180621,44800,45800,43500,43500,51135
20180620,43700,44700,43700,44400,30119
20180619,46200,46350,44200,44500,38780
20180618,47800,47800,46200,46250,33053
20180615,46600,47800,46250,47800,41442
20180614,47900,47950,46700,46700,46531
20180612,48000,48250,47600,47900,20731
20180611,48000,48500,47600,47750,17375
20180608,48300,49450,47800,48000,53441
20180607,47500,48500,47500,48300,35934
20180605,47350,47650,47000,47350,27374
20180604,48600,49000,47150,47350,36709
20180601,47300,49600,46500,48700,69468
20180531,46300,47000,46200,47000,32255
20180530,47700,47700,46200,46300,45006
20180529,48100,48200,47400,47700,16874
20180528,46850,48450,46850,47950,30782
20180525,48550,48550,47450,47450,43431
20180524,49500,49700,48450,48700,35603
20180523,49250,49650,49100,49550,19541
20180521,49450,49700,49150,49250,13448
20180518,49500,49750,49150,49450,15229
20180517,49600,49900,49200,49500,15741
20180516,50000,50300,49100,49600,23892
20180515,50100,50600,49950,50300,22696
20180514,50800,51200,49800,50100,44121
20180511,50500,50800,50200,50700,16351
20180510,49800,50500,49750,50200,24320
20180509,50700,51600,49700,50100,41465
20180508,52400,52600,50800,51100,30445
20180504,53000,53200,51700,51700,41175
20180503,51900,53000,51900,53000,35523
20180502,51500,52400,51500,52400,35592
20180430,51300,51900,50800,51900,22045
20180427,51600,52500,51100,51600,34321
20180426,51300,52400,51100,51400,36061
20180425,50700,51700,50700,51000,26019
20180424,50700,52000,50700,51000,18892
20180423,51400,51500,50700,51100,18770
20180420,50600,51600,50600,51400,17346
20180419,51700,51700,50500,51000,21749
20180418,51200,52000,51200,51400,32172
20180417,50800,51600,50600,51200,17811
20180416,51500,51600,50400,51000,12445
20180413,51400,51800,50900,51400,16238
20180412,52000,52000,50500,51300,43782
20180411,49400,51800,49150,51700,81323
20180410,50000,50100,48400,48900,30759
20180409,49000,49950,48500,49600,22666
20180406,49250,49250,48500,49000,25977
20180405,49150,49550,48800,49200,10085
20180404,49550,50400,48200,48900,38118
20180403,48950,50200,48750,49800,26836
20180402,50400,50800,49050,49300,29134
20180330,49500,50400,49500,50200,17786
20180329,48750,49600,48750,49500,18819
20180328,48800,49650,48250,48850,43128
20180327,49000,50200,48450,49950,44068
20180326,49100,49100,47150,48500,57469
20180323,50500,50600,48550,48900,78618
20180322,51900,52300,50600,50900,43970
20180321,52100,52600,51700,51700,24212
20180320,51800,52400,51700,52100,24696
20180319,52400,53300,52000,52200,29874
20180316,52500,53000,52200,52500,13485
20180315,52300,52800,51500,52800,48995
20180314,54000,54200,52000,52500,51745
20180313,52600,54300,52100,53900,68105
20180312,53000,53200,52100,52600,38446
20180309,51500,53000,51400,52300,40863
20180308,50700,51800,50700,51100,36243
20180307,53700,54000,50500,50800,85539
20180306,54900,55400,53100,53500,52671
20180305,55900,56100,53500,54800,22838
20180302,55000,56500,55000,56300,20109
20180228,55200,56000,55000,55600,38485
20180227,55600,55800,55000,55200,30103
20180226,56200,56400,55300,55600,22428
20180223,55200,56500,55200,56000,35124
20180222,56000,56200,55200,55200,36799
20180221,55900,56700,55600,56000,24041
20180220,55500,57300,55500,56200,44037
20180219,55400,56700,55200,55800,37116
20180214,54900,55400,54500,55300,19421
20180213,55300,55700,54600,55000,26883
20180212,55000,55800,54700,55100,22881
20180209,55000,55900,54500,54900,42724
20180208,55800,56400,55100,56200,55653
20180207,57100,58000,55100,55800,68983
20180206,55600,57000,54300,56700,94112
20180205,57700,59000,57000,57400,55560
20180202,61100,61300,58700,59100,109067
20180201,61400,61900,61000,61100,54171
20180131,61600,62900,60900,61400,45590
20180130,63600,63900,62000,62400,48953
20180129,63300,64800,63100,63600,49384
20180126,63600,63600,62800,63300,32256
20180125,64400,64400,62800,63600,48230
20180124,62000,64700,62000,63800,125133
20180123,61000,62200,61000,62000,59580
20180122,60700,60800,60200,60800,31217
20180119,60800,61100,60200,60400,44486
20180118,61000,61300,60400,60600,47343
20180117,61700,61700,60500,60800,64583
20180116,61400,62100,61000,61400,41475
20180115,61300,62300,60000,61400,77759
20180112,62100,62100,60600,61100,76414
20180111,62900,62900,60600,62100,75515
20180110,63500,63500,62000,62700,73369
20180109,61200,63500,61000,62900,91294
20180108,62000,62100,60700,61100,46432
20180105,60500,62000,60000,61800,86187
20180104,61500,61900,59800,60300,79695
20180103,61700,61700,60500,60900,56758
20180102,62300,62300,60900,61500,60402
20171228,60400,62700,59400,61400,78732
20171227,58500,60900,58500,59800,82189
20171226,57000,59500,57000,58500,73104
20171222,56800,57900,56000,57500,77770
20171221,57600,59000,56300,56500,140248
20171220,58500,61200,54500,57200,584471
20171219,65500,65500,64000,64400,52032
20171218,66200,66800,65100,65200,43184
20171215,66200,66900,65500,66200,39533
20171214,66300,66800,65800,66100,33230
20171213,66600,67900,66100,66200,89630
20171212,64700,66000,63900,66000,90779
20171211,63500,64700,63200,64000,52290
20171208,63400,64600,63300,63400,48134
20171207,65100,65400,62500,63600,80214
20171206,64600,66500,64400,65100,107278
20171205,66900,66900,64100,64300,192670
20171204,68900,69800,66300,66700,147880
20171201,69200,69200,68200,68800,41609
20171130,70000,70100,68300,68300,71473
20171129,69600,70900,68900,70000,62222
20171128,72300,72800,69200,69400,130403
20171127,73800,74900,71500,71800,101503
20171124,76600,76900,73800,73800,130941
20171123,74000,76600,73000,76000,225028
20171122,75400,77000,72000,73600,571436
20171121,67800,72500,66600,71300,474874
20171120,68500,69400,67400,67400,102488
20171117,68400,69000,67400,68500,91446
20171116,67900,69200,65900,68700,150678
20171115,67400,68900,66600,67400,169350
20171114,69500,69500,67200,67700,130389
20171113,66800,69600,66300,68900,252428
20171110,68700,68700,65200,66300,317949
20171109,72000,72400,68500,68700,291986
20171108,75500,75500,71100,71300,440523
20171107,70900,76500,70500,76100,492768
20171106,79700,79700,70800,71000,568136
