,open,high,low,close,volume
20181109,19950,20000,19500,19600,2610
20181108,19800,19950,19500,19950,993
20181107,20000,20150,19600,19600,1671
20181106,19650,20000,18950,20000,763
20181105,19650,19650,18700,19600,244
20181102,19400,19650,19050,19500,782
20181101,18750,19000,18700,19000,359
20181031,18950,18950,18750,18750,108
20181030,15000,18800,15000,18800,2079
20181029,17950,18750,17850,17850,887
20181026,19000,19200,18700,19000,86
20181025,19850,19850,18700,19250,143
20181024,19900,19900,19300,19300,56
20181023,20450,20450,19500,19500,255
20181022,19900,20250,19800,20150,1077
20181019,20300,20300,20000,20000,156
20181018,20450,20450,20350,20350,7
20181017,20400,20600,19800,20400,259
20181016,20050,20050,20050,20050,3
20181015,20000,20100,19900,20100,298
20181012,20000,20000,19800,20000,112
20181011,19900,20800,19800,19800,1430
20181010,20650,20900,20250,20650,69
20181008,20550,20800,20450,20750,161
20181005,20600,20650,20150,20550,355
20181004,21300,21300,20300,20650,2818
20181002,21600,21600,20850,20950,2724
20181001,21400,21400,21200,21350,1517
20180928,21400,21400,20950,21300,276
20180927,21450,21450,21400,21450,45
20180921,20800,21100,20800,21100,1578
20180920,20900,21350,20900,21100,229
20180919,21100,21400,20850,21400,173
20180918,21150,21150,20850,21000,453
20180917,21650,21650,20800,21200,379
20180914,21150,21500,21150,21400,1305
20180913,21300,21300,20800,21150,89
20180912,21250,21250,20950,21150,30
20180911,20650,21250,20650,21050,487
20180910,20700,20850,20700,20850,68
20180907,20900,20900,20550,20850,647
20180906,20950,20950,20700,20950,124
20180905,21000,21100,20650,21000,442
20180904,20700,20900,20600,20900,418
20180903,20500,21000,20500,20950,24
20180831,21000,21000,20700,20950,310
20180830,21050,21050,20700,20900,63
20180829,21050,21050,20600,20750,1515
20180828,21400,21400,21000,21350,160
20180827,21600,21600,20650,21150,1270
20180824,20750,21600,20700,21600,1236
20180823,20850,21000,20850,20950,199
20180822,21350,21350,20950,21150,460
20180821,21350,21350,21350,21350,41
20180820,21450,21450,20950,21350,25
20180817,20700,21400,20700,21400,151
20180816,21150,21150,20450,21100,670
20180814,21300,21300,20900,21200,5
20180813,21350,21350,20750,20850,411
20180810,21050,21450,21050,21400,24
20180809,21400,21400,21100,21400,138
20180808,21450,21450,21400,21400,66
20180807,21000,21450,21000,21450,17
20180806,21450,21550,21200,21500,80
20180803,21500,21500,20900,21500,40
20180802,21450,21500,21300,21450,101
20180801,21150,21500,21150,21500,169
20180731,20700,21150,20700,21100,1036
