,open,high,low,close,volume
20181109,3880,3940,3825,3895,17851
20181108,3785,3895,3735,3840,48724
20181107,3645,3775,3570,3715,42676
20181106,3665,3685,3600,3675,14189
20181105,3750,3750,3565,3700,10476
20181102,3750,3750,3670,3730,13105
20181101,3520,3780,3520,3630,23413
20181031,3455,3585,3455,3540,15728
20181030,3065,3535,3065,3510,64457
20181029,3600,3645,3335,3480,79448
20181026,3910,3915,3700,3700,38050
20181025,3785,3900,3600,3900,120557
20181024,4105,4175,3875,4000,64304
20181023,4140,4300,4060,4100,56153
20181022,4215,4260,4075,4225,40451
20181019,4215,4280,4105,4270,49465
20181018,4205,4350,4160,4275,26621
20181017,4135,4415,4135,4255,47499
20181016,4105,4165,4010,4130,25493
20181015,4050,4150,3990,4100,30938
20181012,3940,4180,3940,4130,53826
20181011,4035,4280,3940,4100,105129
20181010,4400,4460,4210,4380,76449
20181008,4380,4535,4360,4490,36465
20181005,4440,4580,4440,4475,52506
20181004,4390,4750,4340,4520,141848
20181002,4380,4425,4275,4410,77970
20181001,4330,4475,4220,4380,63207
20180928,4365,4560,4345,4385,64371
20180927,4380,4445,4350,4400,27387
20180921,4315,4480,4275,4390,70485
20180920,4370,4560,4250,4370,93995
20180919,4515,4600,4240,4355,169419
20180918,4635,4795,4530,4550,161072
20180917,4610,4685,4545,4630,77396
20180914,4435,4960,4435,4610,786710
20180913,4520,4525,4380,4475,77649
20180912,4520,4595,4400,4520,88920
20180911,4440,4640,4370,4550,215181
20180910,4205,4460,4180,4410,153114
20180907,4145,4270,4075,4260,64288
20180906,4215,4290,4150,4195,63019
20180905,4205,4270,4175,4225,42718
20180904,4250,4305,4170,4255,60864
20180903,4330,4420,4230,4260,81272
20180831,4255,4590,4210,4370,301319
20180830,4230,4325,4170,4290,133875
20180829,4195,4255,4140,4185,118576
20180828,4100,4260,4080,4155,213358
20180827,4050,4150,4010,4100,128142
20180824,4150,4155,4035,4155,56926
20180823,4030,4130,4030,4110,58746
20180822,4140,4155,4060,4060,119981
20180821,4050,4165,4030,4150,168983
20180820,4060,4090,4025,4055,82215
20180817,4090,4105,3980,4060,108101
20180816,3975,4075,3905,4065,144834
20180814,3860,4025,3835,4015,111975
20180813,3900,4060,3850,3850,269973
20180810,3950,4025,3860,3875,132710
20180809,4010,4010,3825,3915,276208
20180808,3990,4080,3920,4010,122071
20180807,3980,4000,3900,3955,106824
20180806,4020,4085,3900,4015,60691
20180803,4090,4115,3985,4020,95878
20180802,4000,4090,3930,4090,202754
20180801,3800,4140,3790,4020,381115
20180731,3830,3895,3730,3790,105550
20180730,3855,3905,3790,3865,82072
20180727,3875,3885,3775,3845,183162
20180726,3740,4225,3740,3885,889241
20180725,3820,3820,3685,3730,58673
20180724,3630,3835,3625,3790,108012
20180723,3740,3795,3690,3690,69343
20180720,3830,3900,3710,3795,37742
20180719,3795,3870,3790,3805,58291
20180718,3985,3990,3780,3825,216892
20180717,4000,4050,3950,3965,30262
20180716,4010,4035,3960,4025,41262
20180713,4000,4050,3950,4000,30407
20180712,3980,4010,3900,3950,66129
20180711,3915,4020,3880,3940,68535
20180710,3850,4040,3850,3980,94108
20180709,3900,3900,3760,3825,97804
20180706,3735,4105,3715,4030,309471
20180705,3845,3935,3695,3715,168959
20180704,3765,3915,3760,3900,67101
20180703,3845,3965,3690,3805,164765
20180702,3970,4070,3845,3845,186279
20180629,4145,4215,3975,4010,197196
20180628,4140,4255,4035,4075,144848
20180627,4310,4410,4085,4155,334641
20180626,4480,4580,4300,4300,312497
20180625,4480,4640,4440,4570,261934
20180622,4815,4870,4415,4610,591666
20180621,5450,5530,4750,4815,1937702
20180620,5100,5330,5000,5330,1163781
20180619,5430,5590,4995,5240,1362747
20180618,5330,6020,5070,5560,7412496
20180615,3780,4965,3780,4965,2276683
20180614,3970,3990,3795,3820,165863
20180612,4175,4280,4005,4030,81363
20180611,4170,4230,4120,4175,89625
20180608,4125,4200,4015,4160,61706
20180607,4280,4305,3975,4125,211642
20180605,4240,4270,4105,4270,136257
20180604,4270,4355,4100,4240,147505
20180601,4295,4295,4075,4090,87472
20180531,4060,4260,4060,4185,105135
20180530,4230,4230,4000,4060,87058
20180529,4355,4360,4130,4150,169830
20180528,4200,4785,4145,4320,1019865
20180525,3900,4070,3860,4010,227359
20180524,4405,4450,4155,4210,260263
20180523,4355,4475,4300,4435,105415
20180521,4510,4545,4350,4420,167138
20180518,4525,4615,4390,4575,212095
20180517,4275,4995,4275,4570,1792814
20180516,4630,4635,4230,4300,311024
20180515,4605,5270,4575,4790,1114783
20180514,4560,4715,4560,4605,147366
20180511,4530,4590,4435,4565,102457
20180510,4575,4665,4465,4525,136613
20180509,4370,4620,4320,4620,219556
20180508,4740,4740,4430,4430,435359
20180504,4920,4930,4600,4850,426370
20180503,4650,4940,4515,4795,738840
20180502,4260,4645,4170,4645,794466
20180430,4080,4325,3915,4260,570613
20180427,4190,4280,4055,4070,101234
20180426,4215,4280,4145,4195,89910
20180425,4170,4320,4165,4275,58705
20180424,4340,4455,4265,4265,166775
20180423,4490,4550,4350,4415,183584
20180420,4460,4525,4255,4430,253232
20180419,4230,4650,4190,4525,1046089
20180418,4220,4260,4160,4230,106318
20180417,4135,4230,4135,4225,129617
20180416,4135,4235,4075,4155,137394
20180413,4000,4155,3965,4135,197260
20180412,4000,4070,3940,3995,70698
20180411,4015,4030,3855,4000,106547
20180410,3850,3960,3805,3950,95457
20180409,3815,4035,3795,3855,85406
20180406,3910,3950,3820,3915,96802
20180405,4000,4095,3880,3890,104549
20180404,4315,4320,3925,4000,195495
20180403,4155,4290,4110,4265,204047
20180402,4480,4485,4120,4155,458361
20180330,4200,4265,4045,4115,352391
20180329,3990,4230,3950,4105,463960
20180328,3880,4070,3835,3845,237163
20180327,3875,3940,3810,3935,75675
20180326,3755,3915,3700,3875,92467
20180323,3810,3955,3760,3910,82116
20180322,3870,3980,3805,3910,139907
20180321,4020,4055,3865,3875,120537
20180320,4000,4085,3970,4020,75557
20180319,4250,4265,4010,4010,194575
20180316,4320,4340,4210,4320,138941
20180315,4240,4325,4180,4260,119594
20180314,4205,4385,4155,4260,257495
20180313,4355,4355,4195,4205,122834
20180312,4470,4470,4300,4355,199335
20180309,4330,4480,4240,4480,350714
20180308,4200,4330,4155,4330,128913
20180307,4215,4285,4125,4150,169571
20180306,4415,4445,4285,4310,287821
20180305,4630,4690,4250,4250,410579
20180302,4260,4460,4195,4460,431260
20180228,4220,4400,4095,4260,339084
20180227,4300,4300,4110,4220,235468
20180226,4390,4560,4285,4305,554361
20180223,4335,4950,4290,4310,2303507
20180222,4295,4535,4155,4215,766041
20180221,4400,4435,4095,4240,1082263
20180220,3690,4635,3660,4275,4376764
20180219,3535,3670,3535,3670,53710
20180214,3545,3545,3425,3525,104545
20180213,3580,3580,3530,3545,29629
20180212,3600,3640,3555,3580,29737
20180209,3595,3660,3530,3595,44579
20180208,3610,3710,3610,3680,15234
20180207,3690,3740,3615,3615,54810
20180206,3660,3705,3515,3650,61431
20180205,3755,3775,3675,3705,37152
20180202,3920,3940,3725,3790,59551
20180201,3920,3970,3900,3920,53479
20180131,3895,3935,3830,3915,58540
20180130,3880,3935,3790,3915,83420
20180129,4050,4060,3830,3860,207525
20180126,3745,4000,3720,3920,244735
20180125,3755,3760,3690,3715,62139
20180124,3630,3705,3630,3690,45493
20180123,3720,3760,3600,3630,88169
20180122,3775,3790,3665,3720,34803
20180119,3695,3785,3635,3750,98855
20180118,3650,3795,3590,3650,143741
20180117,3705,3705,3580,3620,56532
20180116,3580,3630,3540,3580,36212
20180115,3670,3670,3550,3610,59601
20180112,3695,3695,3570,3665,52404
20180111,3520,3770,3495,3695,125031
20180110,3495,3525,3465,3495,23593
20180109,3565,3570,3480,3495,34044
20180108,3600,3610,3515,3550,26404
20180105,3515,3675,3480,3600,85737
20180104,3505,3520,3475,3515,24886
20180103,3475,3530,3475,3505,23502
20180102,3460,3525,3460,3495,19521
20171228,3525,3530,3465,3465,21883
20171227,3600,3600,3500,3525,29548
20171226,3530,3590,3520,3565,24541
20171222,3540,3590,3505,3535,23162
20171221,3600,3655,3580,3580,47012
20171220,3625,3720,3600,3620,59814
20171219,3625,3625,3540,3615,84137
20171218,3545,3605,3540,3570,44818
20171215,3590,3590,3530,3545,23356
20171214,3510,3555,3510,3535,20422
20171213,3600,3600,3530,3535,22453
20171212,3575,3620,3515,3535,63655
20171211,3545,3600,3505,3585,34407
20171208,3695,3695,3550,3555,68699
20171207,3875,3875,3595,3605,127266
20171206,3950,4200,3755,3820,813414
20171205,3600,3725,3565,3725,130588
20171204,3695,3695,3560,3565,78628
20171201,3760,3775,3660,3700,64254
20171130,3650,3885,3600,3755,309928
20171129,3600,3645,3550,3610,47246
20171128,3570,3635,3565,3615,37651
20171127,3580,3620,3565,3600,20829
20171124,3650,3650,3560,3630,63143
20171123,3435,3610,3415,3610,117413
20171122,3495,3505,3415,3430,34393
20171121,3505,3520,3470,3490,12228
20171120,3495,3560,3455,3495,19292
20171117,3470,3540,3450,3495,21912
20171116,3485,3490,3430,3470,24306
20171115,3515,3540,3415,3425,68371
20171114,3590,3690,3500,3510,47178
20171113,3570,3740,3510,3540,70046
20171110,3500,3535,3445,3520,12582
20171109,3540,3540,3480,3480,29773
20171108,3525,3565,3490,3505,20131
20171107,3535,3560,3490,3500,17446
20171106,3540,3595,3515,3530,17173
20171103,3600,3605,3530,3585,17723
20171102,3645,3645,3570,3575,18071
20171101,3535,3665,3530,3625,50351
20171031,3490,3555,3490,3530,22345
20171030,3470,3535,3470,3525,12359
20171027,3495,3545,3490,3525,20021
20171026,3520,3590,3490,3490,25621
20171025,3535,3595,3525,3570,40345
20171024,3505,3680,3475,3560,87083
20171023,3585,3585,3520,3545,23203
20171020,3435,3680,3435,3565,199019
20171019,3405,3435,3330,3430,20523
20171018,3490,3490,3355,3400,21776
20171017,3370,3480,3370,3465,15198
20171016,3450,3480,3365,3440,20057
20171013,3525,3525,3425,3445,26041
20171012,3510,3560,3430,3525,14592
20171011,3370,3580,3370,3530,33703
20171010,3550,3555,3365,3370,55547
20170929,3630,3630,3525,3540,21360
20170928,3585,3585,3485,3520,6699
20170927,3550,3585,3495,3555,39586
20170926,3335,3560,3335,3540,48867
20170925,3595,3600,3395,3450,61895
20170922,3760,3775,3590,3600,59952
20170921,3690,4055,3665,3760,155073
20170920,3750,3800,3650,3745,60699
20170919,3775,3800,3710,3735,18428
20170918,3820,3840,3750,3765,25727
20170915,3785,3840,3720,3790,25026
20170914,3825,3870,3720,3785,59854
20170913,3860,3965,3810,3845,39864
20170912,3880,3955,3800,3860,85145
20170911,3920,3985,3855,3905,19345
20170908,4010,4025,3920,3920,44802
20170907,3880,4075,3880,4000,38793
20170906,3860,4000,3860,3880,36163
20170905,4035,4065,3895,3940,36994
20170904,3880,4020,3875,4000,51184
20170901,4080,4080,3995,4040,39272
20170831,4130,4130,4010,4040,39494
20170830,4100,4140,4060,4090,21214
20170829,4170,4200,4045,4080,51516
20170828,4085,4390,4085,4165,67744
20170825,4050,4180,4050,4130,12034
20170824,4010,4155,4010,4050,21592
20170823,4165,4200,4000,4010,70202
20170822,4215,4215,4145,4150,26501
20170821,4165,4200,4160,4195,19044
20170818,4100,4195,4100,4170,6492
20170817,4005,4195,4005,4180,31361
20170816,4005,4140,3970,4065,33467
20170814,4145,4210,3855,3950,121191
20170811,4330,4330,4160,4180,63165
20170810,4385,4385,4200,4340,104011
20170809,4465,4465,4340,4340,38444
20170808,4370,4525,4360,4465,95837
20170807,4275,4415,4270,4415,46314
20170804,4295,4335,4240,4265,50183
20170803,4355,4375,4250,4335,100239
20170802,4315,4390,4285,4340,60688
20170801,4250,4350,4220,4295,38042
20170731,4370,4420,4255,4290,70944
20170728,4325,4420,4250,4415,127150
20170727,4485,4545,4320,4360,218771
20170726,4490,4545,4450,4480,73751
20170725,4505,4620,4465,4470,109006
20170724,4545,4600,4520,4525,73040
20170721,4640,4645,4545,4545,110307
20170720,4560,4640,4500,4640,213147
20170719,4500,4580,4445,4570,168906
20170718,4665,4665,4500,4500,215788
20170717,4570,4740,4530,4635,496256
20170714,4880,4890,4520,4555,826311
20170713,4750,4845,4645,4745,874632
20170712,4670,4740,4555,4740,759393
20170711,4780,4835,4625,4685,881412
20170710,4400,5240,4380,4770,7929707
20170707,4285,4360,4260,4360,52681
20170706,4255,4290,4240,4265,23000
20170705,4230,4250,4195,4240,9418
20170704,4180,4275,4180,4210,28168
20170703,4260,4260,4200,4200,18154
20170630,4265,4290,4200,4255,28259
20170629,4245,4300,4215,4265,34623
20170628,4325,4325,4220,4285,27696
20170627,4225,4355,4210,4325,55700
20170626,4330,4330,4195,4270,29768
20170623,4195,4310,4195,4285,29605
20170622,4305,4310,4235,4235,31380
20170621,4315,4340,4235,4295,64097
20170620,4385,4405,4340,4340,39554
20170619,4410,4410,4350,4385,28327
20170616,4395,4395,4360,4380,27078
20170615,4380,4405,4345,4380,37149
20170614,4375,4400,4345,4380,33807
20170613,4395,4400,4365,4385,38366
20170612,4415,4425,4350,4390,30892
20170609,4360,4395,4330,4395,47690
20170608,4320,4375,4300,4335,105918
20170607,4400,4400,4330,4330,73814
20170605,4410,4450,4390,4410,86350
20170602,4420,4480,4410,4425,55743
20170601,4455,4460,4380,4460,65768
20170531,4385,4480,4355,4445,56083
20170530,4445,4445,4370,4415,38705
20170529,4460,4470,4370,4410,86288
20170526,4450,4495,4420,4480,53056
20170525,4475,4500,4430,4465,56135
20170524,4560,4560,4400,4485,119382
20170523,4380,4625,4380,4510,277120
20170522,4480,4480,4375,4380,45620
20170519,4265,4425,4265,4420,59980
20170518,4380,4400,4280,4335,57650
20170517,4360,4415,4325,4380,38654
20170516,4450,4490,4300,4390,61612
20170515,4390,4495,4375,4450,89658
20170512,4355,4380,4280,4375,87276
20170511,4315,4360,4225,4360,94522
20170510,4180,4310,4150,4310,158429
20170508,4360,4385,4180,4200,168398
20170504,4180,4390,4150,4270,195314
20170502,4450,4450,4250,4250,378973
20170428,4665,4745,4405,4480,261523
20170427,4500,4750,4485,4575,334406
20170426,4520,4645,4450,4515,237681
20170425,4525,4690,4435,4520,418201
20170424,4830,4830,4350,4350,662927
20170421,5220,5230,4920,4935,479545
20170420,5350,5480,5230,5240,271115
20170419,5370,5500,5200,5290,321903
20170418,5500,5690,5120,5330,496116
20170417,5370,5750,5270,5430,1036869
20170414,5440,5470,5280,5310,463460
20170413,5900,6010,5500,5540,703163
20170412,6210,6270,5800,5930,672186
20170411,6840,6850,5940,6330,1311561
20170410,7800,7960,6770,6900,1324194
20170407,7070,7290,6930,7180,731278
20170406,7910,8180,6860,7230,2146277
20170405,6700,7910,6700,7750,3631145
20170404,8380,8390,6300,6700,2382126
20170403,8780,8830,8170,8550,2244659
20170331,8250,9460,8050,8520,7678790
20170330,6510,8290,6510,8290,8460838
20170329,6650,6660,6300,6380,1089793
20170328,6350,6750,6120,6410,2436867
20170327,5950,6540,5890,6270,3615318
20170324,6170,6270,5600,5630,1032875
20170323,5860,6630,5760,6100,2090060
20170322,6000,6170,5760,5760,319801
20170321,6260,6310,5900,5990,330277
20170320,6280,6410,6110,6180,432324
20170317,6680,6690,6130,6260,625007
20170316,6770,6970,6450,6510,1374479
20170315,6680,7680,6410,6770,5257084
20170314,6450,6630,6240,6590,1108904
20170313,5850,7100,5750,6430,4916773
