,open,high,low,close,volume
20181109,877,889,846,858,124393
20181108,880,911,877,883,203500
20181107,997,999,867,880,1089921
20181106,902,906,858,894,602138
20181105,835,1010,810,907,4132502
20181102,782,836,782,830,143120
20181101,772,806,770,796,121248
20181031,775,796,740,772,139451
20181030,704,740,674,740,246069
20181029,730,755,712,712,189786
20181026,766,773,715,730,160196
20181025,791,791,732,752,203246
20181024,828,845,788,791,172252
20181023,860,864,822,839,131595
20181022,863,863,849,859,129841
20181019,878,878,850,863,112033
20181018,874,874,850,864,128799
20181017,862,873,849,864,160333
20181016,850,872,850,862,117104
20181015,841,891,841,874,205200
20181012,880,880,831,860,220588
20181011,822,881,765,851,579331
20181010,891,911,805,829,536942
20181008,879,920,878,888,492425
20181005,990,997,841,879,1911601
20181004,1040,1060,980,982,512163
20181002,1105,1115,1030,1045,373867
20181001,1135,1135,1090,1100,340272
20180928,1150,1165,1115,1135,231060
20180927,1140,1170,1135,1150,74000
20180921,1125,1165,1120,1150,138374
20180920,1170,1180,1130,1145,232896
20180919,1210,1210,1165,1165,326985
20180918,1230,1230,1185,1210,223953
20180917,1230,1230,1200,1220,191644
20180914,1225,1255,1205,1225,218415
20180913,1220,1235,1215,1225,80532
20180912,1245,1245,1215,1220,74909
20180911,1220,1240,1205,1235,144126
20180910,1240,1245,1215,1215,130303
20180907,1250,1250,1220,1240,162948
20180906,1235,1270,1200,1250,542628
20180905,1200,1245,1185,1230,460878
20180904,1200,1245,1200,1200,323051
20180903,1225,1225,1190,1200,206426
20180831,1205,1245,1195,1215,493720
20180830,1200,1230,1190,1195,143896
20180829,1190,1220,1185,1200,144550
20180828,1205,1205,1185,1190,152060
20180827,1200,1210,1185,1195,132175
20180824,1225,1225,1190,1200,125958
20180823,1190,1225,1180,1220,189546
20180822,1200,1205,1180,1195,276211
20180821,1185,1220,1185,1195,186616
20180820,1230,1230,1190,1195,236021
20180817,1225,1250,1215,1220,153539
20180816,1260,1260,1200,1245,281448
