,open,high,low,close,volume
20181109,14550,14550,14250,14400,1416
20181108,14350,14500,14350,14500,1587
20181107,14350,14450,14150,14400,461
20181106,14400,14400,14250,14250,104
20181105,14250,14300,14200,14250,1898
20181102,14150,14300,14100,14150,561
20181101,14150,14150,14100,14150,285
20181031,13800,14100,13800,14100,639
20181030,13800,15100,13800,13950,3095
20181029,13900,13900,13550,13800,3774
20181026,14200,14200,13850,13850,1328
20181025,14100,14250,13950,14050,2784
20181024,14150,14150,14050,14100,350
20181023,14250,14250,14000,14050,822
20181022,14050,14150,14000,14050,620
20181019,14100,14150,14000,14050,1708
20181018,14150,14200,14100,14100,282
20181017,14150,14300,14050,14050,9337
20181016,14100,14200,14100,14150,680
20181015,14200,14200,14100,14150,971
20181012,14100,14250,14100,14200,2527
20181011,14450,14650,14000,14250,3897
20181010,14650,14800,14550,14650,1008
20181008,14850,14850,14650,14650,841
20181005,14850,14850,14700,14700,311
20181004,14900,14900,14650,14700,1371
20181002,14850,14950,14800,14850,1041
20181001,14800,14950,14700,14750,2409
20180928,14700,14800,14600,14700,3887
20180927,14850,14850,14650,14650,585
20180921,15000,15000,14700,14700,881
20180920,14900,14900,14700,14800,581
20180919,15000,15000,14700,14700,1530
20180918,14900,14950,14850,14900,245
20180917,14900,14900,14750,14900,324
20180914,14750,14900,14750,14900,1082
20180913,14700,14750,14650,14700,437
20180912,14700,14750,14600,14600,693
20180911,14700,14750,14550,14650,638
20180910,14750,14750,14550,14650,636
20180907,14650,14700,14550,14600,824
20180906,14800,14800,14600,14650,524
20180905,14950,14950,14650,14700,1831
20180904,15000,15000,14800,14850,848
20180903,15000,15000,14900,14900,127
20180831,14950,14950,14850,14900,639
20180830,15000,15000,14800,14800,492
20180829,14950,14950,14800,14850,570
20180828,14800,15100,14800,14800,854
20180827,14650,14800,14650,14750,791
20180824,14700,14750,14700,14700,1050
20180823,14850,14850,14700,14750,663
20180822,14700,14800,14700,14750,13981
20180821,14600,14900,14600,14800,893
20180820,14750,14750,14600,14600,518
20180817,14650,14750,14550,14650,736
20180816,14850,14900,14400,14550,10648
20180814,14900,15000,14850,14900,1869
20180813,14900,15000,14800,14850,2574
20180810,14900,15000,14900,14900,1069
20180809,14950,14950,14800,14850,2590
20180808,15000,15000,14850,14850,5113
20180807,15000,15000,14900,14950,1473
20180806,15000,15050,14950,14950,1012
20180803,14950,15000,14850,14900,2137
20180802,15000,15050,14900,14900,1109
20180801,15050,15200,14850,14900,2572
20180731,15000,15050,14800,14900,4410
20180730,15000,15000,14900,14900,1205
20180727,14850,15000,14850,14900,3428
20180726,15000,15000,14850,14850,1610
20180725,15000,15100,14850,14900,2416
20180724,14900,15100,14900,14950,1340
20180723,15350,15400,14850,14950,14905
20180720,15500,15500,15150,15400,7109
20180719,15400,15450,15250,15450,2158
20180718,15500,15500,15300,15500,6833
20180717,15550,15550,15350,15500,2308
20180716,15600,15600,15400,15550,4826
20180713,15600,15650,15450,15600,5503
20180712,15550,15600,15350,15600,4880
20180711,15400,15650,15150,15600,18642
20180710,16700,16850,15100,15350,110554
20180709,16900,16900,16350,16700,3295
20180706,16700,16950,16500,16900,435
