,open,high,low,close,volume
20181109,6860,6860,6570,6640,10958
20181108,6630,6870,6590,6850,15603
20181107,6590,6700,6570,6600,11520
20181106,6520,6670,6520,6590,4848
20181105,6670,6670,6480,6560,4835
20181102,6530,6730,6530,6670,9842
20181101,6530,6710,6530,6560,2397
20181031,6520,6600,6460,6550,9898
20181030,6590,6600,6400,6460,11257
20181029,6980,7050,6550,6560,14181
20181026,7250,7250,6940,6980,6849
20181025,7450,7450,7100,7200,6189
20181024,7430,7500,7300,7300,1558
20181023,7500,7500,7300,7430,3573
20181022,7510,7510,7450,7500,1130
20181019,7580,7600,7400,7500,5130
20181018,7620,7720,7470,7600,1358
20181017,7550,7670,7480,7610,5777
20181016,7500,7590,7400,7470,1868
20181015,7600,7600,7400,7500,1910
20181012,7400,7620,7400,7600,4163
20181011,7600,7750,7360,7490,16768
20181010,7800,7850,7720,7750,3309
20181008,7800,7910,7760,7880,4234
20181005,7850,7920,7710,7880,12453
20181004,8140,8140,7850,7850,20059
20181002,8120,8150,8000,8070,15344
20181001,8000,8120,8000,8120,9688
20180928,7910,8000,7910,8000,6376
20180927,7810,7980,7810,7970,9238
20180921,7900,7900,7820,7880,3725
20180920,8000,8000,7780,7880,14199
20180919,8160,8160,7930,7930,3338
20180918,8030,8040,7950,8000,4254
20180917,8030,8030,7930,8000,3073
20180914,7960,8050,7930,8000,7505
20180913,8030,8030,7880,7950,4961
20180912,7990,7990,7890,7930,4287
20180911,7920,7930,7840,7930,4570
20180910,7890,7980,7800,7910,51637
20180907,7850,7990,7850,7940,3524
20180906,7890,7990,7880,7920,4353
20180905,7970,7980,7890,7970,3923
20180904,7950,7990,7890,7970,3254
20180903,8000,8000,7850,7990,8293
20180831,7990,8020,7940,8000,2631
20180830,7890,8040,7860,7990,16506
20180829,8050,8050,7860,7860,28144
20180828,8080,8080,7950,8000,7273
20180827,8120,8140,7910,8030,3541
20180824,8080,8130,7950,8090,2307
20180823,8100,8110,7950,8080,18748
20180822,8070,8100,8010,8070,2271
20180821,8030,8030,7940,8030,3129
20180820,8000,8010,7920,7990,3891
20180817,8000,8080,7940,8000,6941
20180816,8210,8210,7980,8050,18074
20180814,8320,8470,8260,8300,2186
20180813,8320,8460,8320,8320,1540
20180810,8510,8520,8440,8470,1775
20180809,8510,8510,8400,8470,1991
20180808,8500,8500,8300,8490,1682
20180807,8470,8540,8340,8460,2055
20180806,8500,8520,8120,8490,2680
20180803,8480,8500,8470,8500,1498
20180802,8480,8510,8380,8460,2761
20180801,8500,8500,8280,8470,4863
20180731,8400,8440,8240,8440,2758
20180730,8400,8540,8210,8400,2786
20180727,8280,8290,8150,8290,2899
20180726,8190,8290,8190,8280,1727
20180725,8350,8350,8090,8280,8610
20180724,8250,8390,8220,8350,1860
20180723,8350,8490,8260,8400,2872
20180720,8430,8430,8250,8390,4898
20180719,8430,8430,8240,8430,10234
20180718,8540,8540,8360,8430,1336
20180717,8580,8580,8400,8480,1801
20180716,8600,8630,8460,8530,4366
20180713,8460,8590,8460,8590,2541
20180712,8510,8570,8400,8530,10416
20180711,8410,8510,8300,8510,7823
20180710,8300,8400,8200,8400,3005
20180709,8230,8320,8150,8240,4394
20180706,8400,8420,8210,8310,6764
20180705,8280,8420,8170,8230,6889
20180704,8500,8500,8280,8410,3801
20180703,8660,8660,8270,8430,9265
20180702,8680,8760,8400,8560,10963
20180629,8770,8820,8640,8680,3621
20180628,8950,8950,8700,8770,29465
20180627,8750,8770,8630,8700,1633
20180626,8890,8890,8590,8700,42106
20180625,8800,8910,8780,8890,5722
20180622,8820,8860,8760,8770,9293
20180621,9010,9040,8800,8820,16039
20180620,9010,9110,8950,9010,15185
20180619,9250,9290,9080,9090,24642
20180618,9420,9420,9190,9220,15350
20180615,9430,9490,9320,9420,7202
20180614,9440,9540,9340,9430,7856
20180612,9550,9560,9430,9440,3019
20180611,9510,9550,9400,9550,2628
20180608,9490,9590,9400,9510,2981
20180607,9360,9500,9320,9490,6680
20180605,9440,9520,9390,9390,3704
20180604,9340,9500,9310,9440,2700
20180601,9440,9460,9340,9360,8624
20180531,9430,9480,9350,9370,6992
20180530,9580,9580,9400,9430,3767
20180529,9560,9640,9530,9580,5838
20180528,9370,9560,9360,9560,31650
20180525,9520,9550,9380,9440,25783
20180524,9600,9600,9500,9570,9288
20180523,9510,9580,9460,9550,13309
20180521,9620,9630,9490,9550,11553
20180518,9490,9620,9420,9580,37875
20180517,9480,9480,9390,9430,7079
20180516,9420,9490,9340,9410,11189
20180515,9450,9470,9400,9470,13665
20180514,9440,9490,9430,9460,10249
20180511,9460,9490,9350,9440,20785
20180510,9450,9540,9370,9410,6575
20180509,9380,9500,9370,9450,13000
20180508,9600,9610,9380,9430,20988
20180504,9560,9790,9520,9610,9082
20180503,9430,9700,9400,9540,22677
20180502,9490,9500,9400,9410,15986
20180430,9470,9540,9430,9450,10604
20180427,9490,9550,9440,9470,13084
20180426,9490,9540,9450,9490,10210
20180425,9520,9560,9470,9490,30302
20180424,9500,9510,9460,9500,32981
20180423,9500,9500,9450,9500,32723
