,open,high,low,close,volume
20181109,8110,8110,7800,7800,211
20181108,8120,8120,8110,8110,475
20181107,7790,8250,7790,8150,1402
20181106,7790,7790,7790,7790,1
20181105,7800,7800,7800,7800,0
20181102,7590,7840,7590,7840,167
20181101,7590,7590,7590,7590,0
20181031,7490,7590,7490,7590,92
20181030,7020,7540,7020,7490,100
20181029,7600,7600,7200,7580,113
20181026,7600,7900,7600,7600,68
20181025,7930,7930,7930,7930,1
20181024,7750,7960,7750,7930,348
20181023,8000,8000,8000,8000,10
20181022,8010,8010,8010,8010,10
20181019,8040,8040,8020,8020,31
20181018,7750,8050,7750,8040,252
20181017,8240,8240,8100,8100,108
20181016,7870,7880,7540,7880,18
20181015,7830,7990,7520,7880,38
20181012,7600,7600,7500,7520,116
20181011,7180,7710,7180,7600,836
20181010,8120,8190,7890,8120,330
20181008,8220,8220,8220,8220,10
20181005,8230,8230,8230,8230,401
20181004,8160,8240,8160,8240,1331
20181002,8180,8180,8180,8180,0
20181001,8180,8180,8170,8180,190
20180928,8180,8180,8180,8180,20
20180927,8170,8170,8170,8170,25
20180921,8180,8180,8170,8170,51
20180920,8180,8180,8180,8180,120
20180919,8180,8180,8150,8150,147
20180918,8180,8180,8180,8180,20
20180917,8230,8230,8220,8220,2
20180914,8210,8240,8150,8230,105
20180913,8180,8230,8150,8210,204
20180912,8180,8180,8170,8170,74
20180911,8180,8180,8010,8170,31
20180910,8070,8080,8050,8080,90
20180907,8170,8170,8030,8160,40
20180906,8170,8170,8000,8000,1161
20180905,8180,8180,8000,8090,1449
20180904,8200,8200,8020,8080,834
20180903,8180,8200,8130,8200,218
20180831,8200,8240,8190,8200,697
20180830,8210,8230,8180,8230,415
20180829,8280,8280,8240,8240,9
20180828,8260,8270,8210,8210,145
20180827,8450,8450,8250,8260,1083
20180824,8440,8550,8440,8450,94
20180823,8440,8440,8440,8440,0
20180822,8440,8440,8440,8440,22
20180821,8440,8440,8440,8440,3
20180820,8400,8450,8400,8450,3
20180817,8490,8500,8340,8490,10
20180816,8500,8500,8500,8500,1
20180814,8360,8510,8360,8510,3
20180813,8570,8570,8340,8530,76
20180810,8340,8600,8340,8600,109
20180809,8570,8570,8330,8520,246
20180808,8560,8570,8560,8570,4
20180807,8570,8570,8570,8570,0
20180806,8330,8580,8330,8580,608
20180803,8310,8600,8310,8600,130
20180802,8490,8490,8320,8320,219
20180801,8530,8530,8400,8500,632
20180731,8550,8550,8300,8480,428
20180730,8560,8560,8210,8350,1176
20180727,8560,8560,8550,8560,65
20180726,8400,8550,8400,8550,973
20180725,8400,8400,8400,8400,0
20180724,8310,8500,8310,8500,6
20180723,8450,8450,8450,8450,0
20180720,8560,8570,8560,8570,52
20180719,8470,8570,8470,8570,33
20180718,8540,8590,8510,8510,3
20180717,8600,8600,8570,8570,1092
20180716,8580,8580,8580,8580,0
20180713,8360,8580,8360,8580,1660
20180712,8570,8570,8340,8500,59
20180711,8560,8570,8550,8570,201
20180710,8310,8560,8310,8560,307
20180709,8610,8610,8310,8450,245
20180706,8480,8580,8480,8580,39
20180705,8450,8450,8230,8340,364
20180704,8370,8510,8350,8450,591
20180703,8520,8520,8400,8500,278
20180702,8610,8870,8510,8520,717
20180629,8790,8790,8790,8790,1
20180628,8780,8930,8600,8800,554
20180627,8680,8680,8590,8680,866
20180626,8850,8850,8680,8680,1639
20180625,8940,8940,8770,8850,230
20180622,9000,9000,8820,8940,100
20180621,9000,9000,8820,9000,569
20180620,8900,8900,8850,8900,684
20180619,9000,9000,8970,9000,363
20180618,9150,9150,9120,9120,101
20180615,9010,9160,8910,9160,554
20180614,9220,9220,9010,9120,660
20180612,9110,9110,9000,9010,1171
20180611,9200,9200,8910,9110,884
20180608,9260,9260,9110,9260,234
20180607,9360,9460,9250,9260,550
20180605,9150,9300,9150,9290,1102
20180604,8880,9150,8880,9150,534
20180601,9290,9300,9070,9300,211
20180531,9190,9290,9190,9290,6
20180530,9150,9150,8830,9100,3086
20180529,9650,9650,9160,9290,612
20180528,9350,9390,9210,9330,885
20180525,9250,9500,9120,9350,3199
20180524,9560,9700,9110,9620,3699
20180523,10200,10700,9660,9700,11372
20180521,9490,9960,9370,9660,17833
20180518,8800,9370,8800,9100,1647
20180517,8740,8800,8700,8800,1463
20180516,8800,8900,8730,8730,1486
20180515,8980,8980,8700,8960,729
20180514,9100,9100,8920,9010,3299
20180511,8800,8990,8800,8990,1448
20180510,8830,8870,8750,8870,449
20180509,8900,8900,8800,8870,1651
20180508,8750,8830,8660,8800,728
20180504,8900,8900,8750,8830,56
20180503,9000,9000,8710,8730,241
20180502,8880,8880,8790,8860,791
20180430,8860,8880,8830,8880,601
20180427,8930,8930,8800,8900,273
20180426,8850,8970,8760,8970,285
20180425,8900,8900,8870,8870,102
20180424,8900,8900,8800,8900,1364
20180423,8870,8900,8780,8900,559
20180420,8850,8920,8840,8870,51
20180419,9160,9160,8800,8880,1823
20180418,8830,9180,8730,9180,128
20180417,8840,8840,8780,8830,253
20180416,8870,8870,8840,8840,51
20180413,8660,8950,8660,8950,5
20180412,8990,8990,8800,8990,263
20180411,9150,9150,8800,8870,2232
20180410,9250,9250,9190,9190,104
20180409,9010,9010,8980,8980,39
20180406,9030,9070,8880,9040,957
20180405,9100,9100,9050,9050,27
20180404,9060,9140,8900,9090,313
20180403,9060,9070,9040,9070,1048
20180402,9070,9070,9000,9070,417
20180330,9080,9080,8940,9070,332
20180329,9080,9080,9080,9080,11
20180328,8500,9130,8500,9080,349
20180327,9000,9230,9000,9140,413
20180326,9360,9360,9000,9000,913
20180323,9080,9150,8920,9110,86
20180322,9010,9250,8990,9160,65
20180321,9000,9150,9000,9010,25
20180320,9000,9000,9000,9000,101
20180319,9270,9270,8910,8910,691
20180316,9110,9270,9110,9270,12
20180315,8980,9160,8980,9110,235
20180314,9150,9180,9000,9000,230
20180313,9200,9200,9030,9050,264
20180312,9160,9180,9010,9050,455
20180309,9080,9200,9000,9200,1460
20180308,9200,9200,9070,9200,56
20180307,9300,9300,9060,9260,285
20180306,9020,9020,9020,9020,0
20180305,9000,9510,9000,9020,204
20180302,9260,9260,8910,9000,1216
20180228,9270,9270,9260,9260,28
20180227,9220,9270,9210,9270,111
20180226,9260,9260,9220,9220,185
20180223,9290,9290,9160,9260,898
20180222,9350,9350,9180,9330,1792
20180221,9380,9380,9250,9350,869
20180220,9400,9490,9210,9410,695
20180219,9420,9420,9420,9420,210
20180214,9430,9430,9420,9420,4
20180213,9350,9440,9250,9440,17
20180212,9230,9360,9230,9350,68
20180209,9360,9510,9200,9230,430
20180208,9390,9390,9320,9390,46
20180207,9390,9400,9250,9400,213
20180206,9470,9470,9210,9400,1896
20180205,9710,9710,9470,9470,1115
20180202,9610,9740,9590,9710,84
20180201,9680,9690,9520,9630,2982
20180131,9750,9880,9610,9610,330
20180130,9780,9780,9590,9760,510
20180129,9730,9790,9630,9780,2420
20180126,9650,9730,9650,9730,11
20180125,9500,9820,9460,9750,2918
20180124,9590,9640,9450,9640,1402
20180123,9620,9620,9590,9590,57
20180122,9500,9650,9500,9650,24
20180119,9460,9500,9460,9500,1044
20180118,9520,9520,9350,9460,1035
20180117,9920,9920,9500,9570,100
20180116,9650,9650,9600,9600,15
20180115,9600,9660,9550,9650,612
20180112,9600,9710,9600,9710,112
20180111,9710,9710,9600,9700,207
20180110,9700,9720,9600,9710,1305
20180109,9840,9840,9600,9720,357
20180108,9680,9790,9680,9740,160
20180105,9750,9750,9510,9680,929
20180104,9760,9930,9600,9600,795
20180103,9800,9800,9760,9760,203
20180102,9830,9830,9820,9820,2
20171228,9840,9840,9840,9840,40
