,open,high,low,close,volume
20181109,79300,79300,79300,79300,0
20181108,79300,79300,79300,79300,0
20181107,82600,83700,78000,79300,10497
20181106,85500,87000,82100,82600,12403
20181105,84000,91900,83800,85500,27030
20181102,83600,86500,83000,83900,9035
20181101,81400,84400,77600,83600,14885
20181031,77400,78700,76100,77500,5959
20181030,80200,82800,72200,77400,14233
20181029,83000,86500,81000,81300,9197
20181026,83000,84800,82000,83300,3828
20181025,80900,83800,80900,82900,4279
20181024,82100,84300,81900,83200,4756
20181023,84400,85700,82000,83200,8720
20181022,81700,87000,80400,82500,15883
20181019,81700,83600,80500,81100,9024
20181018,81300,84800,81100,81300,16604
20181017,80000,84800,78500,81300,22124
20181016,77400,81200,75900,79100,15355
20181015,77200,79100,76500,77400,7470
20181012,76900,81000,75900,77600,20400
20181011,80700,83400,75600,75900,38829
20181010,76300,91400,73600,83300,113195
20181008,73200,75400,72900,73500,3133
20181005,75200,77700,71500,72700,9766
20181004,77300,80700,74900,76200,15989
20181002,73400,82800,71100,77000,27593
20181001,72200,72700,70500,71000,8063
20180928,72900,73600,70400,72800,7908
20180927,74000,76200,72600,72900,9947
20180921,74000,76200,72200,74000,10431
20180920,80000,81800,72500,73000,30245
20180919,78800,82000,75500,77600,20707
20180918,75900,80800,74900,77800,28387
20180917,74000,82900,73600,75200,70629
20180914,73200,76900,72200,72700,49646
20180913,74800,83600,72900,76500,172875
20180912,74600,76900,70300,72100,48754
20180911,83100,88000,75100,75100,94411
20180910,89000,98800,82100,87000,198776
20180907,73100,93700,71300,87100,225915
20180906,80600,91200,70300,73600,165134
20180905,57900,73900,57800,73900,119986
20180904,53900,58000,53900,56900,10551
20180903,54300,54300,53600,54100,4821
20180831,53800,54200,53700,54000,22093
20180830,54100,54100,53200,53700,22136
20180829,54000,54000,53900,54000,22314
20180828,53900,54000,53900,54000,8252
20180827,54000,54100,53900,54000,14269
20180824,54000,54000,53900,53900,7425
20180823,53900,54000,53900,54000,4671
20180822,54000,54100,53900,53900,4911
20180821,54000,54100,53900,54000,4168
20180820,54000,54100,53900,54100,6740
20180817,54100,54100,53900,53900,2028
20180816,53800,54300,53800,54300,16768
20180814,53800,54000,53800,53800,23063
20180813,53900,54100,53800,53800,27469
20180810,53900,54000,53800,53900,23691
20180809,53900,54000,53800,53800,20760
20180808,53900,54000,53900,53900,11684
20180807,53800,54000,53800,53900,19154
20180806,53800,54000,53800,53900,24567
20180803,53800,53900,53800,53800,22189
20180802,53800,54000,53800,53900,36480
20180801,53900,54200,53800,53800,46660
20180731,54000,55100,53800,53900,203160
20180730,42500,44500,42150,44500,6669
20180727,40150,43700,40150,42500,14008
20180726,38150,41000,38150,39800,5836
20180725,37250,38450,37250,38150,2144
20180724,37650,38650,37650,38050,2341
20180723,38350,38350,37300,37650,3779
20180720,39150,39200,37800,38550,3586
20180719,38350,39350,37800,39350,2535
20180718,39000,39500,38500,38550,3880
20180717,39950,39950,39000,39000,3610
20180716,38750,40200,38450,39400,5630
20180713,37650,38500,37400,38500,2481
20180712,37600,38800,37500,37650,1826
20180711,38000,38950,36650,37600,6157
20180710,37050,39000,36150,37550,12592
20180709,34000,36100,34000,36100,9199
20180706,34350,34350,33300,34150,2331
20180705,34200,34850,33500,33650,4152
20180704,35300,35300,34350,35050,2877
20180703,34900,35450,34150,34650,3436
20180702,37000,37750,35000,35200,5761
20180629,37100,37750,35900,37000,5018
20180628,38850,38900,36900,36900,6828
20180627,38400,38900,37000,38100,5464
20180626,38650,38800,38250,38350,2904
20180625,39900,42000,38300,38800,14232
20180622,39950,39950,37750,38000,2747
20180621,40200,40200,38350,38550,4242
20180620,39500,40000,38850,39450,3324
20180619,39900,40800,39100,39500,2978
20180618,39400,41000,39300,39850,7858
20180615,40800,41900,40050,40750,2563
20180614,41300,41700,40000,40400,5646
20180612,42250,42800,40950,41250,9191
20180611,40950,43000,40950,42300,6179
20180608,42300,43700,40950,40950,7864
20180607,42750,43200,41700,42300,6433
20180605,42250,43500,39900,42750,14427
20180604,43800,43800,41700,42250,5563
20180601,43450,43800,42150,42150,7249
20180531,43100,45250,42700,43450,11450
20180530,43550,43800,42000,43000,9412
20180529,46300,46300,43100,43500,16651
20180528,45700,49350,43700,46250,40809
20180525,40100,42700,40000,41550,19691
20180524,46950,49000,44150,44550,20271
20180523,46000,46450,44000,45500,10085
20180521,48000,48000,45400,46500,8854
20180518,47900,47900,45950,46950,11863
20180517,45700,48350,45050,47000,22902
20180516,43750,48000,43750,45700,43499
20180515,52800,53800,50800,51000,21163
20180514,51000,54500,50000,52800,40239
20180511,52000,54300,49000,51100,44031
20180510,53200,57800,51100,52000,72084
20180509,47800,59000,47800,53300,230815
20180508,50100,51900,47800,47800,56983
20180504,40750,52900,38150,52900,247694
20180503,41500,42100,40500,40750,5316
20180502,40300,42000,39650,41200,9886
20180430,39800,40950,38600,40300,4986
20180427,40700,41650,38400,38850,8807
20180426,38000,40200,37800,39500,6848
20180425,40900,44000,37950,38000,24200
20180424,37350,40700,37200,40000,25937
20180423,36050,37250,35950,37000,9013
20180420,36350,36400,35600,36050,2544
20180419,36050,36300,35750,36200,3886
20180418,35600,35900,35500,35800,1174
20180417,34550,35800,34550,35800,1935
20180416,35650,35650,34300,34950,1209
20180413,35200,35450,34900,35000,917
20180412,36350,36350,35150,35150,995
20180411,35850,36450,35500,35750,1069
20180410,36450,36450,35500,35800,1070
20180409,35700,36150,35500,36150,473
20180406,36050,36550,35400,35700,1315
20180405,36500,36800,34350,36050,3772
20180404,35100,36000,35100,36000,2432
20180403,34250,35300,34250,35300,1699
20180402,36200,37100,35000,35350,5942
20180330,35650,36400,35300,36200,1137
20180329,35900,35900,35450,35650,194
20180328,36300,36300,35200,35900,1539
20180327,36700,36700,35950,36300,1466
20180326,36650,36650,36000,36400,1013
20180323,35300,36450,34900,36150,3709
20180322,35100,35800,35100,35600,3456
20180321,35100,35550,35100,35100,529
20180320,35350,35550,34850,35100,1591
20180319,35050,35600,35000,35350,1870
20180316,34500,35050,34450,35050,2131
20180315,34850,34850,34250,34300,1030
20180314,34000,34650,34000,34500,1438
20180313,34950,35200,34350,34400,3248
20180312,35200,35400,34800,35150,3482
20180309,34750,34900,33850,34750,4825
20180308,34300,34850,34050,34400,3749
20180307,34550,34750,34050,34200,679
20180306,34150,35000,34150,34550,785
20180305,34550,34550,33300,33800,1201
20180302,34000,34200,33650,34150,778
20180228,34500,35050,34100,34200,3283
20180227,35000,35200,34400,34500,1449
20180226,35000,35050,34600,34950,1104
20180223,35850,35850,34650,35000,4751
20180222,35700,36000,35400,35550,1345
20180221,36200,36200,35400,36000,1285
20180220,36250,36250,35400,35650,2311
20180219,35450,35900,34900,35800,1248
20180214,35500,35500,35100,35500,941
20180213,36100,36100,35250,35500,1023
20180212,35750,36250,35200,35950,1866
20180209,35950,36150,34600,35900,2955
20180208,36400,37400,36300,36350,1802
20180207,37150,37150,36050,36400,1638
20180206,36000,37150,35200,36950,3307
20180205,36800,37500,36800,37100,3789
20180202,36500,36950,36500,36800,3216
20180201,36700,37050,36400,36750,1599
20180131,36150,36800,35700,36700,2117
20180130,36200,36400,35500,36250,6503
20180129,34850,36200,34700,36200,4854
20180126,35100,35250,34600,34850,516
20180125,34900,35300,34800,35100,2009
20180124,34850,34900,34350,34900,5513
20180123,34650,34850,34650,34850,1250
20180122,34350,34850,34250,34650,3026
20180119,34050,34800,34050,34350,1021
20180118,35050,35050,33900,34050,1525
20180117,33800,34050,33700,34050,1332
20180116,33450,34450,33450,33800,1387
20180115,34150,34250,33700,33800,1125
20180112,33550,34450,33300,34150,1204
20180111,34300,34300,33700,33900,766
20180110,34400,34750,33650,34200,2010
20180109,33100,34700,33100,34250,4907
20180108,33200,33500,32800,33000,3528
20180105,32900,33200,32350,32950,1383
20180104,33550,33550,32550,32900,3177
20180103,33650,33900,33200,33550,1910
20180102,34700,37000,33450,33650,4878
20171228,33300,34300,33200,34000,1769
20171227,33600,34150,33050,33450,1749
20171226,33950,34900,33150,34150,4242
20171222,33200,34950,32600,34000,2556
20171221,34000,34050,33300,33300,8390
20171220,34600,34900,34000,34000,2839
20171219,35550,35700,35150,35150,5911
20171218,35650,36250,35550,35600,2551
20171215,36100,36450,35150,35650,3890
20171214,36250,36900,35450,35650,2939
20171213,36050,36700,36050,36250,1466
20171212,36900,37500,36100,36450,2044
20171211,37500,37850,35850,36900,1668
20171208,37650,37650,37150,37150,2833
20171207,38000,38100,36600,37550,4822
20171206,36650,37850,36650,37500,7521
20171205,35850,37350,35550,37100,7104
20171204,36650,36800,35550,35850,4923
20171201,36600,37700,36400,36650,7107
20171130,36750,37700,36600,36600,5945
20171129,36500,37000,35900,36700,5996
20171128,35200,37750,35200,36500,17669
20171127,34700,35800,34700,35200,7601
20171124,33200,34750,33200,34500,5562
20171123,32800,33900,32800,33750,6147
20171122,33000,33450,32650,33000,10583
20171121,32600,38400,32600,33300,91431
20171120,31350,32250,31350,32050,1710
20171117,32500,32500,31200,32300,1788
20171116,32400,32400,31700,31900,1878
20171115,33000,33000,32400,32400,2260
20171114,32200,32850,32150,32600,2059
20171113,32000,32650,31800,32150,2895
20171110,31100,31800,31100,31800,1416
20171109,30850,31300,30850,31300,4521
20171108,31000,31400,30750,30950,2155
20171107,31200,31250,30800,31000,1205
20171106,31500,31500,30800,30850,2201
20171103,31350,31350,30800,31150,4727
20171102,31250,31700,30950,31100,1808
20171101,31200,31750,31150,31250,2722
20171031,30800,31300,30800,31050,1737
20171030,31750,31750,30800,30800,1936
20171027,30900,31400,30900,31100,1350
20171026,31850,31850,31000,31050,528
20171025,32000,32000,31150,31200,517
20171024,31200,31450,31000,31450,2490
20171023,31150,31700,30900,31200,2093
20171020,30550,30950,30550,30900,1164
20171019,31100,31100,30800,30900,812
20171018,31850,31850,30850,31150,1271
20171017,31200,32200,31100,31250,1834
20171016,31300,31300,30850,31200,993
20171013,32000,32300,30750,31300,2570
20171012,31400,31800,31200,31700,1921
20171011,31700,31700,30950,31400,2004
20171010,31400,31900,31400,31700,3129
20170929,31600,31600,30900,31350,1396
20170928,30750,31000,30300,30850,2253
20170927,31000,31000,30100,30400,1118
20170926,30200,30350,30000,30350,2397
20170925,30100,30450,29250,30200,6354
20170922,30250,31050,29950,30100,4655
20170921,30050,30600,30050,30250,1947
20170920,31950,31950,30450,30450,2157
20170919,30200,30850,30150,30800,3379
20170918,30300,30800,30000,30750,2479
20170915,30100,30300,30000,30300,2969
20170914,31100,31100,30100,30250,1701
20170913,30250,30850,30200,30550,1364
20170912,30500,31350,30150,30350,1972
20170911,30200,30450,30050,30450,1475
20170908,31100,31100,30000,30050,2797
20170907,31700,31850,31250,31250,3401
20170906,33000,33000,31500,31850,3587
20170905,31800,33000,31800,32200,3861
20170904,31300,32200,31000,31800,9923
20170901,30700,31500,30500,31500,3350
20170831,30450,30700,30400,30550,2165
20170830,30250,30600,30000,30600,4852
20170829,30300,30400,30000,30250,2075
20170828,30200,30450,30000,30300,3124
20170825,30300,30300,29750,30000,4776
20170824,30500,30500,29850,30350,1699
20170823,30300,30300,29700,30000,2416
20170822,30350,30350,29900,30000,579
20170821,30150,30350,29700,30350,969
20170818,30350,30350,30100,30250,598
20170817,30300,30450,30000,30400,744
20170816,29600,30500,29600,30400,5034
20170814,29500,29850,29300,29450,1704
20170811,29600,30000,29400,29850,1740
20170810,30400,30400,29400,29900,3822
20170809,30100,30350,29750,30050,1566
20170808,30450,30450,29800,30100,1926
20170807,29800,30600,29500,30050,6009
20170804,30600,30900,29950,30150,4781
20170803,31800,31950,29900,30650,10471
20170802,31200,34200,31200,31350,21706
20170801,30850,31200,30450,31050,2710
20170731,30550,31200,30550,30900,2244
20170728,31450,31450,30500,30850,3728
20170727,32000,32000,31400,31450,2270
20170726,32300,32500,31500,31800,1470
20170725,32100,32650,31900,32250,1670
