,open,high,low,close,volume
20181109,95000,95000,95000,95000,0
20181108,95000,95000,95000,95000,0
20181107,101500,101500,92500,95000,5051
20181106,96000,102000,91900,97500,8070
20181105,99500,115000,98600,98900,10790
20181102,96300,100000,96000,97100,6446
20181101,87900,98000,86400,98000,6096
20181031,82800,88700,82500,83400,2726
20181030,91600,91600,80200,82500,6915
20181029,97200,100500,91000,91000,3549
20181026,98000,99300,95300,98000,2557
20181025,96000,100000,94500,98000,2630
20181024,97000,98000,94300,96300,2053
20181023,103500,104500,96000,96100,4212
20181022,101000,107500,98000,101000,4705
20181019,104000,106000,100000,100000,4876
20181018,97900,106000,97400,100500,7760
20181017,91200,100500,90000,97000,5321
20181016,87000,96400,84100,91200,7084
20181015,90000,92200,88000,88000,3373
20181012,94700,101000,88700,90000,8240
20181011,97300,101500,86000,93300,12641
20181010,76000,97300,75000,97300,13970
20181008,76300,76300,74100,74900,2461
20181005,74500,75400,73600,74900,748
20181004,74100,76600,73100,75000,3217
20181002,73800,77100,71100,76100,3758
20181001,74500,74600,70700,71100,3468
20180928,74000,78000,73000,74500,4263
20180927,77000,78500,73500,75800,4798
20180921,75200,81000,75000,77000,6030
20180920,94000,94000,76600,76600,10218
20180919,84900,88000,79000,88000,9080
20180918,93000,93000,84400,85200,11330
20180917,104500,105000,94000,96200,11192
20180914,98000,105000,98000,105000,10317
20180913,95000,110000,90900,101500,16900
20180912,87000,92000,81000,88900,16337
20180911,90000,105000,83500,89000,32196
20180910,79000,97500,76900,97000,29230
20180907,57500,76700,57500,75000,18377
20180906,69100,69100,53500,59000,32798
20180905,43350,55800,43350,55800,18345
20180904,41900,42950,41600,42950,1789
20180903,41800,41950,41600,41900,1332
20180831,41650,41900,41650,41800,5732
20180830,41750,41850,41700,41850,2927
20180829,41700,41700,41600,41650,4631
20180828,41650,41750,41650,41700,3926
20180827,41650,41650,41600,41650,4435
20180824,41650,41650,41600,41600,5231
20180823,41600,41650,41600,41650,3595
20180822,41600,41650,41600,41600,3566
20180821,41750,41750,41700,41750,1003
20180820,41750,41750,41700,41700,1341
20180817,41650,41750,41650,41750,1234
20180816,41650,41650,41600,41650,9615
20180814,41600,41650,41600,41650,3873
20180813,41600,41600,41550,41600,1647
20180810,41550,41600,41550,41600,1729
20180809,41600,41600,41550,41550,5551
20180808,41550,41600,41550,41550,3622
20180807,41550,41600,41550,41550,2238
20180806,41600,41600,41550,41600,82063
20180803,41550,41600,41550,41550,21444
20180802,41500,41600,41500,41550,85432
20180801,41550,41550,41500,41500,58002
20180731,41700,41700,41600,41700,105815
20180730,32000,32500,32000,32100,423
20180727,30950,31400,30950,31000,1700
20180726,30750,30750,29600,30350,47
20180725,29500,30500,29500,30450,161
20180724,29200,30300,29150,30300,289
20180723,30500,30500,29500,29500,331
20180720,29550,30500,29550,30500,19
20180719,29500,29900,29500,29550,52
20180718,30150,31000,28600,30000,713
20180717,29300,30150,29300,30150,22
20180716,30200,30200,29700,30100,145
20180713,28800,30200,28600,30200,168
20180712,28650,29800,28550,28750,140
20180711,28800,29200,28000,29200,267
20180710,31800,31800,29700,29800,328
20180709,27600,30300,27600,29900,2197
20180706,28500,28850,27950,27950,240
20180705,28150,28850,27850,28850,108
20180704,29750,29750,28250,29000,35
20180703,28550,30150,27900,28300,271
20180702,29050,29950,28500,29600,146
20180629,30800,30900,29150,29150,53
20180628,29150,29700,29000,29000,69
20180627,29200,29800,29050,29150,323
20180626,30100,30750,29050,29200,561
20180625,31000,32200,30050,30050,3864
20180622,30700,31400,29300,30100,1354
20180621,30400,30900,30300,30800,130
20180620,29500,30400,29500,30400,67
20180619,29600,29900,29100,29550,288
20180618,30800,31400,29500,29600,841
20180615,30800,31250,30750,30800,127
20180614,31850,32100,31250,31500,85
20180612,31900,32000,31750,31750,435
20180611,32950,32950,31450,32950,242
20180608,31300,33000,31300,32950,18
20180607,32150,33050,32150,33050,118
20180605,32500,33200,31150,33100,198
20180604,34700,34700,31500,32500,703
20180601,36300,36300,32750,33800,19
20180531,33500,33600,31850,33600,327
20180530,32350,33000,32050,32150,1214
20180529,38800,38800,33550,33600,887
20180528,37000,37000,33950,36050,2651
20180525,30750,35000,30750,32650,1459
20180524,39900,40000,33550,35500,8057
20180523,35400,36550,33750,36500,1468
20180521,36800,36800,34250,35500,623
20180518,35700,35700,33300,35450,2016
20180517,34500,35500,33250,35000,671
20180516,32550,33950,32550,32700,679
20180515,36900,36900,35200,35300,2002
20180514,36950,36950,35050,36250,2378
20180511,39200,39200,35100,36100,4914
20180510,45000,45000,39000,39200,9958
20180509,33750,40300,33750,38000,10882
20180508,34700,35000,33350,33750,4735
20180504,30450,38800,30450,37600,11258
20180503,30500,30500,30400,30400,14
20180502,29800,30400,29750,30400,206
20180430,29300,29700,29100,29600,149
20180427,29100,29200,29100,29100,178
20180426,29000,29450,28300,28300,307
20180425,29200,29200,28100,29000,82
20180424,28250,29250,28250,29150,592
20180423,27450,28200,27450,28150,1442
20180420,27850,27950,27850,27900,227
20180419,27850,27850,27200,27850,185
20180418,27950,27950,27150,27850,8
20180417,27100,27600,27100,27600,74
20180416,27750,27750,27350,27350,57
20180413,27900,27900,27900,27900,1
20180412,27200,27650,27200,27650,420
20180411,27850,27850,27800,27800,7
20180410,27850,27850,27850,27850,123
20180409,28000,28000,27200,27850,171
20180406,27000,27700,27000,27700,345
20180405,28000,28000,27400,27650,47
20180404,27900,27900,27400,27700,221
20180403,27350,27900,27350,27850,276
20180402,27950,27950,27250,27900,49
20180330,27850,27950,27800,27950,222
20180329,28000,28000,27450,27500,77
20180328,28150,28150,28000,28000,82
20180327,28100,28100,27450,28000,161
20180326,27500,28050,27300,27900,154
20180323,28000,28000,27200,27750,303
20180322,28000,28000,27250,27750,785
20180321,28100,28100,27050,27300,436
20180320,28150,28150,27200,27900,117
20180319,27650,28200,27500,27900,639
20180316,27350,27450,27150,27400,450
20180315,27050,27100,26300,27000,381
20180314,27700,28050,26150,26600,2782
20180313,30700,30700,26800,27200,4540
20180312,31950,31950,29600,30150,671
20180309,30250,30250,29700,29950,106
20180308,30100,32100,29500,29700,1234
20180307,29350,30000,29100,29700,489
