,open,high,low,close,volume
20181109,16150,16200,15900,16050,5851
20181108,16050,16300,15950,16200,13314
20181107,16000,16350,15400,15900,14155
20181106,16000,16300,15700,15900,10683
20181105,16400,16400,15900,16000,6103
20181102,16000,16450,15900,16400,21417
20181101,15550,16100,15300,15850,17852
20181031,15750,15750,15200,15500,25259
20181030,15750,16000,15050,15650,61571
20181029,16650,16950,15650,15950,36633
20181026,16450,16900,16200,16650,11669
20181025,17150,17150,16300,16600,23195
20181024,17550,17650,17150,17150,10599
20181023,17850,17950,17400,17450,17913
20181022,17850,18050,17600,17850,10251
20181019,18100,18150,17650,17850,12165
20181018,18400,18450,18000,18100,10235
20181017,18300,18450,18200,18400,8760
20181016,18100,18350,17900,18200,13826
20181015,18650,18700,18150,18250,10980
20181012,18500,19000,18500,18500,14095
20181011,19050,19650,18900,18950,16662
20181010,20450,20450,20000,20000,11351
20181008,20850,20850,20400,20400,2179
20181005,20500,20700,20350,20600,11411
20181004,21200,21200,20550,20700,7094
20181002,20650,20850,20650,20800,7241
20181001,20700,20950,20500,20850,5605
20180928,20800,20800,20500,20700,5838
20180927,21000,21000,20750,20800,5183
20180921,20800,20900,20500,20850,12893
20180920,21100,21200,20600,20700,9093
20180919,21500,21550,20850,20900,14444
20180918,21400,22000,21200,21500,6812
20180917,21650,21750,21100,21550,14948
20180914,21050,22000,20950,21550,27512
20180913,20850,21200,20750,20950,8126
20180912,21150,21150,20750,20850,7655
20180911,21050,21150,20700,21050,9016
20180910,20950,21050,20600,20950,8446
20180907,21350,21450,20750,20950,13819
20180906,21000,22600,20950,21450,63509
20180905,20600,20850,20600,20750,4783
20180904,20900,21350,20550,20650,15034
20180903,21150,21150,20900,21000,2532
20180831,21200,21250,20850,21000,3452
20180830,21050,21250,21000,21100,2427
20180829,20800,21150,20750,21000,3127
20180828,21050,21050,20800,20850,6297
20180827,21300,21350,20850,20850,13935
20180824,21300,21350,21100,21300,3925
20180823,21450,21450,21200,21300,3878
20180822,21450,21500,21300,21450,5060
20180821,21400,21400,21150,21350,2777
20180820,21500,21600,21200,21300,4977
20180817,21900,21900,21450,21450,9232
20180816,21850,22100,21450,21850,6436
20180814,22400,22500,21800,22050,7271
20180813,22400,22600,21800,22500,6196
20180810,22550,22750,22250,22600,6345
20180809,22850,22850,22450,22750,5868
20180808,22600,22800,22500,22750,8323
20180807,22300,22550,22250,22500,3117
20180806,22500,22850,22300,22450,7354
20180803,21550,22950,21550,22500,49998
20180802,21550,21850,21400,21750,5213
20180801,21300,21550,21100,21500,6793
20180731,21450,21450,21050,21400,6398
20180730,21550,21550,21200,21450,3803
20180727,21150,21550,21100,21550,6604
20180726,20900,21150,20600,21150,4260
20180725,20950,21250,20700,20700,5628
20180724,20800,20950,20700,20950,9689
20180723,21150,21350,20850,20850,12125
20180720,21250,21550,21150,21300,5545
20180719,21100,21550,21000,21250,12623
20180718,21400,21400,21050,21200,7991
20180717,21400,21500,21100,21300,10012
20180716,21550,21550,21300,21350,8725
20180713,21700,21750,21400,21500,12512
20180712,21750,21750,21500,21700,5938
20180711,21950,21950,21550,21650,9947
20180710,22200,22250,21600,21950,9985
20180709,22100,22100,21200,22000,17754
20180706,22100,22300,21200,21900,36416
20180705,23100,23100,21900,22000,36263
20180704,23050,23400,22900,23100,11044
20180703,22900,23350,22850,23300,21045
20180702,23850,23850,22900,23150,27019
20180629,23750,23850,23050,23850,26539
20180628,23650,24150,23350,23350,28252
20180627,24200,24600,23750,23750,45339
20180626,24000,24400,23750,24200,25932
20180625,23950,24400,23500,24000,25627
20180622,24350,25200,23800,23950,61392
20180621,25250,25300,24350,24400,54298
