,open,high,low,close,volume
20181109,9700,9890,9700,9780,8763
20181108,9990,9990,9760,9790,43492
20181107,9670,10000,9150,9900,101445
20181106,9720,9890,9560,9680,10391
20181105,9980,9990,9710,9720,19786
20181102,9880,9890,9520,9830,29403
20181101,9630,10000,9530,9880,42760
20181031,8860,9750,8780,9700,58370
20181030,6950,9060,6950,9000,162461
20181029,8550,8800,7090,7510,81773
20181026,8660,8880,8350,8560,19258
20181025,8600,8900,8490,8720,25754
20181024,9060,9340,8800,9040,26464
20181023,9450,9450,8890,8900,21534
20181022,8870,9820,8800,9400,69035
20181019,8940,9070,8750,8880,12003
20181018,9220,9330,8930,8930,12224
20181017,9000,9220,8900,9220,49084
20181016,8300,9120,8220,9110,99483
20181015,8260,8390,8260,8260,8012
20181012,7930,8480,7930,8370,35162
20181011,8510,8680,8010,8280,45793
20181010,9250,9280,8870,8910,69081
20181008,9300,9450,9300,9300,12031
20181005,9680,9770,9300,9350,58003
20181004,9890,9890,9600,9700,21387
20181002,9790,9890,9700,9820,15353
20181001,9850,9930,9760,9790,31148
20180928,9830,9950,9830,9920,33064
20180927,9980,9980,9910,9930,17469
20180921,9780,9970,9780,9930,17246
20180920,10000,10150,9810,9850,64338
20180919,10300,10450,9880,9950,133776
20180918,10450,10650,10200,10400,25413
20180917,10550,10700,10200,10400,39333
20180914,11100,11100,10600,10600,62029
20180913,10650,11050,10450,10850,81288
20180912,10800,10850,10450,10500,37762
20180911,10700,10800,10400,10700,63913
20180910,10350,10600,10200,10550,66755
20180907,10000,10300,9980,10200,44693
20180906,10450,10500,9950,10000,106886
20180905,10150,10450,10100,10350,76122
20180904,10050,10250,10000,10150,24488
20180903,10100,10150,9990,10100,21233
20180831,10050,10200,9860,10050,39313
20180830,9810,10200,9810,10050,58784
20180829,9700,9830,9700,9780,16040
20180828,9950,9950,9780,9780,35984
20180827,9900,9970,9600,9850,83170
20180824,10150,10350,9960,10000,122847
20180823,10150,10400,10000,10250,180389
20180822,10050,10450,9950,10000,202431
20180821,10050,10150,9960,10000,22243
20180820,10400,10550,9930,10000,186265
20180817,10300,10500,10100,10300,35699
20180816,10000,10250,9910,10200,31330
20180814,9720,10050,9720,10000,29626
20180813,10200,10500,9720,9840,62864
20180810,10600,10600,9950,10200,39934
20180809,10050,10500,10050,10200,24910
20180808,10200,10400,9960,10150,39333
20180807,10300,10300,9930,10000,12932
20180806,9830,10350,9830,10050,41526
20180803,10000,10050,9850,9910,9139
20180802,10050,10100,9800,9870,42367
20180801,10000,10200,9880,10100,59259
20180731,9930,10200,9620,10000,64964
20180730,9760,10400,9740,10000,80799
20180727,9650,9890,9650,9760,19435
20180726,9510,9940,9440,9800,36579
20180725,9570,9990,9380,9590,50579
20180724,8950,9640,8950,9520,73016
20180723,9230,9320,8960,8970,59661
20180720,9310,9480,9190,9320,43070
20180719,9540,9630,9290,9310,47159
20180718,9830,9980,9610,9630,31176
20180717,9920,10000,9770,9830,18202
20180716,10050,10150,9800,9800,30694
20180713,9850,9980,9720,9940,22268
20180712,9780,9950,9620,9830,39095
20180711,9500,9920,9400,9750,39627
20180710,9320,9740,9320,9510,35187
20180709,9670,9710,9250,9320,65870
20180706,9400,9940,9340,9730,57635
20180705,9810,9940,9400,9480,62817
20180704,9750,10050,9750,9850,45384
20180703,10050,10150,9700,9880,113911
20180702,10250,10300,9960,10000,129820
20180629,10700,10850,9960,10300,176673
20180628,10350,11050,10350,10600,188858
20180627,11000,11000,10300,10450,182801
20180626,10900,11050,10550,10600,166026
20180625,11200,11350,10700,11050,222001
20180622,12100,12150,11150,11350,272197
20180621,12700,12800,12100,12100,146562
20180620,12400,12850,12150,12500,305223
20180619,14000,14100,12350,12500,464359
20180618,13900,15000,13550,13750,1391739
20180615,12800,13450,12600,13400,200187
20180614,12700,13000,12350,13000,207729
20180612,13200,13300,12650,13000,129029
20180611,12750,13450,12600,13200,126517
20180608,12900,12900,12350,12550,104232
20180607,13000,13200,12600,12700,242350
20180605,12900,12900,11900,12400,200572
20180604,13200,13250,12550,12950,97943
20180601,13950,14000,12600,12850,364888
20180531,12700,13450,12700,13050,182635
20180530,12800,13050,12300,12750,118715
20180529,12800,13150,12450,12650,187663
20180528,12200,13550,12150,13250,547455
20180525,11350,11850,11100,11100,994508
20180524,13100,13250,12500,12600,238886
20180523,13400,13550,12700,12950,213655
20180521,14150,14200,13450,13700,117019
20180518,13700,14200,13300,14100,123805
20180517,13600,14250,13500,13900,217470
20180516,14400,14900,13250,13550,357615
20180515,15850,15850,14900,15300,499437
20180514,14500,16050,14250,15950,748325
20180511,14150,14650,13600,14300,444050
20180510,13500,13900,12800,13750,278553
