,open,high,low,close,volume
20181109,15750,16150,15750,15800,61897
20181108,15650,16200,15650,15750,114824
20181107,16350,16500,15350,15400,148118
20181106,16250,16450,16050,16400,59572
20181105,16650,16700,15950,16150,77531
20181102,16650,16950,16600,16700,42383
20181101,16750,17200,16550,16750,59477
20181031,16800,17350,16350,16900,114324
20181030,18050,18050,17000,17000,98407
20181029,18100,18100,17400,17700,58693
20181026,17400,18000,17400,17850,67032
20181025,17600,18000,17450,17700,110822
20181024,17100,17550,16950,17550,50803
20181023,17200,17350,16800,16850,37926
20181022,17100,17450,16850,17350,28245
20181019,17450,17450,16850,17100,85516
20181018,17300,17450,17100,17400,19288
20181017,17400,17600,17300,17450,18397
20181016,17300,17400,17000,17200,24955
20181015,17200,17250,16750,17250,46949
20181012,17700,17700,17050,17100,54237
20181011,17700,18200,17250,17500,72214
20181010,18100,18300,17900,18100,74404
20181008,18000,18100,17950,18100,23388
20181005,18000,18100,17500,18000,67114
20181004,18150,18200,17800,17850,36502
20181002,17650,18100,17650,17950,38572
20181001,17900,18100,17650,17700,29489
20180928,18200,18250,18000,18000,74935
20180927,17850,18250,17850,18000,89772
20180921,18150,18200,17900,18100,116434
20180920,17900,18100,17700,17800,54659
20180919,17700,18200,17700,17950,102767
20180918,17650,17900,17650,17900,67322
20180917,17650,17950,17600,17900,33954
20180914,17500,17850,17500,17850,33492
20180913,17500,17700,17400,17500,50534
20180912,17150,17450,17150,17400,53605
20180911,17250,17450,17250,17250,26171
20180910,17350,17550,17300,17300,56886
20180907,17550,17550,17350,17550,52142
20180906,17450,17700,17300,17400,56537
20180905,17550,17700,17450,17600,34384
20180904,17650,17700,17400,17550,49652
20180903,17950,18300,17600,17750,84613
20180831,18100,18300,18000,18200,42028
20180830,18200,18250,17850,18050,52450
20180829,18250,18550,18100,18200,41906
20180828,18100,18500,18050,18250,55567
20180827,18300,18400,18100,18150,23024
20180824,18150,18400,18050,18250,21908
20180823,18550,18700,18250,18250,41744
20180822,18600,18950,18100,18600,64899
20180821,18550,18800,18500,18600,25815
20180820,18500,18850,18400,18700,22972
20180817,18500,18850,18400,18450,23384
20180816,18650,18900,18400,18550,23106
20180814,18900,19000,18550,18650,22474
20180813,18700,18950,18550,18950,37375
20180810,18800,18950,18550,18850,25266
20180809,18550,18850,18450,18850,26409
20180808,18450,18650,18300,18550,37143
20180807,18500,18850,18350,18650,28622
20180806,18650,18900,18300,18800,66373
20180803,18150,18800,18100,18800,38581
20180802,18450,18600,18300,18300,16377
20180801,18500,18800,18500,18650,58688
20180731,18500,18600,18300,18500,33363
20180730,18450,18600,18350,18500,18532
20180727,18700,18700,18400,18600,23999
20180726,18600,18700,18350,18450,17041
20180725,18350,18550,18100,18400,69363
20180724,18350,18400,17950,18400,34381
20180723,18050,18300,17850,18200,42080
20180720,17700,18150,17700,18000,31940
20180719,17800,18000,17650,17650,20138
20180718,17950,18100,17800,17800,11726
20180717,18300,18300,18000,18100,10891
20180716,17800,18200,17800,18200,42260
20180713,17950,18100,17900,18000,18535
20180712,18100,18150,17950,17950,24095
20180711,17750,17950,17550,17950,56114
20180710,18150,18200,17750,17950,45439
20180709,17800,18150,17750,18150,43494
20180706,17400,18000,17400,18000,53333
20180705,17300,17700,17300,17500,24277
20180704,17150,17600,17150,17350,27197
20180703,17350,17700,17000,17400,75723
20180702,17400,17650,17150,17350,85628
20180629,17800,17800,17350,17500,52179
20180628,17800,17900,17600,17800,28248
20180627,17650,17850,17650,17750,31114
20180626,18000,18100,17650,17850,42145
20180625,17450,18050,17400,18000,49263
20180622,17400,17850,17400,17600,50455
20180621,17450,17750,17450,17500,55186
20180620,17700,17700,17400,17550,44169
20180619,17850,18050,17300,17650,109295
20180618,18150,18200,17900,18100,64992
20180615,17950,18350,17800,17950,52112
20180614,18200,18500,17950,17950,103027
20180612,18100,18350,18100,18350,41531
20180611,17750,18200,17750,18150,57403
20180608,17700,17850,17450,17750,105904
20180607,17600,17750,17400,17700,258920
