,open,high,low,close,volume
20181109,7150,7150,7040,7070,493
20181108,7140,7200,6980,7160,8272
20181107,7130,7250,7000,7140,10497
20181106,6950,7110,6950,7110,1893
20181105,7130,7130,6930,7000,1806
20181102,6710,7160,6710,7080,8338
20181101,6810,6960,6770,6890,3908
20181031,6840,6840,6630,6730,9476
20181030,6890,6890,6600,6700,21984
20181029,7000,7000,6730,6850,19972
20181026,6930,7070,6880,6900,12833
20181025,6900,7040,6880,6980,17411
20181024,7040,7130,7000,7080,11035
20181023,7150,7150,6970,7130,15033
20181022,7020,7160,7020,7150,4187
20181019,7030,7130,7000,7010,9786
20181018,7020,7140,7020,7110,6780
20181017,7220,7230,7090,7130,3650
20181016,7140,7140,7050,7110,3819
20181015,7110,7140,7010,7100,6854
20181012,6990,7150,6960,7140,16932
20181011,7260,7260,7000,7090,25386
20181010,7480,7480,7250,7300,25628
20181008,7350,7500,7350,7480,3901
20181005,7470,7470,7310,7430,5052
20181004,7500,7500,7310,7470,6291
20181002,7510,7550,7400,7470,8601
20181001,7530,7580,7470,7500,8834
20180928,7450,7500,7420,7490,16012
20180927,7440,7450,7370,7420,5697
20180921,7400,7500,7350,7410,17058
20180920,7570,7570,7390,7420,5288
20180919,7390,7990,7390,7430,8095
20180918,7360,7470,7360,7450,3089
20180917,7440,7500,7320,7440,5127
20180914,7440,7470,7340,7440,6791
20180913,7300,7390,7300,7390,10284
20180912,7300,7320,7240,7290,4462
20180911,7360,7360,7240,7310,11954
20180910,7310,7350,7280,7300,6336
20180907,7300,7410,7300,7320,7173
20180906,7310,7410,7290,7360,3551
20180905,7320,7400,7270,7370,9956
20180904,7450,7450,7270,7320,10284
20180903,7430,7500,7300,7310,6611
20180831,7420,7420,7340,7340,4743
20180830,7410,7510,7360,7400,1615
20180829,7340,7440,7340,7360,1845
20180828,7430,7450,7330,7390,4908
20180827,7350,7400,7270,7330,42853
20180824,7280,7350,7260,7350,2171
20180823,7300,7360,7280,7320,11998
20180822,7350,7410,7280,7300,5270
20180821,7350,7450,7260,7300,8232
20180820,7270,7300,7240,7300,2482
20180817,7350,7350,7240,7290,18315
20180816,7330,7370,7190,7250,9219
20180814,7340,7360,7240,7330,733
20180813,7400,7450,7200,7250,29444
20180810,7440,7440,7370,7440,1486
20180809,7490,7490,7350,7440,6716
20180808,7520,7530,7430,7490,5494
20180807,7500,7580,7420,7490,1993
20180806,7520,7520,7430,7500,5780
20180803,7460,7540,7350,7520,1593
20180802,7470,7600,7390,7440,3761
20180801,7410,7500,7400,7460,4000
20180731,7430,7430,7340,7420,1430
20180730,7450,7450,7360,7440,16002
20180727,7370,7600,7360,7460,4968
20180726,7430,7430,7350,7400,1089
20180725,7360,7430,7280,7420,3748
20180724,7310,7410,7300,7410,2246
20180723,7410,7480,7340,7390,3384
20180720,7500,7540,7420,7510,7765
20180719,7410,7520,7400,7500,31199
20180718,7340,7470,7320,7440,3565
20180717,7410,7420,7300,7410,7354
20180716,7300,7430,7260,7350,6616
20180713,7220,7440,7190,7290,10879
20180712,7190,7230,7140,7220,4645
20180711,7230,7240,7110,7230,1943
20180710,7200,7270,7180,7230,8512
20180709,7200,7250,7140,7250,6367
20180706,7200,7240,7090,7240,13409
20180705,7290,7290,7100,7200,18296
20180704,7130,7300,7130,7290,10960
20180703,7240,7280,7190,7240,4778
20180702,7300,7330,7170,7180,24359
20180629,7350,7400,7290,7340,4828
20180628,7330,7400,7300,7340,14464
20180627,7350,7450,7330,7370,9346
20180626,7450,7460,7360,7370,3796
20180625,7500,7580,7330,7430,8089
20180622,7520,7520,7380,7450,28376
20180621,7530,7550,7450,7520,6940
20180620,7510,7530,7480,7530,21843
20180619,7600,7610,7490,7510,24389
20180618,7680,7690,7570,7600,18342
20180615,7750,7750,7620,7690,12287
20180614,7830,7840,7660,7770,18465
20180612,7880,7890,7710,7860,14334
20180611,7890,7900,7800,7880,8200
20180608,7910,7910,7800,7890,4895
20180607,7810,7950,7800,7900,11025
20180605,7900,7900,7680,7800,27793
20180604,7860,7910,7800,7810,4263
20180601,7900,7900,7730,7860,20806
20180531,7820,7870,7790,7860,5143
20180530,7810,7890,7750,7820,29958
20180529,7910,7910,7770,7900,26895
20180528,7740,7920,7740,7880,21672
20180525,7820,7840,7640,7730,58503
20180524,7940,7940,7830,7880,13541
20180523,7990,7990,7600,7880,11028
20180521,8000,8000,7900,7990,15157
20180518,7980,8000,7870,8000,22726
20180517,7950,8030,7930,7980,22522
20180516,7970,8030,7910,7980,61458
20180515,8020,8060,7930,8020,26885
20180514,7910,8040,7900,8010,32454
20180511,7830,7900,7400,7880,51252
20180510,7800,7800,7690,7790,12827
20180509,7750,7800,7700,7800,20169
20180508,7830,7860,7750,7810,13245
20180504,7800,7840,7740,7830,12920
20180503,7760,7850,7740,7800,6932
20180502,7840,7860,7740,7770,18794
20180430,7810,7840,7770,7820,5601
20180427,7850,7880,7720,7840,13845
20180426,7770,7840,7760,7840,7553
20180425,7720,7770,7680,7750,10953
20180424,7720,7770,7670,7760,9467
20180423,7720,7760,7640,7700,4193
20180420,7700,7720,7650,7700,5939
20180419,7700,7710,7630,7680,4082
20180418,7660,7700,7580,7680,12026
20180417,7660,7670,7610,7630,4463
20180416,7620,7690,7600,7640,4153
20180413,7570,7650,7570,7620,1994
20180412,7610,7630,7550,7630,5501
20180411,7650,7650,7540,7600,10273
20180410,7660,7660,7530,7620,7120
20180409,7590,7650,7530,7640,6969
20180406,7610,7610,7530,7600,9473
20180405,7610,7620,7520,7610,14017
20180404,7650,7650,7520,7590,18660
20180403,7630,7630,7590,7630,1932
20180402,7660,7700,7550,7650,5621
20180330,7670,7670,7560,7660,2681
20180329,7600,7730,7540,7660,4469
20180328,7690,7740,7540,7590,4682
20180327,7640,7740,7610,7620,2927
20180326,7540,7600,7490,7600,13507
20180323,7670,7670,7470,7560,15426
20180322,7730,7740,7680,7690,6475
20180321,7660,7760,7660,7700,4118
20180320,7680,7740,7650,7740,5032
20180319,7720,7740,7680,7710,7886
20180316,7720,7720,7670,7720,4237
20180315,7790,7790,7500,7730,34780
20180314,7820,7820,7700,7810,13031
20180313,7820,7820,7740,7810,3677
20180312,7700,7840,7700,7820,13058
20180309,7730,7730,7650,7670,6860
20180308,7620,7720,7620,7650,4406
20180307,7690,7800,7560,7630,7367
20180306,7730,7730,7600,7630,11171
20180305,7690,7690,7580,7650,7847
20180302,7690,7690,7550,7690,23234
20180228,7740,7740,7620,7700,11057
20180227,7760,7760,7660,7700,10083
20180226,7760,7760,7710,7720,5381
20180223,7710,7770,7680,7720,4158
20180222,7650,7770,7650,7710,10928
20180221,7660,7740,7590,7730,18156
