,open,high,low,close,volume
20181109,8680,8680,8650,8650,2
20181108,8650,8650,8580,8580,3
20181107,8700,8700,8500,8500,8
20181106,8340,8340,8340,8340,1
20181105,8300,8300,8130,8250,6
20181102,8120,8200,8120,8190,228
20181101,8320,8320,8060,8090,764
20181031,8150,8330,8050,8180,1069
20181030,8000,8200,8000,8140,1124
20181029,8690,8690,8390,8390,31
20181026,8490,8500,7820,8390,2973
20181025,8310,8470,8290,8390,162
20181024,8600,8600,8410,8480,273
20181023,8500,8670,8420,8450,397
20181022,8590,8590,8440,8490,580
20181019,8440,8670,8440,8600,490
20181018,8200,8690,8200,8690,527
20181017,8890,8890,8710,8710,71
20181016,8910,8910,8860,8860,2
20181015,8540,8870,8540,8850,712
20181012,8710,8730,8360,8540,131
20181011,8520,8520,8400,8400,463
20181010,8600,8700,8550,8550,666
20181008,8750,8750,8710,8720,36
20181005,8800,8800,8750,8760,181
20181004,8880,8920,8870,8870,83
20181002,8790,8790,8690,8780,46
20181001,8800,8800,8730,8770,20
20180928,8720,8790,8720,8720,5
20180927,8800,8800,8700,8750,196
20180921,8940,8940,8670,8730,1894
20180920,8820,8900,8710,8730,1007
20180919,8850,8980,8710,8800,1121
20180918,8950,8980,8700,8850,259
20180917,8840,8980,8840,8980,8
20180914,8980,9000,8980,9000,3
20180913,8690,8990,8690,8960,100
20180912,8790,8950,8790,8950,19
20180911,9000,9000,8650,8970,51
20180910,8830,8890,8830,8860,26
20180907,8730,8810,8700,8800,60
20180906,8700,8770,8590,8700,134
20180905,8510,8830,8510,8700,579
20180904,8980,8980,8800,8920,235
20180903,8880,8910,8880,8890,165
20180831,8990,9000,8860,8890,296
20180830,8940,9060,8780,8870,129
20180829,9000,9090,9000,9090,52
20180828,9040,9100,8950,8950,211
20180827,9090,9100,9060,9070,6
20180824,9000,9090,8930,8930,15
20180823,9000,9120,8910,9030,631
20180822,9000,9140,9000,9100,9
20180821,9150,9150,8970,9100,55
20180820,9000,9000,8900,9000,34
20180817,9000,9090,9000,9000,4
20180816,9130,9130,8850,8900,757
20180814,9100,9140,8910,9090,1165
20180813,9140,9140,9140,9140,1
20180810,9080,9100,9080,9080,34
20180809,9150,9150,9000,9080,37
20180808,9180,9180,8840,9040,414
20180807,8970,8970,8880,8960,163
20180806,8950,9000,8880,8880,802
20180803,9100,9100,8600,8900,1349
20180802,9100,9100,8920,9010,62
20180801,9090,9100,8860,9010,526
20180731,8900,9100,8800,8970,557
20180730,8980,8980,8780,8900,25
20180727,8990,8990,8880,8880,5
20180726,8960,8960,8800,8900,254
20180725,9080,9080,8730,8960,34
20180724,9000,9000,8850,8930,338
20180723,8730,8900,8730,8840,1001
20180720,9000,9190,8890,8890,1214
20180719,8900,9480,8880,8880,4400
20180718,8930,8960,8610,8900,135
20180717,8950,8950,8500,8900,175
20180716,9010,9190,8950,8950,645
20180713,9190,9190,9190,9190,1
20180712,9150,9190,9100,9140,34
20180711,9190,9200,8850,9100,44
20180710,8570,8870,8570,8850,725
20180709,8490,8590,8460,8570,337
20180706,8580,8580,8420,8500,319
20180705,8730,8730,8410,8620,179
20180704,8750,8750,8500,8750,835
20180703,8830,8850,8750,8750,216
20180702,9020,9020,8710,8710,227
20180629,9070,9070,9020,9020,14
20180628,8900,9160,8810,9080,700
20180627,9040,9040,8770,8900,396
20180626,9040,9150,8910,8980,342
20180625,9180,9180,8920,9170,34
20180622,9190,9200,9030,9180,215
20180621,9410,9410,9020,9210,736
20180620,9270,9270,9020,9110,2814
20180619,9200,9290,8900,9290,371
20180618,9100,9400,8830,9000,183
20180615,8880,9000,8860,9000,395
20180614,8800,8950,8700,8880,811
20180612,8930,9040,8700,8700,381
20180611,9200,9200,8910,8960,549
20180608,9000,9250,8880,9000,729
20180607,8980,9070,8860,9000,275
20180605,9150,9150,8730,8990,922
20180604,9000,9220,8920,9000,97
20180601,9400,9400,8810,9030,373
20180531,9350,9350,9000,9140,1240
20180530,9210,9210,8840,9050,2406
20180529,9340,9440,9100,9200,1464
20180528,8960,9500,8960,9440,1946
20180525,8980,9170,8900,8950,4805
20180524,12400,12400,9200,9200,39740
20180523,9920,11750,9920,10600,45918
20180521,9510,9930,9510,9890,4591
20180518,9290,9490,9290,9480,2491
20180517,9080,9300,9080,9290,1335
20180516,9360,9360,9060,9190,180
20180515,9450,9450,9350,9390,2665
20180514,9000,9350,9000,9350,5489
20180511,8890,8950,8670,8930,1628
20180510,8990,9000,8700,8700,1102
