,open,high,low,close,volume
20181109,19000,19000,18600,19000,1748
20181108,18950,19000,18600,19000,1144
20181107,18950,19050,18450,18600,1651
20181106,18850,18950,18500,18850,1860
20181105,19000,19000,18550,18850,3024
20181102,18150,19000,18150,19000,3108
20181101,18150,18450,17950,18100,7404
20181031,17850,18450,17700,18450,2154
20181030,17650,18000,17350,17850,4994
20181029,18850,19100,17950,17950,8194
20181026,19250,19250,18550,18850,2510
20181025,19100,19300,18800,19250,7221
20181024,19700,19750,19450,19700,296
20181023,20000,20000,19450,19750,2580
20181022,19900,20250,19900,20000,910
20181019,20000,20300,19850,20250,362
20181018,20050,20450,20000,20300,478
20181017,19500,20800,19500,20300,5216
20181016,19300,19650,18850,19250,3899
20181015,19150,19500,19150,19300,1392
20181012,18300,19750,18300,19600,3886
20181011,18700,19350,18700,19000,15653
20181010,21000,21000,19600,19850,6872
20181008,21400,21600,20950,20950,3465
20181005,21950,21950,21400,21400,3438
20181004,22500,22500,21850,22000,12358
20181002,22450,22550,22350,22500,1272
20181001,22600,22600,22350,22550,772
20180928,22600,22700,22350,22550,1822
20180927,22650,22950,22550,22600,577
20180921,22500,22700,22400,22500,3216
20180920,22850,22850,22450,22500,3431
20180919,22700,22900,22650,22750,2615
20180918,23000,23100,22700,22800,6852
20180917,23300,23350,22950,23100,3676
20180914,23550,23750,23200,23450,2682
20180913,23500,23650,23350,23550,2916
20180912,23500,23700,23300,23350,626
20180911,23400,23550,23050,23500,4423
20180910,22900,23100,22750,23100,4241
20180907,22900,23050,22700,22900,2268
20180906,23000,23150,22900,23000,2282
20180905,23050,23350,22950,23100,2364
20180904,22900,23250,22850,23250,2467
20180903,22950,23200,22900,23150,1512
20180831,23200,23500,23000,23200,1024
20180830,22950,23650,22800,23350,6196
20180829,23150,23150,22750,22950,874
20180828,23300,23300,22950,23100,2046
20180827,23300,23350,22300,23300,3822
20180824,23400,23550,23350,23500,1048
20180823,23450,23600,23300,23400,681
20180822,23450,23450,23300,23450,2162
20180821,23550,23550,23150,23450,2329
20180820,23750,23750,23400,23550,2545
20180817,23900,24000,23500,23750,3051
20180816,23700,24100,23200,23900,2937
20180814,23800,23850,23450,23800,2774
20180813,23900,24000,23400,23850,4803
20180810,23950,23950,23550,23900,1874
20180809,23700,24000,23400,23800,2578
20180808,23900,23900,23000,23650,5214
20180807,23900,23900,23650,23800,1441
20180806,23850,23900,23600,23900,1280
20180803,23750,23750,23450,23700,1190
20180802,24050,24050,23400,23550,1861
20180801,23900,23900,23400,23800,2553
20180731,23650,23750,23350,23700,1959
20180730,23500,23650,23200,23650,3117
20180727,23850,23900,23350,23500,2733
20180726,23500,24000,23500,23750,2168
20180725,23800,24300,23300,23450,2398
20180724,23000,23900,22800,23600,6469
20180723,23700,24000,23000,23000,6180
20180720,24350,24750,23300,23700,8021
20180719,24850,24850,24400,24400,3861
20180718,24950,25150,24800,24850,7591
20180717,25150,25400,25100,25100,6060
20180716,25050,25350,25050,25050,6045
20180713,24500,25350,24500,25000,7146
20180712,25000,25000,24400,24850,1861
20180711,24200,25000,24050,24750,8894
20180710,23650,24300,23650,24200,4287
20180709,24200,24200,23500,23600,6955
20180706,23800,24250,23750,24200,11169
20180705,24100,24100,23000,23800,19368
20180704,23550,24250,23500,24150,2836
20180703,23700,24500,23500,24000,11474
20180702,25350,25350,23600,23700,32272
20180629,25000,25750,24600,25300,4656
20180628,25400,25950,24950,25050,8518
20180627,26200,27250,25000,25600,14010
20180626,26300,26850,26100,26200,14437
20180625,28000,28000,26100,26650,18093
20180622,28600,29000,27350,28000,21793
20180621,29800,30500,28350,28600,29117
20180620,27100,31200,27100,29800,116885
20180619,28100,28200,26550,27000,19734
20180618,27000,29650,26700,28100,66225
20180615,26450,27000,26450,26600,3529
20180614,27450,27450,25700,26250,18174
20180612,28700,28700,27150,27800,17128
20180611,27500,28750,27500,28600,8166
20180608,28200,28450,27450,27500,13621
20180607,29500,29800,27950,28100,36897
20180605,28500,28850,27600,28650,13487
