,open,high,low,close,volume
20181109,37900,38550,37350,37700,34897
20181108,37350,38600,37200,38250,70359
20181107,38400,39300,36600,37200,106509
20181106,38200,38600,37500,38400,31063
20181105,37250,39000,37200,38200,111204
20181102,36750,37750,36150,37200,63115
20181101,37950,37950,36550,37150,80606
20181031,35900,37600,34600,37450,168650
20181030,35500,36250,34550,35400,95854
20181029,38400,38450,35800,36500,166578
20181026,37950,39350,36600,38400,117707
20181025,37700,38200,36700,37950,91615
20181024,38300,38900,36950,38150,144117
20181023,38000,38600,36000,38000,124074
20181022,37500,38800,37200,38350,127547
20181019,33200,37900,32400,37500,305050
20181018,34000,34550,33300,34000,52045
20181017,34450,34500,33550,34300,54962
20181016,33400,34300,31600,34000,230548
20181015,31300,33300,31300,33200,150456
20181012,30300,31750,30300,31750,91780
20181011,32300,32800,30600,30950,256005
20181010,33400,33450,32200,33150,74859
20181008,32500,33800,32150,33500,99796
20181005,31150,32850,30850,32450,80428
20181004,31500,31750,30250,31750,74069
20181002,32100,32100,31100,31500,30326
20181001,32150,32700,31650,32250,28222
20180928,32750,32950,32100,32700,22927
20180927,31800,32700,31450,32650,65967
20180921,31150,32300,30800,31800,41621
20180920,31850,32450,30900,31200,105441
20180919,32600,32650,31400,32400,114516
20180918,32850,32900,31450,32450,126474
20180917,31950,32750,31750,32600,85503
20180914,32600,32900,31550,31550,59162
20180913,32200,32450,31750,32350,37589
20180912,31500,32650,31250,32200,137876
20180911,31700,31850,30700,31650,67591
20180910,31900,32000,31000,31700,115530
20180907,30400,31750,29800,31750,258360
20180906,29000,30800,28600,30300,138018
20180905,29000,29400,28550,28800,33952
20180904,29150,29800,28450,28650,63317
20180903,29650,30300,29200,29550,68835
20180831,30300,30300,29200,29650,87536
20180830,29600,30450,29500,30300,147930
20180829,29350,29700,28750,29600,62783
20180828,29400,29800,28800,29150,34414
20180827,28650,29750,28300,29400,85765
20180824,28000,28800,27300,28550,152733
20180823,29300,29500,27800,28250,155217
20180822,28300,30050,28300,29300,266084
20180821,27200,28500,26950,28450,140795
20180820,27800,28250,26700,27250,105216
20180817,25950,27800,25850,27800,226598
20180816,26000,26250,25200,25800,50332
20180814,25250,25800,24900,25600,24625
20180813,26000,26000,25100,25250,32666
20180810,25800,26200,25400,26000,19474
20180809,26050,26600,26000,26250,33202
20180808,26150,26150,25350,25950,63673
20180807,25800,26550,24900,26200,73296
20180806,26150,26550,25500,25800,89096
20180803,25500,26600,25400,26300,115006
20180802,23950,25750,23950,25550,190178
20180801,23050,24250,22900,24200,66885
20180731,22200,23200,22200,23150,35859
20180730,22200,22400,22000,22350,9899
20180727,22250,22350,21900,22150,24663
20180726,21900,22350,21700,22300,19764
20180725,21350,21950,21350,21800,22815
20180724,21500,21750,21300,21400,21245
20180723,22050,22050,21500,21650,22682
20180720,21800,22100,21750,22050,12422
20180719,22200,22450,21800,22000,16639
20180718,22100,22700,21950,22250,29718
20180717,21750,22300,21750,22100,10355
20180716,22050,22200,21850,22000,11484
20180713,21750,22550,21750,22250,20513
20180712,22200,22250,21650,21800,28246
20180711,22250,22500,22000,22250,11974
20180710,23000,23100,22250,22400,28132
20180709,22300,22850,21900,22700,34656
20180706,21550,22500,21550,22300,46250
20180705,21550,22350,21300,21950,83236
20180704,19950,21450,19950,21300,49513
20180703,20050,20550,19650,20200,80088
20180702,21250,21450,19900,20050,76557
20180629,21050,21400,21000,21300,31975
20180628,21350,21350,21000,21200,34761
20180627,21600,21850,21350,21400,24515
20180626,21400,21800,21400,21700,26114
20180625,21800,22400,21500,21700,38293
20180622,21650,22000,21200,21850,42128
20180621,22300,22500,21800,21850,41939
20180620,21750,22550,21750,22450,31480
20180619,22400,22800,21850,21850,66117
20180618,23300,23300,22100,22500,92361
20180615,24700,25250,23050,23050,335119
20180614,24600,24900,24400,24850,24354
20180612,24550,25250,24400,24700,59183
20180611,24350,24600,24250,24400,26550
20180608,24750,24800,24350,24350,18958
20180607,24750,24750,24400,24750,38195
20180605,25100,25100,24600,24750,25309
20180604,24500,25100,24500,25100,46425
20180601,24250,24500,24000,24450,23320
20180531,24350,24500,23900,24500,68707
20180530,24800,24800,23750,24100,65176
20180529,25400,25450,24600,24850,28311
20180528,25100,25850,25050,25200,46162
20180525,24800,25100,24550,24700,48502
20180524,25400,25650,24950,25200,20510
20180523,25800,26000,24950,25250,43708
20180521,26100,26250,25650,25900,43282
20180518,25750,26500,25500,26300,49937
20180517,26200,26400,25500,25650,39183
20180516,25950,26350,25400,26300,87641
20180515,26450,26700,25850,25950,57031
20180514,26200,26700,26000,26300,103636
20180511,24550,26350,24550,26100,89004
20180510,23750,24500,23300,24350,45454
20180509,23950,24050,23050,23900,60564
20180508,24550,24650,24050,24150,17948
