,open,high,low,close,volume
20181109,29450,29600,29150,29300,94848
20181108,29400,29650,29200,29500,323679
20181107,28700,29200,28400,28950,205850
20181106,28550,28650,28000,28550,98413
20181105,28200,28350,27800,28350,133456
20181102,28050,28650,27950,28450,249048
20181101,28200,28400,27650,27750,186248
20181031,27200,28100,26850,28100,216953
20181030,26550,27700,26300,27350,291638
20181029,27150,28150,26550,26550,275310
20181026,29000,29150,27200,27450,367097
20181025,28750,29150,28400,28950,217330
20181024,29150,29500,28900,29500,155643
20181023,29700,29700,28500,29000,223298
20181022,29000,29800,28700,29800,197886
20181019,29050,29300,28550,29250,299614
20181018,29800,30200,29250,29450,156857
20181017,29650,30400,29550,30100,204952
20181016,29100,29500,29000,29200,201796
20181015,29000,29600,28600,29150,254717
20181012,28300,29250,28300,29100,408289
20181011,30250,30500,28900,28900,590394
20181010,32050,32500,31150,31350,259063
20181008,32900,33250,32150,32400,227413
20181005,33000,33400,32600,33200,193588
20181004,33450,33650,32750,33400,294153
20181002,33100,33950,32950,33450,379051
20181001,32800,33100,32400,33000,186598
20180928,33000,33150,32450,32800,200272
20180927,31700,33300,31500,33250,537797
20180921,31600,31800,31200,31650,211618
20180920,31700,31850,30800,31350,247610
20180919,31900,32200,31300,31850,160730
20180918,31800,31950,31450,31950,150708
20180917,32250,32300,31750,31950,158799
20180914,31250,32500,31250,32200,385130
20180913,31250,31450,30950,30950,231262
20180912,31300,31400,30550,31400,237308
20180911,31700,31900,31150,31200,149433
20180910,31150,31700,31100,31700,154583
20180907,31600,31650,31000,31350,183590
20180906,31600,31700,31250,31400,146886
20180905,31600,31850,31400,31500,175496
20180904,31600,31800,31100,31600,149552
20180903,31850,31850,31300,31600,129386
20180831,31750,32100,31550,31850,172829
20180830,32050,32300,31700,31750,181819
20180829,31350,32350,31300,32100,296514
20180828,31200,31450,31100,31350,163047
20180827,30800,31300,30650,31200,207012
20180824,30550,30800,30300,30750,199093
20180823,31600,31600,30250,30500,623291
20180822,31900,31950,31450,31450,192440
20180821,32200,32300,31750,32000,153050
20180820,31650,32350,31300,32200,268809
20180817,31650,31650,31150,31400,211421
20180816,32200,32450,31000,31450,464174
20180814,32000,32850,31900,32800,148391
20180813,33600,33600,32000,32300,260190
20180810,32600,33550,32350,33450,235552
20180809,32800,33400,32650,32800,294946
20180808,32900,33450,32600,32950,194906
