,open,high,low,close,volume
20181109,14100,14150,13850,14050,26564
20181108,13800,14050,13750,14050,32322
20181107,13500,14100,13500,13700,54079
20181106,13500,13650,13500,13600,10320
20181105,13700,13750,13450,13600,36275
20181102,13450,13700,13350,13650,68082
20181101,13350,13500,13300,13350,38881
20181031,13100,13450,13100,13350,41678
20181030,12550,13150,12550,13100,66053
20181029,12950,13100,12600,12750,55088
20181026,13100,13200,12750,12900,105953
20181025,13050,13150,12950,13100,42599
20181024,13350,13400,13150,13250,80123
20181023,13700,13700,13150,13250,107670
20181022,13800,13800,13550,13600,40158
20181019,13950,13950,13550,13750,37127
20181018,13850,14050,13800,13900,23836
20181017,13800,14000,13750,14000,18977
20181016,13500,13750,13500,13750,16789
20181015,13800,13800,13400,13600,53662
20181012,13450,13850,13450,13600,76785
20181011,14000,14050,13500,13600,86655
20181010,14450,14500,14050,14200,73034
20181008,14650,14650,14400,14450,55086
20181005,14550,14650,14550,14650,19883
20181004,14800,14800,14550,14550,39352
20181002,14750,14950,14650,14750,54506
20181001,14900,14900,14600,14750,21497
20180928,14900,14900,14700,14800,10264
20180927,14600,14900,14550,14900,68549
20180921,14600,14650,14500,14600,57618
20180920,14600,14600,14500,14600,46773
20180919,14600,14650,14500,14550,95278
20180918,14700,14750,14550,14700,54711
20180917,14700,14750,14600,14700,15414
20180914,14550,14750,14550,14700,44676
20180913,14500,14600,14400,14550,38650
20180912,14600,14650,14400,14500,80223
20180911,14600,14650,14550,14600,44237
20180910,14550,14650,14550,14600,44550
20180907,14650,14650,14500,14550,72284
20180906,14600,14650,14450,14600,64674
20180905,14650,14650,14550,14600,37012
20180904,14600,14650,14500,14650,75429
20180903,14650,14700,14550,14650,41605
20180831,14650,14700,14600,14650,27427
20180830,14800,14800,14650,14700,75324
20180829,14750,14850,14650,14800,127998
20180828,14650,14800,14650,14700,55063
20180827,14700,14750,14550,14650,49666
20180824,14600,14700,14550,14650,21286
20180823,14850,14850,14550,14650,101756
20180822,14950,14950,14750,14850,95215
20180821,14950,15000,14800,14900,57641
20180820,14850,14950,14750,14950,29215
20180817,14800,14850,14750,14800,31657
20180816,14850,14900,14650,14750,78757
