,open,high,low,close,volume
20181109,5980,6090,5950,6070,109356
20181108,5980,6080,5930,5990,115250
20181107,6000,6140,5930,5960,89804
20181106,5810,6050,5810,6050,92375
20181105,5970,5990,5750,5850,146822
20181102,5880,5990,5870,5970,177588
20181101,5900,6030,5810,5880,199849
20181031,5780,5930,5740,5930,204021
20181030,5890,5990,5590,5730,315406
20181029,6210,6350,5890,5890,246150
20181026,6510,6600,6180,6280,342452
20181025,6590,6620,6400,6470,192673
20181024,6500,6740,6500,6690,238907
20181023,6530,6690,6360,6470,138250
20181022,6280,6740,6280,6500,233103
20181019,6160,6470,6110,6280,216899
20181018,6420,6470,6230,6250,152523
20181017,6420,6510,6420,6470,34980
20181016,6380,6440,6290,6360,64394
20181015,6340,6440,6230,6370,96407
20181012,6210,6330,6150,6290,173271
20181011,6500,6550,6210,6210,238547
20181010,6800,6840,6600,6680,67132
20181008,6830,6930,6780,6820,85395
20181005,6880,6880,6750,6800,54684
20181004,6880,6940,6800,6830,98561
20181002,6970,7000,6850,6860,59519
20181001,7030,7030,6890,6950,97853
20180928,6900,7040,6830,7020,279456
20180927,6620,6940,6540,6900,350928
20180921,6510,6660,6490,6630,176560
20180920,6660,6680,6500,6510,238587
20180919,6860,6860,6640,6660,70850
20180918,6790,6840,6700,6730,52896
20180917,6920,6920,6790,6790,40313
20180914,6740,6970,6700,6920,110991
20180913,6760,6770,6680,6720,56131
20180912,6780,6800,6660,6760,83104
20180911,6850,6850,6720,6760,75985
20180910,6840,6880,6750,6820,80128
20180907,6750,6860,6720,6840,63994
20180906,6800,6800,6720,6750,68011
20180905,6810,6850,6740,6770,88882
20180904,6810,6890,6810,6860,50527
20180903,7000,7010,6770,6840,151449
20180831,6950,7110,6900,6970,274557
20180830,6840,6990,6840,6950,198276
20180829,6830,6900,6500,6840,79616
20180828,6750,6850,6660,6830,134090
20180827,6710,6810,6710,6750,86426
20180824,6610,6750,6580,6710,69773
20180823,6680,6730,6510,6560,150969
20180822,6750,6780,6630,6680,81521
20180821,6800,6840,6730,6800,99304
20180820,6890,6900,6770,6810,42676
20180817,6900,6900,6760,6800,48897
20180816,6820,6900,6680,6730,135672
20180814,6950,6980,6860,6900,72930
20180813,7100,7150,6880,6920,106287
20180810,7260,7260,7100,7150,76792
20180809,7160,7270,7130,7180,106516
20180808,7260,7310,7100,7190,193371
20180807,7270,7380,7250,7290,380401
20180806,7030,7340,6990,7260,474688
20180803,6870,7030,6870,7020,131401
20180802,7020,7040,6850,6880,209685
20180801,6730,7010,6670,6970,291181
20180731,6750,6750,6600,6640,85569
20180730,6550,6780,6530,6730,132947
20180727,6490,6600,6460,6550,86079
20180726,6650,6650,6440,6480,134279
20180725,6640,6720,6540,6620,133315
20180724,6590,6650,6480,6620,129186
20180723,6490,6580,6410,6560,229017
20180720,6380,6510,6250,6510,265336
20180719,6430,6430,6260,6350,258105
20180718,6420,6490,6350,6360,133458
20180717,6450,6490,6440,6440,72716
20180716,6520,6530,6460,6460,82651
20180713,6540,6550,6460,6510,162457
20180712,6510,6550,6470,6530,51647
20180711,6500,6530,6450,6480,186719
20180710,6590,6600,6430,6500,357264
20180709,6660,6670,6510,6550,72557
20180706,6520,6640,6480,6600,91280
20180705,6570,6600,6460,6540,84951
20180704,6500,6640,6410,6620,143453
20180703,6410,6550,6340,6510,231029
20180702,6550,6600,6380,6400,147749
20180629,6560,6630,6470,6530,150490
20180628,6620,6680,6540,6560,157357
20180627,6670,6720,6630,6640,168775
20180626,6770,6800,6640,6680,298675
20180625,6930,6980,6810,6820,211678
20180622,7030,7030,6880,6980,198016
20180621,7250,7260,7030,7030,251372
20180620,7220,7310,7030,7250,464327
20180619,6920,7240,6920,7190,609822
20180618,6890,6990,6870,6920,330480
20180615,6950,7020,6870,6890,134103
20180614,7060,7060,6880,6930,232455
20180612,7020,7040,6920,7020,166578
20180611,6800,7020,6790,6980,266100
20180608,6820,6820,6750,6800,244942
20180607,6850,6890,6750,6820,335654
20180605,6880,6910,6760,6830,383130
20180604,7010,7080,6850,6880,239169
20180601,7100,7100,6880,6990,271918
20180531,7030,7100,6950,7100,176039
20180530,7000,7090,6860,7030,324881
20180529,6940,7030,6900,7010,130666
20180528,6980,7020,6890,6940,277653
20180525,7010,7020,6940,6960,233403
20180524,7040,7070,6990,7030,156191
20180523,7100,7110,7030,7040,248094
20180521,7130,7150,7070,7110,149894
20180518,7060,7140,7040,7130,162131
20180517,7010,7120,7000,7040,158037
20180516,7070,7100,6990,7040,226576
20180515,7110,7140,7070,7070,283583
20180514,7090,7160,7040,7080,298799
20180511,7020,7130,6990,7120,387854
20180510,7130,7130,6990,7050,335064
20180509,7010,7100,6960,7100,364155
20180508,7250,7350,6970,6980,577241
20180504,7350,7350,7200,7260,294662
20180503,7410,7410,7280,7360,399309
20180502,7510,7510,7310,7380,412946
20180430,7480,7570,7420,7510,541766
20180427,7650,7650,7450,7500,144969
20180426,7590,7700,7530,7600,151708
20180425,7590,7630,7510,7560,162329
20180424,7490,7650,7490,7600,257653
20180423,7420,7560,7400,7450,318454
20180420,7430,7490,7410,7420,343974
20180419,7560,7570,7420,7490,173265
20180418,7520,7590,7480,7550,176605
20180417,7510,7510,7430,7500,133361
20180416,7320,7480,7320,7480,159384
20180413,7410,7440,7300,7340,325121
20180412,7450,7490,7300,7410,333757
20180411,7500,7540,7400,7450,221518
20180410,7630,7630,7410,7430,335157
20180409,7670,7670,7550,7590,194830
20180406,7680,7760,7540,7730,212343
20180405,7820,7820,7630,7640,291462
20180404,7900,7980,7600,7800,408239
20180403,8260,8290,7850,7900,837557
20180402,8520,8540,8270,8350,260638
20180330,8420,8600,8400,8600,215321
20180329,8400,8480,8340,8400,153439
20180328,8380,8440,8300,8400,158106
20180327,8440,8500,8360,8430,123036
20180326,8240,8500,8200,8410,174199
20180323,8420,8430,8280,8290,228086
20180322,8470,8630,8460,8530,182815
20180321,8500,8550,8430,8450,120307
20180320,8460,8580,8380,8490,251558
20180319,8500,8630,8470,8490,256353
20180316,8680,8680,8480,8480,236991
20180315,8620,8690,8410,8650,302937
20180314,8570,8610,8490,8590,147724
20180313,8640,8650,8520,8600,164534
20180312,8480,8630,8420,8630,429186
20180309,8430,8460,8300,8390,221102
20180308,8400,8440,8300,8360,161365
20180307,8440,8570,8320,8390,166992
20180306,8540,8550,8370,8400,184479
20180305,8700,8800,8400,8420,360545
20180302,8620,8720,8560,8680,332893
20180228,8550,8800,8490,8700,629805
20180227,8450,8560,8370,8520,481957
20180226,8560,8580,8320,8440,214166
20180223,8350,8500,8320,8500,362562
20180222,8400,8410,8230,8280,149334
20180221,8450,8470,8300,8460,133881
20180220,8440,8520,8320,8400,184176
20180219,8290,8480,8230,8480,228776
20180214,8090,8300,8070,8170,162072
20180213,8240,8340,8090,8120,145830
20180212,8220,8310,8120,8190,219094
20180209,8190,8350,8100,8180,230787
20180208,8360,8480,8320,8440,187504
20180207,8650,8720,8350,8350,239781
20180206,8600,8790,8460,8610,443591
20180205,8780,8890,8620,8850,311302
20180202,9130,9240,8780,8940,327907
20180201,9050,9250,8980,9130,324967
20180131,9100,9230,8920,9050,360324
20180130,9200,9260,9020,9180,428353
20180129,8880,9350,8820,9200,805844
20180126,8790,8820,8650,8800,328925
20180125,8940,8950,8740,8790,256830
20180124,8830,9010,8830,8890,258159
20180123,8700,8850,8600,8800,193421
20180122,8720,8750,8450,8720,374678
20180119,8770,8850,8650,8850,191113
20180118,8790,8860,8670,8710,206874
20180117,8920,8920,8710,8800,168075
20180116,9100,9120,8790,8960,356387
20180115,8500,9020,8500,9020,955017
20180112,8500,8630,8310,8560,385730
20180111,8200,8600,8180,8460,865718
20180110,7990,8160,7960,8150,312959
20180109,7940,8010,7930,8010,184127
20180108,8010,8130,7910,7920,304150
20180105,7920,8080,7880,8080,223753
20180104,8040,8040,7880,7930,419518
20180103,8040,8060,7970,8050,267473
20180102,8200,8200,8030,8050,268535
20171228,8100,8140,8060,8140,161736
20171227,8250,8250,8060,8100,253213
20171226,8280,8280,8130,8170,220017
20171222,8170,8290,8090,8260,233043
20171221,8200,8210,8060,8170,245012
20171220,8190,8220,8100,8200,183334
20171219,8180,8250,8080,8170,254613
20171218,8430,8430,8100,8180,349757
20171215,8510,8560,8320,8360,169570
20171214,8630,8750,8470,8510,129452
20171213,8420,8660,8380,8630,276759
20171212,8250,8430,8180,8380,367471
20171211,8250,8280,8090,8220,367880
20171208,8490,8490,8230,8340,346169
20171207,8740,8740,8400,8500,488129
20171206,8750,8770,8620,8740,360430
20171205,8750,8840,8650,8740,363599
20171204,8450,8770,8430,8700,316605
20171201,8760,8770,8320,8450,524336
20171130,8630,8810,8490,8690,424548
20171129,8560,8750,8400,8600,435889
20171128,9060,9070,8600,8620,394178
20171127,9010,9100,8750,8940,539352
