,open,high,low,close,volume
20181109,20450,21350,20150,21100,14847
20181108,20500,20600,20050,20450,17061
20181107,19400,22500,19100,20550,96361
20181106,18900,19400,18600,18950,3212
20181105,19300,19300,18600,18950,2371
20181102,18350,18900,18350,18900,7510
20181101,18450,18800,18300,18450,7475
20181031,18650,19100,18100,18400,7529
20181030,17100,18200,17100,18200,14715
20181029,18300,18700,17850,18150,14560
20181026,18050,19300,17850,18200,4489
20181025,18900,18900,18000,18350,2004
20181024,19050,19200,18450,18500,6716
20181023,19400,19600,18600,19050,5626
20181022,19800,19800,19300,19650,1443
20181019,19650,19800,19300,19650,1368
20181018,20200,20300,19450,19800,2592
20181017,19950,20350,19800,20200,3457
20181016,20100,20100,19700,19950,2296
20181015,20350,20350,19550,19600,2748
20181012,18850,19800,18850,19750,4528
20181011,20000,20300,19400,19600,12709
20181010,21250,21850,20200,20700,18415
20181008,22350,22700,21850,21850,9868
20181005,22350,22850,22000,22500,10483
20181004,23650,23800,22850,22850,4579
20181002,23750,23900,23200,23450,6470
20181001,23900,24650,23500,23750,18460
20180928,23950,24050,23400,23750,10909
20180927,23000,24650,22900,24300,34532
20180921,23100,23200,22500,22950,5779
20180920,23500,23900,22850,23100,7713
20180919,24000,24200,22950,23100,17622
20180918,23500,24500,22500,24000,34355
20180917,22400,23900,22150,23400,15308
20180914,21700,23000,21700,22300,18309
20180913,21700,21950,21650,21900,5536
20180912,22300,22300,21650,21800,10371
20180911,22200,22400,21900,22050,7307
20180910,22100,22150,21700,22150,5705
20180907,21950,22100,21650,22100,6375
20180906,21900,22150,21650,21950,4811
20180905,22200,22250,21700,21900,11608
20180904,21800,21900,21500,21800,3843
20180903,21900,21900,21550,21800,4380
20180831,21850,21900,21500,21900,5573
20180830,21950,21950,21700,21750,2598
20180829,21800,22000,21600,21900,3631
20180828,21800,22000,21350,21800,8407
20180827,21850,22150,21650,21800,11871
20180824,22100,22450,21800,22100,6850
20180823,22850,22850,21900,22100,18469
20180822,22900,22950,22600,22800,6245
20180821,22800,22850,22400,22800,5502
20180820,22700,23050,22300,22750,6877
