,open,high,low,close,volume
20181109,51100,51900,49850,50900,605155
20181108,49400,52300,49000,51000,1462126
20181107,49750,51900,46050,47850,2414040
20181106,49400,50400,48500,49450,841751
20181105,49500,49500,48250,48800,922301
20181102,45800,49500,45600,49400,1453516
20181101,46250,47500,44850,44950,1195335
20181031,45450,46100,44400,45750,922321
20181030,43000,45800,43000,45450,1719152
20181029,46650,47700,44150,44200,1527749
20181026,49500,49700,45500,46900,1842714
20181025,48000,50100,48000,49150,1038728
20181024,51700,52100,49700,49850,1051387
20181023,52500,53100,50900,51300,1006645
20181022,54100,54500,51800,52300,1314999
20181019,54600,55500,54000,55300,647469
20181018,56100,56700,54800,55100,705743
20181017,55800,57000,55000,55800,936273
20181016,55000,55400,53900,54600,835216
20181015,55800,57600,54000,54500,1136152
20181012,54000,56100,53900,55700,1299310
20181011,54400,56800,53600,53900,1918123
20181010,63100,63500,57100,57700,2570789
20181008,66000,66500,64000,64500,1021073
20181005,68000,68400,65700,66000,1233457
20181004,69500,69800,68200,68800,1440601
20181002,67400,68800,66500,67800,799669
20181001,67600,68700,67200,67800,743899
20180928,67100,67600,66100,67500,982890
20180927,68900,69000,66800,67400,1149101
20180921,65300,67500,64900,67500,1811770
20180920,66800,67200,64300,64800,1479184
20180919,67500,67800,64700,65100,2229152
20180918,68500,69400,66500,67000,1312349
20180917,69900,70000,67700,68700,1107119
20180914,68500,69100,67400,68600,941366
20180913,68700,69800,67800,68500,1085877
20180912,69000,69000,66300,68900,1488062
20180911,70300,70400,68200,68800,1922486
20180910,65100,68800,64700,68700,2340749
20180907,61500,63900,61200,63700,1495669
20180906,62300,63600,60500,60900,1454277
20180905,61800,62800,60900,61200,825259
20180904,60600,61400,60300,61200,448876
20180903,61200,61500,60300,60500,548339
20180831,59900,60200,59200,60000,629125
20180830,59700,61100,59600,60400,786620
20180829,60300,60500,59300,59400,946128
20180828,61000,61900,60000,60700,1057465
20180827,60500,61800,59900,60500,1898985
20180824,63900,64400,63100,63900,822120
20180823,61300,64200,60600,63500,1662468
20180822,61500,61600,60000,61100,800030
20180821,61000,62000,60700,61800,908307
20180820,60700,61200,60300,60600,750800
20180817,60200,60300,59300,60300,648076
20180816,61700,62000,59300,59700,1316686
20180814,58000,60300,57300,60000,995008
20180813,61800,62100,57500,57700,1891097
20180810,61000,61900,59900,60800,2117805
20180809,58800,60200,58600,58900,722746
20180808,58600,60000,57700,59100,963809
20180807,57400,58600,56900,58200,601311
20180806,59000,59000,57000,57100,917534
20180803,59200,60100,59000,59600,1131032
20180802,58800,60300,57600,58500,1171499
20180801,58800,59500,58100,58600,799795
20180731,59400,59800,57200,58500,1302091
20180730,56300,59100,56200,58800,1620963
20180727,56800,57600,54600,56000,1615259
20180726,55700,58700,55100,56400,2165597
20180725,54600,56200,53500,55200,2160944
20180724,50800,55100,50800,53900,2951316
20180723,51700,52200,49900,50000,1172687
20180720,51800,52400,51300,52000,1028983
20180719,52000,53100,50800,51400,1349161
20180718,54100,54100,51600,51700,1237558
20180717,54600,54800,53700,53800,558520
20180716,55500,55700,54400,54400,708423
20180713,54000,55200,53700,54700,1044399
20180712,54600,54900,53100,53300,1374240
20180711,52200,54900,51700,54300,1898801
20180710,52100,53100,51600,52100,1447893
20180709,53000,53700,50900,51100,2661263
20180706,53500,56000,52600,55600,1799602
20180705,55300,55700,52000,53100,2080903
