,open,high,low,close,volume
20181109,153500,154500,147500,151500,1689
20181108,152500,159500,152500,157000,2047
20181107,158500,165000,149500,151000,4259
20181106,165500,166000,153000,158000,2914
20181105,162500,164000,155000,161000,3467
20181102,150500,165500,150000,162500,4107
20181101,149500,160500,147500,149000,5236
20181031,151000,158500,145500,148000,6025
20181030,126000,171000,126000,156000,13177
20181029,152000,152000,137500,137500,2269
20181026,156000,164000,146500,147500,3467
20181025,150000,159500,148000,159500,2746
20181024,164500,169500,151500,158500,2709
20181023,169500,172000,163000,167000,2820
20181022,175000,179000,168000,169500,2613
20181019,179500,182000,173000,181000,1968
20181018,179000,184000,175000,179500,1420
20181017,187000,187000,175000,180000,3105
20181016,174500,179500,171500,178000,1316
20181015,176000,189500,166000,177000,4802
20181012,176000,183500,168000,176000,3429
20181011,170500,178000,162500,168500,4385
20181010,200000,201000,182000,183000,5802
20181008,213000,213000,202500,204000,2090
20181005,214000,219500,209000,211000,1786
20181004,223000,228000,216000,216500,2162
20181002,218000,224000,210000,218000,1924
20181001,221500,225000,218500,221500,1402
20180928,224500,228000,216000,221000,2636
20180927,238500,238500,226000,226000,2722
20180921,226500,234000,223000,232000,3261
20180920,238000,245000,224000,225500,4662
20180919,241500,244000,220500,225500,9197
20180918,244000,249000,238000,239500,6722
20180917,257000,263000,245500,248500,9436
20180914,236500,250000,228500,244500,8802
20180913,237500,238000,231000,234000,2558
20180912,240500,244500,230000,237500,3799
20180911,249500,251500,238000,239500,7664
20180910,240000,246500,234000,243500,9670
20180907,224000,239000,221000,233500,10171
20180906,228000,244000,219500,224000,13398
20180905,224500,225000,219000,221000,4106
20180904,218000,224000,214500,220000,3578
20180903,220000,221000,213000,218000,3286
20180831,206500,213000,204000,210500,2277
20180830,205500,219000,205500,209500,6688
20180829,205500,208000,204000,205000,5559
20180828,216500,220000,203500,209000,8919
20180827,220000,228000,207500,216000,10943
20180824,244000,247000,238500,243500,4245
20180823,241500,247000,237000,241000,5633
20180822,245500,245500,236000,241500,3879
20180821,242000,246500,238000,244000,4191
20180820,247000,248000,239000,240500,4595
20180817,247000,249000,241000,246000,8237
20180816,259000,262500,244000,246500,11533
20180814,230000,253000,221500,246000,20529
20180813,264000,265000,225000,229000,20831
20180810,254500,275000,240500,254500,47978
20180809,223000,227000,215500,220000,8255
20180808,230500,238500,222000,227000,10947
20180807,237000,237000,219000,227000,7441
20180806,237000,239000,226000,231000,10874
20180803,252000,254000,247000,247500,10839
20180802,244000,252500,238000,249000,14432
20180801,245000,253000,236000,248500,15561
20180731,246500,271000,229000,243000,33100
20180730,233000,239000,227500,235000,17776
20180727,223000,241000,220000,229000,24587
20180726,201000,241000,195000,220000,54599
20180725,210000,230500,193500,199500,57098
20180724,162500,204000,159500,204000,57631
20180723,171500,171500,157000,157000,2982
20180720,178000,179500,170000,171500,5464
20180719,170000,182500,165500,169500,7391
20180718,182000,182500,173000,176500,7174
20180717,195500,195500,184000,187000,6251
20180716,195500,197500,183500,190000,10086
20180713,184000,199000,177000,186500,21602
20180712,172500,203000,170000,175500,40451
20180711,153000,193000,146000,179000,55702
20180710,156000,159000,150000,151000,10365
20180709,160000,162000,149000,149500,12250
20180706,175000,185000,171000,177000,9846
20180705,183000,185500,170500,173500,6051
20180704,181000,188000,179000,183000,5729
20180703,184500,190000,175500,186000,14529
20180702,198500,200000,175500,179000,18434
20180629,170000,211500,169500,198500,82648
20180628,170500,174000,159000,163000,12045
20180627,197500,201000,164500,173500,25791
20180626,200000,212500,195500,195500,8580
20180625,214000,216000,202000,209500,6499
20180622,224000,228500,202500,214000,9879
20180621,234500,235500,222000,223000,7043
20180620,225500,236500,223000,233000,9650
