,open,high,low,close,volume
20181109,9380,9450,9270,9300,23119
20181108,9490,9490,9260,9410,26134
20181107,9350,9600,9120,9350,37680
20181106,9060,9350,8930,9350,41463
20181105,9000,9050,8870,9050,45557
20181102,8740,9070,8740,9060,55595
20181101,8500,8800,8490,8610,74299
20181031,8540,8540,8260,8510,29612
20181030,8300,8490,8220,8450,60466
20181029,8670,8700,8380,8380,42771
20181026,8680,8840,8510,8670,42343
20181025,8500,8860,8480,8730,81417
20181024,8700,8800,8650,8740,60666
20181023,8800,8880,8660,8700,26690
20181022,8670,8930,8640,8810,23789
20181019,8800,8800,8620,8740,173722
20181018,8950,8960,8800,8820,49276
20181017,8950,9040,8900,8950,35573
20181016,8880,8960,8860,8860,39697
20181015,8930,9090,8870,8880,71209
20181012,8800,9030,8800,8980,88089
20181011,9200,9220,8920,8920,118412
20181010,9480,9500,9300,9320,35806
20181008,9520,9560,9440,9450,10611
20181005,9580,9600,9430,9520,28817
20181004,9740,9740,9500,9570,32916
20181002,9770,9770,9640,9650,14820
20181001,9850,9850,9600,9770,21268
20180928,9850,9850,9710,9750,11868
20180927,9600,9840,9580,9830,26754
20180921,9570,9680,9550,9600,22158
20180920,9680,9680,9490,9560,32189
20180919,9670,9740,9560,9660,19348
20180918,9730,9730,9600,9690,8310
20180917,9740,9740,9660,9720,20927
20180914,9670,9750,9600,9740,31047
20180913,9610,9650,9580,9580,10249
20180912,9610,9680,9540,9630,16454
20180911,9650,9690,9600,9640,9089
20180910,9670,9880,9560,9650,29946
20180907,9600,9780,9580,9650,17594
20180906,9720,9780,9670,9670,5757
20180905,9920,9920,9690,9720,12196
20180904,9870,9900,9800,9860,10121
20180903,9880,9930,9780,9870,15358
20180831,9740,9910,9720,9910,13668
20180830,9860,9860,9710,9730,15004
20180829,9800,9800,9710,9770,15877
20180828,9740,9880,9740,9770,20021
20180827,9740,9800,9600,9700,22412
20180824,9700,9710,9600,9690,8414
20180823,9700,9720,9630,9720,18966
20180822,9770,9770,9660,9680,10578
20180821,9560,9770,9500,9730,29001
20180820,9590,9610,9540,9560,7620
20180817,9550,9630,9530,9580,13534
20180816,9430,9550,9390,9530,21346
20180814,9510,9560,9400,9510,16621
20180813,9620,9620,9430,9510,40368
20180810,9700,9730,9500,9620,12063
20180809,9730,9730,9650,9680,22517
20180808,9760,9760,9700,9730,22606
20180807,9780,9850,9700,9750,8002
20180806,9710,9820,9620,9770,8668
20180803,9610,9720,9550,9700,51285
20180802,9800,9800,9550,9580,14293
20180801,9690,9820,9650,9800,29699
