,open,high,low,close,volume
20181109,41500,43100,41200,42850,273335
20181108,41750,42850,41500,41600,330954
20181107,41450,41850,41100,41350,209337
20181106,40350,41750,40300,41600,288116
20181105,39750,40150,39450,40100,162539
20181102,39700,40450,39350,39700,297188
20181101,41400,41550,39550,39850,420757
20181031,39800,41850,39100,41800,295605
20181030,41950,42000,39400,39700,367650
20181029,42000,42800,41400,41550,297317
20181026,41700,42750,41000,41300,338433
20181025,42350,42350,41150,42050,413912
20181024,42200,43100,41600,42350,301986
20181023,41850,42750,41200,41450,233164
20181022,40650,42700,40500,42500,282582
20181019,40800,41450,39750,41100,368208
20181018,40900,41850,39750,41100,400789
20181017,40450,40950,40100,40650,199236
20181016,40700,41100,39550,40100,268079
20181015,38900,41000,38850,40650,429741
20181012,39850,40000,38200,39000,516960
20181011,40300,41200,39750,39800,671843
20181010,40950,41600,40900,41150,451153
20181008,42500,42800,41600,41600,176975
20181005,41550,42800,41500,42200,170651
20181004,42450,42850,41550,41950,363370
20181002,41200,42100,40950,41950,245645
20181001,41900,42100,41450,42000,248960
20180928,40900,42150,40900,41950,716973
20180927,38500,41050,38300,40850,1044083
20180921,37150,38100,37150,37850,627255
20180920,36400,36900,36300,36750,228716
20180919,36150,36500,35750,36400,280136
20180918,36350,36950,35950,36150,573934
20180917,36550,37050,36500,36750,214576
20180914,35700,37050,35700,36850,410242
20180913,36200,36350,35450,35550,318902
20180912,36500,36600,35900,36050,128462
20180911,36100,36800,36100,36500,128488
20180910,36750,37500,36250,36400,174572
20180907,37350,37600,36700,36950,189750
20180906,36900,37800,36700,37050,158628
20180905,36500,37250,36450,36950,161788
20180904,36750,36900,36350,36850,110839
20180903,36800,36900,36250,36800,151707
20180831,36950,37450,36650,37200,240664
20180830,36600,37200,36400,36950,172759
20180829,36650,36950,36200,36600,195498
20180828,36250,37200,36000,36950,186781
20180827,37700,37800,36200,36250,348177
20180824,37550,37750,37150,37650,180315
20180823,37200,37550,36650,37550,214344
20180822,37700,37750,37050,37200,246516
20180821,38100,38300,37450,38000,483081
20180820,38900,39700,38200,38600,227764
20180817,38200,38800,37750,38450,228277
20180816,37200,38750,36800,38600,321193
20180814,37650,38250,36800,37700,318741
20180813,36900,38000,36900,37200,221098
20180810,36900,37600,36800,36950,207442
20180809,37050,37250,36600,36700,337194
20180808,38000,38500,37150,37450,281324
20180807,38050,39000,37350,38550,353139
20180806,36650,39750,35900,38350,604898
20180803,36700,37150,35900,36950,202077
20180802,37500,38250,36750,37100,202370
20180801,36950,38350,36750,38000,298602
20180731,36600,37450,36300,36650,368421
20180730,35400,36800,35300,36600,203832
20180727,35250,35600,34750,35450,116819
20180726,35500,35950,34550,34950,197200
20180725,36000,36700,35400,35500,229522
20180724,36000,36350,35200,36200,264590
20180723,34100,36300,34050,35950,444472
20180720,32950,34100,32950,34050,244029
20180719,33600,33700,32850,33100,320934
20180718,33850,34300,33750,33800,226730
20180717,34250,34300,33700,34000,206954
20180716,34350,34450,33800,34250,151485
20180713,34350,35250,34250,34300,230135
20180712,34750,35100,34200,34200,303119
20180711,35000,35150,34200,34500,299451
20180710,35850,36550,35200,35550,239296
20180709,36200,37150,36200,36550,211727
20180706,35150,37400,35150,36800,298388
20180705,35350,36100,35300,35500,122360
20180704,34050,36000,33750,35750,332820
20180703,33200,34400,32350,34300,309607
20180702,33500,33850,33100,33200,147064
20180629,34250,34350,33500,33700,170584
20180628,34650,34700,33500,34000,297015
20180627,34500,35000,34100,34600,240532
20180626,35300,35900,34500,34800,308854
20180625,36250,36600,35500,35650,128645
20180622,35100,36750,35100,36400,203897
20180621,36550,37100,35600,35600,334758
20180620,38000,38500,37000,37400,261658
20180619,36100,38550,36100,37950,481117
20180618,35150,37150,35150,36850,316118
20180615,35600,35750,34750,34800,285980
20180614,35800,36150,35450,35900,253362
20180612,35350,36250,35350,36000,103967
20180611,35350,35900,35250,35550,97376
20180608,35750,36000,35350,35350,111639
20180607,35700,36400,35350,35550,184008
20180605,35300,36300,35050,35900,216179
20180604,34750,35550,34750,35300,170223
20180601,34050,34700,34000,34550,116785
20180531,33600,34450,33300,34050,326095
20180530,34950,35000,33500,33550,300242
20180529,34950,35300,34600,35000,120450
20180528,35450,35700,34700,35000,135142
20180525,35850,35900,35200,35400,131505
20180524,35400,35650,35100,35600,186443
20180523,36350,36550,35200,35250,504737
20180521,36950,37350,36550,37000,136250
20180518,36850,37200,36650,37000,99135
20180517,36900,37250,36650,36900,127257
20180516,36600,37250,36550,37250,152537
20180515,37550,37650,36700,36700,225242
20180514,38000,38350,37800,38100,97708
20180511,37100,38000,36900,38000,122454
20180510,37550,38000,36700,37000,234603
20180509,37600,37900,37250,37500,108244
20180508,37500,39000,37400,37600,213945
20180504,37100,37300,36950,36950,126633
20180503,37200,37600,37000,37550,141921
20180502,38250,38350,37000,37200,210394
20180430,37950,38300,37600,38250,128970
20180427,38050,38550,37250,37300,201035
20180426,38350,38750,38150,38350,235738
20180425,37850,38350,37300,38300,332454
20180424,38350,38450,37450,37550,301202
20180423,36450,37650,36450,37600,334654
20180420,35950,36550,35900,36450,126548
20180419,36150,36500,35950,35950,110334
20180418,36000,36850,36000,36400,160066
20180417,35500,36300,35500,36050,118516
20180416,35950,36000,35450,35550,93126
20180413,35650,36050,35300,35750,181420
20180412,35750,36450,35400,35800,229192
20180411,36350,36700,35300,35700,387288
20180410,37400,37400,36350,36700,167726
20180409,36550,37550,36500,37250,131272
20180406,36600,37550,36150,36900,213659
20180405,37350,37750,36400,36500,226375
20180404,37850,38000,37250,37250,223913
20180403,38200,38450,37700,38000,186691
20180402,38900,39350,38200,38500,196047
20180330,39800,39850,38700,38900,141851
20180329,39100,39700,38750,39250,111499
20180328,38900,39300,38700,39100,145294
20180327,39000,39650,39000,39200,128181
20180326,39000,39700,38500,38900,229079
20180323,40350,40350,38600,38600,371211
20180322,38850,40850,38700,40800,422987
20180321,38450,38950,38350,38500,136986
20180320,39050,39200,38550,38850,131481
20180319,39050,39200,38850,39150,163326
20180316,38750,39300,38550,39050,181417
20180315,39150,39150,38250,38750,157004
20180314,38150,38950,38150,38950,220702
20180313,38450,38800,38000,38200,250028
20180312,38750,39100,38500,38950,193428
20180309,38150,38750,37750,38150,175314
20180308,38100,38200,37600,37900,230001
20180307,38000,38500,37600,37600,205666
20180306,38700,39400,38000,38000,322383
20180305,39200,39400,38350,38450,302790
20180302,41850,41850,39150,39250,511830
20180228,40550,41550,40550,41300,198214
20180227,42100,42450,41250,41300,149507
20180226,42650,42700,41750,41800,148262
20180223,41300,42200,40900,42150,173487
20180222,41350,41600,40800,40900,222738
20180221,41200,41800,40550,41750,194576
20180220,41850,41850,40950,41100,118778
20180219,42300,42350,41750,42000,120000
20180214,41550,42050,41350,41450,114214
20180213,42200,42850,41450,41550,156556
20180212,41700,42450,41450,42200,132714
20180209,41950,42500,41200,41400,194160
20180208,43600,44400,42750,42750,253260
20180207,44000,44500,43650,43900,236643
20180206,46000,46300,43600,44350,276619
20180205,46200,46200,45000,45700,182431
20180202,46500,47800,46100,46200,169640
20180201,45850,47800,45700,47200,274038
20180131,45800,46350,43500,46350,237921
20180130,45400,46400,45300,45400,228115
20180129,45200,45550,45000,45400,160011
20180126,45250,45900,44800,45100,169870
20180125,45550,46500,45300,45650,155453
20180124,46950,47650,45750,45850,182460
20180123,46050,47000,45800,46950,147407
20180122,47300,47400,45800,46400,147963
20180119,45800,46950,45750,46950,222466
20180118,46550,47300,46100,46350,231962
20180117,46550,47250,46450,46950,140010
20180116,46600,47350,46350,47000,189222
20180115,46050,47400,46050,47000,189127
20180112,45450,46650,44950,46050,339558
20180111,45000,45200,43850,45200,293060
20180110,44150,45000,44050,44600,345342
20180109,44200,44450,44050,44050,216842
20180108,44300,44600,44000,44200,135537
20180105,44050,44500,43700,44100,201418
20180104,45850,46000,44050,44050,350289
20180103,46300,47050,45750,45800,200746
20180102,46650,47150,46300,46950,103616
20171228,46700,48000,46550,47000,146891
20171227,47100,47300,45850,47000,158642
20171226,47300,48500,47300,48400,158179
20171222,47950,48300,47000,47300,160534
20171221,47500,48150,47250,47450,174585
20171220,46600,48050,46600,47800,299378
20171219,46500,47300,46500,46550,246299
20171218,46750,46900,45900,46650,205669
20171215,47150,47300,45950,46650,289694
20171214,46600,47300,46200,47150,473464
20171213,44300,46500,44300,46200,243525
20171212,44500,44950,44000,44200,179905
20171211,44300,45500,44250,45300,151022
20171208,45450,46150,44550,44850,187659
20171207,45400,46650,45100,45150,342667
20171206,44150,45650,44100,45450,438089
20171205,43950,44500,43650,43850,171205
20171204,42800,44450,42700,44450,244641
20171201,43550,43800,42450,42450,227865
20171130,43350,44150,42750,43400,424759
20171129,42550,43100,42000,42600,146781
20171128,42850,43250,42400,42450,161136
20171127,42800,43150,42550,42850,141346
20171124,42550,43100,42450,42800,63282
20171123,42400,43250,42400,42400,165145
20171122,42400,43250,42250,42400,177203
20171121,42950,42950,42350,42350,185981
20171120,43750,44600,42600,42750,312651
20171117,43550,44600,43550,44150,236841
20171116,44150,44200,43550,44000,201808
20171115,42500,44300,42250,44000,356952
20171114,43150,43400,42700,42700,260430
20171113,44200,44500,43150,43200,287246
20171110,44250,44800,44250,44500,127549
20171109,45000,45100,44200,44900,171734
20171108,44600,45250,44550,44900,112468
20171107,44550,45250,44050,44950,118696
20171106,45050,45350,44500,45100,127909
20171103,45600,46350,44900,45050,160718
20171102,45100,45350,44650,45200,154370
20171101,44550,45100,44050,45050,265602
20171031,46300,46300,45000,45350,349744
20171030,47150,47500,46200,46700,170318
20171027,47050,47600,46900,47100,154303
20171026,48900,48900,47250,47550,107713
20171025,47100,48900,46750,48100,219178
20171024,46950,47750,46850,47450,123745
20171023,46700,47500,46700,47300,126167
20171020,45900,47350,45400,47250,122318
20171019,46150,46750,46100,46150,151421
20171018,46250,46550,45500,45950,149267
20171017,47600,48150,46750,46800,156595
20171016,47700,48000,46900,47600,96968
20171013,47050,48350,46800,47700,240290
20171012,46700,47200,46450,46850,203352
20171011,46750,47250,46450,46800,278489
20171010,45300,47400,45050,47200,364440
20170929,45200,45300,44500,45300,173828
20170928,44050,44700,43350,44700,165181
20170927,44300,44600,43400,44600,265645
20170926,44900,45350,44050,44900,223801
20170925,44900,44900,43900,44500,134594
20170922,43800,44800,43800,44500,169399
20170921,44450,44650,43850,44100,145983
20170920,44800,45300,44300,44800,134883
20170919,44600,44950,43850,44400,183945
20170918,44300,45350,43950,45100,211983
20170915,43750,44900,43500,44800,297094
20170914,43600,43900,42800,43800,245156
20170913,44700,44750,43600,43600,136031
20170912,44100,45300,43800,44750,188682
20170911,44200,45600,43500,43750,242029
20170908,43250,44350,43000,43900,142313
20170907,42800,43600,42600,43250,138555
20170906,43050,43600,42450,42800,248514
20170905,45600,45600,43300,43500,230369
20170904,44850,45450,44500,45050,133158
20170901,45900,46150,45000,45150,261163
20170831,46450,46650,45700,46200,286496
20170830,47600,47600,46600,46900,99669
20170829,47400,47700,46350,47500,207213
20170828,48350,48900,47200,47400,253806
20170825,48300,49700,47800,49100,251528
20170824,46100,48800,46100,48300,209794
20170823,46600,46850,46100,46600,172231
20170822,45750,47150,45750,46800,154128
20170821,47500,47550,45550,46100,293284
20170818,46900,47850,46900,47500,464940
20170817,46450,47900,46150,47600,198199
20170816,45700,47300,45700,46850,259314
20170814,46100,46900,45100,46100,160116
20170811,45100,46450,44600,46150,386527
20170810,47200,48050,44600,46650,589372
20170809,46550,48300,46550,47800,193051
20170808,47900,48450,46700,47150,202222
20170807,47750,48700,47750,48200,128604
20170804,48200,49000,47600,47750,151949
20170803,48100,49100,48100,48500,166471
20170802,48800,48900,47600,48600,229421
20170801,45100,49400,45100,49200,424308
20170731,46300,47050,45400,45400,245390
20170728,45600,46950,45600,46250,209778
20170727,45650,46450,45100,46350,182942
