,open,high,low,close,volume
20181109,13650,13950,13450,13750,55170
20181108,13400,13650,13400,13650,31055
20181107,13350,13600,13200,13300,50244
20181106,13200,13350,13150,13350,35423
20181105,13250,13300,13150,13200,39753
20181102,13150,13500,13150,13350,45161
20181101,13100,13400,13000,13150,47755
20181031,12900,13100,12850,13050,40784
20181030,12850,13000,12600,12900,74415
20181029,12950,13200,12850,12850,99751
20181026,13250,13350,12900,13000,62840
20181025,13200,13400,13000,13200,51412
20181024,13400,13600,13350,13450,32349
20181023,13750,13750,13300,13350,77197
20181022,13750,13800,13550,13750,28493
20181019,13550,13750,13300,13750,58865
20181018,13900,14000,13350,13550,78415
20181017,14100,14150,13750,13950,54108
20181016,13600,14050,13550,14000,35118
20181015,13650,13700,13300,13600,34752
20181012,13450,13950,13450,13600,61618
20181011,13700,13850,13400,13550,65758
20181010,14300,14450,13900,14000,53265
20181008,14500,14600,14300,14350,26939
20181005,14650,14700,14200,14500,50720
20181004,14950,14950,14650,14700,30722
20181002,14900,14950,14800,14900,29435
20181001,14800,14950,14750,14900,25231
20180928,14700,14900,14600,14800,33022
20180927,14650,14750,14550,14700,19352
20180921,14550,14700,14450,14650,27356
20180920,14450,14600,14350,14550,34614
20180919,14750,14800,14450,14450,44702
20180918,14800,14850,14650,14750,31418
20180917,14850,14850,14650,14850,10134
20180914,15000,15000,14550,14850,30562
20180913,14900,14950,14700,14950,27877
20180912,15050,15050,14600,14900,43672
20180911,15100,15200,14900,15000,35660
20180910,14650,15050,14600,15050,37311
20180907,14600,14650,14500,14650,18638
20180906,14550,14600,14400,14600,16526
20180905,14550,14600,14400,14550,26787
20180904,14550,14600,14400,14550,14781
20180903,14500,14650,14450,14500,34701
20180831,14400,14450,14250,14450,13270
20180830,14300,14500,14100,14400,29347
20180829,14200,14350,14150,14300,20344
20180828,14200,14250,14050,14200,36282
20180827,14150,14200,13950,14200,56237
20180824,14200,14250,14050,14150,18590
20180823,14200,14250,14000,14200,29190
20180822,14350,14350,14050,14150,38023
20180821,14300,14350,14150,14350,22090
20180820,14200,14350,14150,14250,20908
20180817,14100,14200,14000,14200,28146
20180816,14250,14300,13950,14150,78909
20180814,14050,14150,13950,14100,64351
20180813,14300,14400,14000,14150,38180
20180810,14350,14600,14100,14500,50317
20180809,14150,14300,14100,14150,16556
20180808,14000,14250,13950,14100,18295
20180807,14250,14250,13950,14050,34749
20180806,14000,14300,13950,14250,56839
