,open,high,low,close,volume
20181109,41000,41300,40500,41000,1346
20181108,41000,41600,40950,40950,2577
20181107,41100,41750,40750,41000,1224
20181106,41550,42300,41300,41400,1574
20181105,42800,42800,41450,42450,1125
20181102,41750,42800,41750,42800,1087
20181101,42250,43150,41700,42100,1079
20181031,42100,42850,40900,42300,603
20181030,40700,42400,40000,42100,1276
20181029,42350,42350,40300,40950,1512
20181026,43000,43000,41100,42400,905
20181025,41200,43450,40750,43100,3698
20181024,43800,43800,41650,41750,1302
20181023,43400,43400,42700,42700,1257
20181022,43750,43800,42700,43400,1698
20181019,43800,43800,43050,43700,1473
20181018,43950,43950,43150,43800,1773
20181017,44450,44450,43550,43950,1578
20181016,44500,44500,43150,43600,805
20181015,44600,45150,43400,43600,1626
20181012,43600,45000,43600,44600,1355
20181011,45050,46400,44500,44500,3024
20181010,47550,47550,46800,46800,924
20181008,48000,48150,47400,47650,1474
20181005,48350,48450,47550,48000,1354
20181004,48150,48900,48000,48350,1362
20181002,48550,48550,48250,48500,305
20181001,49100,49100,48100,48700,1002
20180928,47800,49100,47800,49100,3919
20180927,47800,47950,47750,47800,781
20180921,47850,48100,47550,47800,1657
20180920,48100,48450,47700,47850,1966
20180919,48250,48550,48100,48100,778
20180918,48300,48350,47850,48250,2078
20180917,48850,48850,48050,48300,855
20180914,47950,49200,47700,48450,1997
20180913,47850,48200,47550,47950,1580
20180912,48200,48200,47350,47850,2027
20180911,48150,48300,47500,47900,2282
20180910,48100,48400,47750,47850,1904
20180907,48200,48600,47850,48100,3997
20180906,48900,48900,48050,48600,5608
20180905,49200,49200,48650,48900,847
20180904,49000,49600,48500,49200,2638
20180903,49450,49500,48550,49050,2937
20180831,49350,49700,48900,49250,1271
20180830,49100,49300,48750,49050,654
20180829,48900,49400,48450,49350,3057
20180828,48500,48600,48200,48500,1600
20180827,48800,49300,48300,48500,2424
20180824,48600,49000,48600,48800,2821
20180823,49450,49700,49000,49200,1424
20180822,49100,49500,49000,49450,1308
20180821,50000,50000,48900,49000,4394
20180820,50600,51000,49600,49600,4124
20180817,50500,50800,50200,50500,1404
20180816,51000,51300,50600,50600,2349
20180814,51400,51900,51300,51300,1039
20180813,51800,51800,51300,51600,676
20180810,52100,52100,51500,51700,833
20180809,51900,52300,51500,52100,639
20180808,51900,52400,51500,51900,1702
20180807,52100,52200,51700,51900,1326
20180806,53000,53300,52200,52300,525
20180803,51400,53800,51400,53600,1319
20180802,51700,52100,51300,51800,768
20180801,52000,52600,51500,51700,929
20180731,52000,52000,51400,52000,406
20180730,52200,52400,51600,52000,399
20180727,52400,52500,51900,52500,380
20180726,51700,52500,51200,51800,602
20180725,52800,52800,51400,51500,2197
20180724,53100,53100,52200,52800,815
20180723,52800,54000,52800,53100,2150
20180720,53500,54000,52700,53200,387
20180719,53300,53900,53200,53500,224
20180718,52800,55500,52800,53300,3484
20180717,53100,53600,52600,52900,1246
20180716,54300,54500,53500,53900,274
20180713,53000,54300,53000,54300,505
20180712,53500,54000,52700,53800,1951
20180711,54200,54300,52900,54300,1214
20180710,54300,54300,53200,54300,589
20180709,54600,54600,53500,54300,477
20180706,54500,55100,53200,54600,512
20180705,52700,55000,52700,54800,3724
20180704,52400,53300,51800,53300,1126
20180703,52000,52700,51400,52500,2010
20180702,54100,54100,51700,52200,1857
20180629,54100,54300,53300,54300,476
20180628,54000,54000,52900,54000,2084
20180627,54100,54100,52900,53800,644
20180626,54500,54500,52300,54000,1846
20180625,54500,54700,53600,54500,1012
20180622,55000,55000,53400,54100,2960
20180621,54300,54800,53800,54000,3019
20180620,55100,55800,54200,54600,2222
20180619,56900,56900,55800,55800,638
20180618,58500,58500,55900,56900,2032
20180615,57600,58300,57500,57900,703
20180614,58400,59000,57700,58200,1241
20180612,58000,58900,57700,58400,1941
20180611,58200,58300,57000,58300,2451
20180608,57900,59100,57500,58200,1811
20180607,58300,58300,57000,57900,2669
20180605,58200,58400,57300,58300,1013
20180604,59000,59500,58000,58200,1265
20180601,58300,61000,58100,58900,6186
20180531,58900,58900,55600,57700,2995
20180530,57200,59000,56100,59000,8550
20180529,57500,57600,56600,57100,4265
20180528,56000,57400,55600,56600,5739
20180525,54000,54500,53100,54500,6774
20180524,55800,55900,55100,55200,3542
20180523,56200,56800,55100,55800,4369
20180521,57000,57000,55400,56200,4421
20180518,57200,57800,56000,56600,7058
20180517,55800,57500,55600,56700,7384
20180516,55800,55800,54600,55800,15824
20180515,54300,56000,53500,55300,17906
20180514,54000,54700,53800,54300,6100
20180511,53200,54300,52400,54200,3990
20180510,52500,54000,52300,53000,7530
20180509,53100,53200,52100,52100,9192
20180508,53100,53100,52400,52400,7007
20180504,53300,53300,52500,52800,5870
20180503,53700,53700,52300,53200,4109
20180502,60000,60000,52500,53100,32364
20180430,52200,56800,51600,56300,16356
20180427,52200,52400,52000,52200,3281
20180426,52000,52100,51700,52000,1057
20180425,52200,52200,51500,52000,1190
20180424,52400,54000,51900,52200,3723
20180423,51400,52300,51400,52200,1174
20180420,52300,52300,51900,52100,541
20180419,51700,52100,51400,51600,2090
20180418,51900,52100,51600,51700,624
20180417,52500,52500,51800,51900,379
20180416,52500,52500,52000,52500,175
20180413,52300,52500,52200,52400,455
20180412,51700,52400,51700,52300,484
20180411,52100,52100,51600,52000,1590
20180410,52000,52300,51900,52100,203
20180409,52100,52400,52100,52400,852
20180406,51900,52400,51600,52300,397
20180405,51600,52100,51600,52000,384
20180404,51900,52300,51500,51500,3784
20180403,52100,52400,51800,52100,2635
20180402,52100,52800,51900,52100,1919
20180330,52300,53000,52300,52400,2286
20180329,53500,53500,52200,52900,1165
20180328,53400,54000,52800,53400,1672
20180327,53100,53300,52700,53200,2649
20180326,51000,53100,51000,53100,4985
20180323,51900,51900,50800,51100,3346
20180322,52000,52400,51600,52300,1251
20180321,52700,52700,51500,52100,2314
20180320,52600,52700,51800,52700,836
20180319,52100,52600,51900,52600,1109
20180316,52300,52300,51400,51900,2197
20180315,52100,52300,51600,52300,3260
20180314,53500,53500,52300,52500,3948
20180313,53000,53700,52400,53700,1318
20180312,52700,53200,52400,53000,3874
20180309,53100,53500,52400,52700,1954
20180308,52400,52700,51700,52700,2190
20180307,53000,53000,51900,52400,2139
20180306,52200,52600,51900,52400,1418
20180305,54300,54300,52100,52200,1392
20180302,54200,54200,52900,53300,4434
20180228,55500,55500,53500,54700,5159
20180227,55600,55900,55100,55600,2258
