,open,high,low,close,volume
20181109,5100,5140,5060,5130,18453
20181108,5130,5140,5070,5130,25044
20181107,5110,5200,5010,5130,23147
20181106,5130,5160,5060,5150,22154
20181105,5150,5190,5020,5160,50532
20181102,5260,5260,5000,5190,128398
20181101,5610,5780,5030,5150,643395
20181031,4760,4830,4725,4825,17649
20181030,4550,4900,4550,4755,28957
20181029,4900,5040,4600,4695,11786
20181026,4860,4955,4750,4885,56531
20181025,4960,4975,4865,4915,52222
20181024,5200,5290,5000,5030,28219
20181023,5160,5240,5110,5110,18665
20181022,5240,5250,5140,5240,13883
20181019,5100,5250,5050,5240,21652
20181018,5440,5440,5150,5180,33168
20181017,5230,5340,5190,5270,38594
20181016,5230,5290,5190,5200,14290
20181015,5370,5370,5150,5230,60829
20181012,5050,5350,5030,5350,67439
20181011,5300,5400,5100,5100,145523
20181010,5670,5670,5500,5520,27262
20181008,5710,5770,5600,5670,37482
20181005,5640,5780,5630,5700,27158
20181004,5800,5800,5390,5680,29220
20181002,5720,5810,5670,5700,56822
20181001,5860,5890,5790,5820,19866
20180928,5850,5950,5780,5860,18223
20180927,5710,5840,5670,5840,22849
20180921,5730,5780,5600,5710,99764
20180920,5800,5810,5560,5720,67498
20180919,5850,5850,5790,5800,17649
20180918,5890,5920,5800,5850,30885
20180917,5970,5970,5850,5890,22316
20180914,5960,5990,5900,5970,6978
20180913,5970,5970,5890,5960,42978
20180912,6010,6020,5900,5970,19041
20180911,5970,5980,5830,5970,50735
20180910,5910,6000,5820,5960,61209
20180907,5990,5990,5670,5970,67102
20180906,5970,6000,5950,5980,24461
20180905,5980,6060,5970,5990,16428
20180904,6000,6020,5940,6010,12481
20180903,6090,6090,5950,6000,35339
20180831,6000,6060,5950,6000,21310
20180830,6010,6070,5990,6000,17927
20180829,6060,6080,5950,6010,28705
20180828,6050,6090,6000,6040,9752
20180827,6000,6070,5960,6050,30646
20180824,5930,6030,5880,5920,39581
20180823,6000,6090,5800,5930,36053
20180822,6020,6090,5990,6000,18130
20180821,6000,6110,5990,6100,12652
20180820,6070,6090,6000,6000,35792
20180817,5960,6150,5950,6080,41329
20180816,5910,6100,5900,6080,50044
20180814,6130,6230,6030,6080,42428
20180813,6230,6340,6100,6130,33675
20180810,6310,6380,6250,6310,16224
20180809,6350,6380,6280,6310,11853
20180808,6320,6400,6200,6400,12087
20180807,6480,6480,6310,6370,14315
20180806,6340,6500,6330,6460,30167
20180803,6360,6400,6310,6350,19453
20180802,6310,6400,6300,6310,25499
20180801,6130,6380,6050,6350,60914
20180731,6170,6170,6070,6170,19402
20180730,6160,6190,6110,6160,19026
20180727,6190,6200,6130,6160,43199
20180726,6180,6210,6020,6180,47352
20180725,6210,6260,6090,6180,33424
20180724,6170,6210,6110,6180,26475
20180723,6240,6240,6100,6170,104248
20180720,6220,6240,6200,6240,16670
20180719,6240,6300,6210,6240,18156
20180718,6180,6290,6120,6240,19146
20180717,6250,6300,6160,6200,7299
20180716,6270,6470,6220,6250,9768
20180713,6220,6310,6200,6270,14706
20180712,6360,6360,6000,6270,63845
20180711,6360,6440,6230,6360,20834
20180710,6360,6570,6320,6360,7457
20180709,6300,6650,6170,6360,58959
20180706,6270,6380,6180,6320,30620
20180705,6250,6310,6120,6280,85452
20180704,6350,6350,6200,6280,18472
20180703,6250,6340,6190,6280,67014
20180702,6460,6460,6210,6280,104563
20180629,6460,6530,6420,6510,75858
20180628,6500,6530,6420,6500,44506
20180627,6520,6520,6430,6500,65545
20180626,6520,6570,6440,6510,37447
20180625,6530,6550,6410,6520,43673
20180622,6530,6580,6460,6530,46482
20180621,6520,6630,6440,6530,77461
20180620,6500,6590,6470,6500,109663
20180619,6490,6580,6440,6500,245674
20180618,6510,6600,6380,6490,73837
20180615,6370,6580,6370,6490,61885
20180614,6470,6480,6290,6460,122734
20180612,6500,6530,6360,6470,56779
20180611,6500,6560,6460,6500,27639
20180608,6450,6530,6390,6500,64441
20180607,6450,6490,6390,6450,54583
20180605,6250,6600,6240,6450,303615
20180604,6330,6340,6240,6300,52634
20180601,6260,6370,6240,6300,41735
20180531,6280,6330,6240,6250,69019
20180530,6210,6280,6180,6250,76635
20180529,6190,6250,6180,6240,52378
20180528,6200,6200,6080,6190,96537
20180525,6150,6180,6060,6170,103447
20180524,6150,6200,6100,6150,45890
20180523,6150,6200,6070,6150,75899
20180521,6170,6280,6100,6170,62214
20180518,6040,6230,5870,6170,131359
20180517,5790,5950,5740,5950,54802
20180516,5850,6070,5700,5750,116543
20180515,5940,5980,5820,5870,57991
20180514,5900,5980,5850,5940,29006
20180511,5990,6040,5800,5900,52124
20180510,5660,6000,5660,5990,137903
20180509,5500,5830,5450,5780,115604
20180508,5610,5680,5380,5500,64338
20180504,5750,5750,5590,5600,72126
20180503,5450,5750,5450,5750,135197
20180502,5640,5640,5250,5520,348337
20180430,5840,5850,5690,5740,30866
20180427,5890,5890,5700,5730,62509
20180426,5920,5920,5740,5790,88397
20180425,6040,6040,5850,5890,56550
20180424,6010,6050,5980,6030,30023
20180423,6050,6130,5950,6010,35542
20180420,6090,6150,5950,6050,36447
20180419,5980,6080,5930,6050,22483
20180418,6200,6230,5950,6020,81531
20180417,6220,6270,6120,6200,21066
20180416,6150,6240,5980,6210,55195
20180413,5910,6080,5910,6040,31056
20180412,6020,6160,5870,5990,35904
20180411,6260,6300,6020,6030,31236
20180410,6010,6320,5930,6260,119666
20180409,5840,6030,5710,6010,104147
20180406,5740,5800,5660,5800,26635
20180405,5700,5790,5600,5740,36359
20180404,5730,5810,5590,5700,89832
20180403,5890,5890,5650,5720,113021
20180402,6170,6170,5790,5900,160685
20180330,6090,6230,6080,6170,19777
20180329,6100,6270,6040,6140,47676
20180328,6150,6180,6020,6150,32601
20180327,6380,6380,6100,6160,101676
20180326,6300,6340,6130,6330,42068
20180323,6080,6360,6080,6280,99221
20180322,6450,6450,6160,6270,124842
20180321,6420,6530,6250,6330,57567
20180320,6440,6560,6320,6480,67695
20180319,6510,6520,6290,6520,49453
20180316,6410,6590,6400,6480,94320
20180315,6640,6640,6360,6480,94622
20180314,6200,6600,6200,6590,194094
20180313,6380,6440,6230,6300,98285
20180312,6090,6340,6070,6340,69272
20180309,5960,6170,5960,6000,35541
20180308,6060,6150,5950,5960,36533
20180307,6140,6200,5880,6070,40362
20180306,6180,6180,5920,5990,41475
20180305,6150,6150,5920,5970,60216
20180302,6000,6170,5760,6060,191711
20180228,6260,6270,6050,6060,35796
20180227,6250,6310,5900,6180,62473
20180226,6250,6590,6120,6230,50746
20180223,6260,6350,6190,6250,39124
20180222,6370,6420,6200,6260,42736
20180221,6530,6650,6390,6450,20868
20180220,6570,6640,6540,6570,56890
20180219,6270,6620,6270,6570,115747
20180214,6020,6280,5950,6270,57373
20180213,5960,6140,5890,5990,44896
20180212,6050,6050,5910,5910,39066
20180209,6120,6240,5750,6030,75008
20180208,6300,6300,6120,6260,55408
20180207,6530,6530,6210,6270,45029
20180206,6020,6340,6020,6340,104239
20180205,6400,6400,6200,6350,71191
20180202,6630,6750,6450,6450,99552
20180201,6850,6990,6550,6600,295170
