,open,high,low,close,volume
20181109,34700,34700,32350,33200,13623
20181108,33200,36100,32500,35000,40421
20181107,30150,34000,30050,33200,53448
20181106,30100,30700,29900,30450,1528
20181105,30950,30950,30000,30450,2919
20181102,30200,30700,29850,30450,2467
20181101,32100,33500,29900,30500,20183
20181031,28900,29800,28700,29350,3482
20181030,29300,29300,28400,29200,3499
20181029,30050,30750,29000,29300,3655
20181026,29400,30850,29400,30000,6576
20181025,28750,29700,28550,29400,3490
20181024,29550,30350,29000,29100,4592
20181023,30600,30600,29450,30050,4338
20181022,29700,29950,29450,29900,1228
20181019,29450,29900,29000,29650,2415
20181018,31700,32750,29450,29550,18202
20181017,31500,32800,31250,31700,5071
20181016,31500,32950,31350,31900,2593
20181015,33000,33800,31250,31400,4840
20181012,33300,33450,32250,33000,6751
20181011,32350,33500,31000,33250,12887
20181010,31300,32450,30550,31900,5681
20181008,31750,32700,31400,31450,2862
20181005,30500,33750,30500,32250,10117
20181004,31500,31950,30700,31100,1661
20181002,31950,31950,30900,30950,994
20181001,32050,32050,30800,31550,2450
20180928,32550,32550,31050,32050,4462
20180927,32900,33900,31100,32150,7001
20180921,31500,32250,31350,32100,2012
20180920,32050,32050,30800,31300,3047
20180919,32950,32950,30800,31200,5731
20180918,32250,32900,31800,32300,4452
20180917,32500,33400,31650,32250,6260
20180914,34750,34750,31950,32550,13783
20180913,30650,35500,30650,34000,53243
20180912,31650,31650,31050,31150,6956
20180911,29600,31750,29450,31600,24910
20180910,28800,29600,28800,29600,859
20180907,29300,29750,29150,29500,3296
20180906,29650,29650,29400,29500,1057
20180905,30100,30100,29300,29900,1847
20180904,30150,30150,29700,29950,352
20180903,29500,30150,29450,29800,2187
20180831,29050,29450,29000,29400,1443
20180830,29550,29900,29200,29600,1688
20180829,29750,30250,29300,29700,777
20180828,29600,29900,29500,29700,3241
20180827,30200,30600,29500,30100,3612
20180824,30800,30800,30150,30600,1887
20180823,30900,30900,30200,30600,1570
20180822,30150,30400,30000,30400,778
20180821,30100,31000,30000,30250,2021
20180820,30600,30600,30200,30500,1370
20180817,30000,31250,30000,30650,852
20180816,30300,30700,30000,30000,2772
20180814,30850,31300,30150,30700,1371
20180813,30200,30900,29850,30900,2068
20180810,30450,31400,30450,30900,773
20180809,29850,30900,29850,30450,4718
20180808,31650,31650,30500,30800,3271
20180807,32100,32100,31250,31750,3336
20180806,32350,32350,31350,32000,3954
20180803,32000,32000,31050,31800,7276
20180802,29800,32450,29500,31550,28282
20180801,28650,29950,28550,29900,2608
20180731,28800,28900,28050,28900,1596
20180730,27800,28650,27750,28550,1853
20180727,28000,28450,27600,27800,2229
20180726,27500,28450,27500,28150,1499
20180725,28200,28200,27300,27500,2188
20180724,27500,28250,27400,27700,1760
20180723,28050,29500,27350,27650,4828
20180720,29050,29050,26900,28050,3589
20180719,30300,30300,28600,28600,3591
20180718,30150,30150,29500,29800,2669
20180717,30000,30800,29500,30150,3499
20180716,29550,30300,29500,30300,5615
20180713,29600,29900,29000,29500,5364
20180712,30400,30800,29300,29950,8209
20180711,31000,31000,29750,30400,11786
20180710,31450,31750,30800,31200,5114
20180709,31950,32750,30850,31450,15436
20180706,33400,34250,32600,32900,7795
20180705,33600,34150,32100,33400,6886
20180704,34850,34850,32700,33200,8665
20180703,33050,34800,32650,34050,14831
20180702,31800,34350,31200,32600,22320
20180629,30900,32500,30750,31800,6595
20180628,30750,32850,30550,30750,6422
20180627,32050,32300,30900,31700,7482
20180626,33300,33300,31850,32400,8096
20180625,33100,33650,32500,33000,11451
20180622,32750,34600,32150,33700,54016
20180621,30500,32900,30300,32150,28887
20180620,33400,33400,30700,30900,26122
20180619,30800,36000,30550,33400,64108
20180618,31400,32900,30100,31200,22300
20180615,31650,31950,30400,30750,12260
20180614,32000,33000,29950,31650,29570
20180612,29500,32350,28950,31000,19933
20180611,29200,31900,29050,29500,9950
20180608,29850,30450,29000,29700,3316
20180607,31300,31300,29550,30450,4827
20180605,30200,30450,29200,30450,7838
20180604,28750,30250,28150,30250,10423
20180601,30950,30950,28050,28600,13964
20180531,27650,29800,27350,28550,17023
20180530,29400,30100,27450,27600,16420
20180529,31500,33050,29150,29600,15897
20180528,30800,32250,28550,31500,29928
20180525,30000,35200,28700,32450,67638
20180524,34500,34600,28400,30000,42850
20180523,38300,38300,34750,34850,46670
20180521,36350,37500,34150,36600,75275
20180518,39800,41000,33150,35800,140175
