,open,high,low,close,volume
20181109,5720,6190,5560,6190,33933
20181108,6050,6110,5690,5800,101987
20181107,5000,6500,5000,6120,223895
20181106,5070,5070,4975,5050,2177
20181105,5000,5100,4930,5070,846
20181102,4915,5130,4900,5060,8296
20181101,5150,5660,4880,4980,56916
20181031,4660,4775,4660,4755,650
20181030,4500,4740,4500,4695,3190
20181029,4955,5200,4715,4715,5359
20181026,5090,5130,4930,5090,3634
20181025,5110,5120,4905,5050,13639
20181024,5160,5360,5030,5120,4294
20181023,5380,5380,5160,5240,1320
20181022,5380,5380,5230,5260,1943
20181019,5300,5390,5230,5390,2138
20181018,5530,5640,5260,5300,16876
20181017,5630,5630,5520,5530,4414
20181016,5780,5780,5550,5600,6923
20181015,5790,5860,5680,5780,86
20181012,5630,5740,5550,5740,4982
20181011,5530,5730,5460,5630,6179
20181010,5770,5820,5650,5730,3665
20181008,5890,5890,5750,5850,828
20181005,5830,6050,5710,5890,7557
20181004,5890,5890,5730,5770,1467
20181002,5890,5890,5640,5710,9363
20181001,5740,5970,5740,5920,2993
20180928,5950,6080,5740,5760,10209
20180927,5870,5920,5770,5820,1592
20180921,5670,5830,5670,5780,4627
20180920,5830,5960,5740,5750,3795
20180919,5900,5990,5830,5830,3316
20180918,5890,5910,5750,5900,6592
20180917,5780,5840,5710,5760,6755
20180914,6080,6130,5820,5870,4719
20180913,5820,6130,5780,6000,17657
20180912,5900,5900,5750,5820,3770
20180911,5640,5910,5580,5880,13366
20180910,5690,5690,5580,5640,5285
20180907,5790,5790,5560,5650,15511
20180906,5730,6080,5670,5780,6024
20180905,5770,5840,5660,5670,1533
20180904,5740,5770,5650,5770,2115
20180903,5690,5770,5640,5770,2629
20180831,5800,5800,5610,5670,7106
20180830,5840,5840,5680,5840,5591
20180829,5800,5840,5710,5830,1763
20180828,5820,5830,5720,5800,2966
20180827,5900,5900,5800,5840,2484
20180824,5860,5940,5770,5880,4435
20180823,5950,5980,5550,5880,9276
20180822,5990,5990,5870,5950,1486
20180821,6040,6040,5890,5950,958
20180820,5950,6040,5850,6040,2743
20180817,5880,6000,5800,5950,3109
20180816,5910,5980,5790,5820,6799
20180814,6020,6060,5810,6020,4742
20180813,6240,6240,5900,6020,4764
20180810,6290,6310,6200,6240,850
20180809,6360,6360,6180,6290,693
20180808,6370,6370,6240,6260,3956
20180807,6250,6420,6210,6340,16383
20180806,6310,6490,6300,6390,5002
20180803,6400,6400,6270,6340,4292
20180802,6160,6550,6160,6400,19784
20180801,6130,6260,6100,6230,4080
20180731,6230,6230,6060,6190,3055
20180730,6190,6200,6090,6190,3112
20180727,6170,6200,6070,6120,2703
20180726,6070,6170,6010,6170,1704
20180725,6080,6090,5940,6070,801
20180724,5910,6080,5910,6070,966
20180723,6170,6170,5990,6010,3314
20180720,6160,6230,6040,6130,4009
20180719,6290,6290,6090,6170,3797
20180718,6130,6270,6100,6190,3887
20180717,6300,6480,6190,6190,15150
20180716,6160,6420,6160,6390,5469
20180713,5960,6380,5960,6310,9957
20180712,6090,6230,5950,6190,10570
20180711,5960,6100,5960,6070,2141
20180710,6100,6130,5920,6090,5810
20180709,6140,6150,5930,6060,6160
20180706,6180,6310,6030,6200,5639
20180705,6150,6270,6100,6270,4250
20180704,6360,6360,6170,6170,1235
20180703,6230,6380,6090,6330,3676
20180702,6440,6700,6220,6230,13078
20180629,6380,6480,6260,6400,3365
20180628,6250,6430,6250,6350,3906
20180627,6580,6580,6310,6360,8731
20180626,6430,6590,6340,6390,16626
20180625,6800,6810,6510,6580,16395
20180622,6630,6980,6630,6790,78362
20180621,6410,6720,6310,6600,25089
20180620,6700,6780,6380,6420,17330
20180619,6320,6900,6150,6700,70434
20180618,6250,6530,6250,6460,14160
20180615,6310,6530,6230,6430,13184
20180614,6600,6720,6220,6430,25087
20180612,6780,6780,6350,6550,12323
20180611,6600,6650,6370,6550,11807
20180608,6580,6580,6350,6490,10350
20180607,6600,6610,6430,6590,12756
20180605,6390,6680,6130,6650,23361
20180604,6170,6390,6170,6330,13099
20180601,6380,6380,6120,6280,22071
20180531,6300,6430,6210,6270,13994
20180530,6500,6670,6160,6220,19555
20180529,6960,7200,6500,6520,30540
20180528,6580,7200,6550,6960,69723
20180525,6700,7210,6180,6640,132106
20180524,7570,7570,6550,6740,124150
20180523,8100,8500,7210,7480,236545
20180521,7130,8150,7030,7850,374682
20180518,7700,7700,7020,7190,219933
20180517,8900,10000,7350,7510,826781
20180516,6940,9000,6610,8500,1690701
20180515,6800,7320,6420,6940,111952
20180514,6350,6980,6180,6800,86966
20180511,5910,6490,5780,6270,102691
20180510,6290,6290,5700,5920,155128
20180509,5580,7180,5580,6100,868476
20180508,5380,5600,5380,5530,29333
20180504,5380,5430,5380,5380,6121
20180503,5430,5430,5300,5410,5716
20180502,5330,5350,5270,5320,12798
20180430,5570,5600,5370,5380,12064
20180427,5440,5580,5390,5570,4422
20180426,5410,5500,5350,5470,7512
